sexo,edad,escol,Tam_loc,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_domestic_institutions,wvs_agg_confidence_in_international_organizations,wvs_agg_economic_ideology,wvs_agg_gender_role_traditionalism,wvs_agg_importance_of_life_domains,wvs_agg_job_scarcity_gender_discrimination,wvs_agg_job_scarcity_nativist_preference,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_voluntary_association_belonging
2,25-34,,4,4.0,7.75,1.0,3.5,7.0,7.0,4.5,4.0,6.3999999999999995,1.0,1.0,1.0,1.0,5.5,4.15,1.6428571428571428,1.0,10.0,5.5,10.0,3.0,2.2857142857142856
2,55-64,,4,10.0,3.25,4.0,3.0,2.6363636363636362,10.0,7.0,4.0,6.3999999999999995,5.5,1.0,1.0,3.25,3.25,4.15,2.2857142857142856,1.0,10.0,5.5,1.0,5.333333333333333,2.2857142857142856
1,25-34,,4,4.0,5.5,7.0,4.25,8.90909090909091,10.0,5.5,4.0,4.6,5.5,1.0,5.0,10.0,5.5,2.575,2.2857142857142856,6.0,1.0,1.0,10.0,5.666666666666668,4.857142857142857
1,19-24,,4,4.0,7.75,1.0,3.5,5.909090909090908,7.0,3.25,4.0,6.3999999999999995,5.5,1.0,1.0,3.25,5.5,3.9250000000000003,2.2857142857142856,1.6666666666666667,10.0,5.5,10.0,3.333333333333334,3.571428571428571
1,25-34,,4,7.0,5.5,4.0,6.25,8.90909090909091,10.0,5.25,4.0,6.3999999999999995,5.5,1.0,1.0,1.0,5.5,3.25,4.214285714285714,1.0,10.0,1.0,10.0,3.333333333333334,1.0
1,25-34,,4,1.0,3.25,1.0,4.0,9.454545454545455,10.0,4.0,4.0,1.0,5.5,1.0,4.0,5.5,3.25,3.025,7.428571428571429,3.6666666666666665,1.0,1.0,10.0,5.333333333333333,1.0
1,35-44,,4,4.0,5.5,4.0,3.0,3.454545454545454,4.0,3.75,1.0,6.3999999999999995,5.5,1.0,1.6666666666666667,3.25,3.25,3.9250000000000003,1.6428571428571428,1.0,10.0,5.5,10.0,3.0,1.0
1,45-54,,4,4.0,5.5,1.0,7.75,9.181818181818182,10.0,5.75,1.0,6.3999999999999995,5.5,1.0,5.333333333333333,5.5,5.5,2.8,5.5,3.0,10.0,1.0,10.0,5.0,1.0
2,25-34,,4,7.0,5.5,4.0,5.25,8.90909090909091,10.0,5.0,1.0,4.6,5.5,1.0,5.666666666666668,7.75,3.25,3.025,2.2857142857142856,3.6666666666666665,1.0,1.0,1.0,6.0,4.857142857142857
2,25-34,,4,7.0,5.5,4.0,6.75,9.727272727272727,10.0,5.25,4.0,6.3999999999999995,5.5,1.0,2.3333333333333335,3.25,3.25,3.9250000000000003,2.2857142857142856,5.0,10.0,1.0,1.0,7.0,2.2857142857142856
2,25-34,,4,1.0,10.0,1.0,3.5,6.7272727272727275,10.0,2.75,1.0,6.3999999999999995,5.5,1.0,1.0,1.0,3.25,4.15,1.6428571428571428,1.0,10.0,7.75,1.0,3.6666666666666665,2.2857142857142856
2,35-44,,4,4.0,5.5,7.0,5.25,2.909090909090909,4.0,1.25,4.0,1.0,5.5,5.5,1.0,1.0,3.25,4.15,2.2857142857142856,1.0,10.0,5.5,10.0,3.6666666666666665,2.2857142857142856
2,25-34,,4,7.0,5.5,1.0,2.75,4.545454545454545,10.0,3.333333333333334,4.0,10.0,5.5,5.5,1.0,1.0,3.25,3.6999999999999997,1.6428571428571428,1.0,10.0,5.5,10.0,3.333333333333334,1.0
2,55-64,,4,7.0,7.75,1.0,3.5,8.363636363636363,10.0,3.75,4.0,8.2,5.5,1.0,1.0,1.0,3.25,3.6999999999999997,1.6428571428571428,1.0,10.0,5.5,10.0,4.333333333333333,2.2857142857142856
1,25-34,,4,4.0,5.5,7.0,6.5,8.636363636363637,10.0,5.25,4.0,6.3999999999999995,5.5,1.0,1.6666666666666667,10.0,5.5,2.3499999999999996,2.2857142857142856,3.333333333333334,10.0,1.0,10.0,5.666666666666668,1.0
2,25-34,,4,7.0,5.5,1.0,5.5,3.454545454545454,10.0,6.0,4.0,1.0,5.5,1.0,2.6666666666666665,3.25,5.5,3.6999999999999997,2.2857142857142856,1.0,1.0,1.0,1.0,5.666666666666668,1.0
1,25-34,,4,7.0,3.25,7.0,7.5,9.454545454545455,10.0,5.5,1.0,6.3999999999999995,5.5,1.0,5.0,7.75,5.5,2.575,3.571428571428571,3.0,1.0,1.0,1.0,5.333333333333333,1.0
1,25-34,,4,1.0,10.0,1.0,1.75,4.818181818181818,10.0,5.25,1.0,6.3999999999999995,5.5,1.0,1.3333333333333333,1.0,3.25,3.9250000000000003,1.6428571428571428,1.0,10.0,3.25,5.5,3.0,1.0
1,45-54,,4,4.0,10.0,1.0,6.0,4.818181818181818,7.0,4.5,1.0,6.3999999999999995,1.0,5.5,2.5,1.0,3.25,3.475,2.2857142857142856,3.333333333333334,10.0,7.75,1.0,3.0,1.0
2,19-24,,4,4.0,3.25,7.0,6.75,8.636363636363637,10.0,5.0,1.0,8.2,5.5,1.0,4.0,10.0,3.25,2.8,2.2857142857142856,3.0,1.0,1.0,1.0,6.0,1.0
2,35-44,,4,4.0,10.0,1.0,4.0,6.181818181818182,7.0,4.5,1.0,4.6,5.5,1.0,1.6666666666666667,1.0,3.25,3.6999999999999997,2.2857142857142856,2.3333333333333335,10.0,5.5,1.0,3.333333333333334,1.0
2,45-54,,4,4.0,5.5,1.0,3.25,7.0,10.0,3.25,1.0,4.6,5.5,1.0,2.0,1.0,5.5,4.15,1.6428571428571428,1.0,10.0,5.5,1.0,3.0,1.0
1,25-34,,4,4.0,5.5,4.0,3.0,6.454545454545455,10.0,6.5,4.0,8.2,5.5,5.5,5.666666666666668,3.25,7.75,3.9250000000000003,2.2857142857142856,2.3333333333333335,1.0,1.0,1.0,6.333333333333333,2.2857142857142856
1,19-24,,4,1.0,7.75,4.0,6.0,9.181818181818182,10.0,4.0,4.0,4.6,5.5,1.0,3.333333333333334,3.25,5.5,1.45,6.142857142857142,3.333333333333334,10.0,5.5,1.0,4.0,1.0
1,25-34,,4,4.0,5.5,4.0,4.0,9.454545454545455,10.0,6.75,4.0,1.0,5.5,1.0,5.0,5.5,5.5,2.3499999999999996,6.142857142857142,5.0,1.0,1.0,1.0,4.666666666666667,2.2857142857142856
1,25-34,,4,4.0,7.75,1.0,6.5,5.090909090909092,7.0,5.5,4.0,2.8,5.5,5.5,6.0,1.0,7.75,4.09375,3.571428571428571,6.0,10.0,7.75,10.0,5.333333333333333,1.0
1,25-34,,4,4.0,7.75,1.0,4.5,6.181818181818182,7.0,3.75,4.0,6.3999999999999995,5.5,1.0,4.666666666666667,3.25,5.5,1.9,5.5,5.333333333333333,10.0,3.25,5.5,6.666666666666667,1.0
1,45-54,,4,7.0,3.25,7.0,5.0,8.90909090909091,10.0,4.5,7.0,4.6,5.5,1.0,4.333333333333333,3.25,5.5,2.3499999999999996,4.214285714285714,2.6666666666666665,10.0,5.5,1.0,3.6666666666666665,1.0
2,25-34,,4,7.0,5.5,1.0,1.0,2.090909090909091,4.0,7.5,7.0,10.0,5.5,1.0,1.0,3.25,7.75,4.15,1.0,1.3333333333333333,10.0,3.25,10.0,6.0,2.2857142857142856
2,25-34,,4,7.0,5.5,1.0,2.5,3.454545454545454,7.0,7.75,4.0,10.0,5.5,1.0,3.333333333333334,3.25,7.75,3.475,1.6428571428571428,2.6666666666666665,10.0,3.25,10.0,6.666666666666667,2.2857142857142856
2,25-34,,4,4.0,7.75,4.0,4.0,7.2727272727272725,7.0,4.0,7.0,1.0,5.5,1.0,6.333333333333333,5.5,5.5,1.225,6.7857142857142865,7.333333333333334,10.0,5.5,10.0,7.333333333333334,1.0
2,35-44,,4,1.0,5.5,1.0,5.75,8.363636363636363,7.0,3.5,4.0,2.8,5.5,1.0,3.333333333333334,3.25,5.5,3.475,1.6428571428571428,3.0,10.0,1.0,1.0,3.0,2.2857142857142856
2,35-44,,4,7.0,5.5,1.0,3.5,4.0,7.0,4.5,4.0,6.3999999999999995,5.5,1.0,4.333333333333333,3.25,5.5,3.6999999999999997,2.2857142857142856,3.333333333333334,10.0,1.0,10.0,6.0,1.0
2,45-54,,4,7.0,5.5,1.0,4.0,6.7272727272727275,10.0,2.0,4.0,6.3999999999999995,5.5,1.0,1.0,3.25,3.25,3.25,4.214285714285714,1.0,10.0,1.0,1.0,6.333333333333333,1.0
2,25-34,,4,4.0,5.5,4.0,3.5,5.090909090909092,4.0,5.5,1.0,6.3999999999999995,5.5,5.5,4.0,1.0,7.75,3.6999999999999997,2.2857142857142856,2.3333333333333335,10.0,7.75,1.0,3.0,2.2857142857142856
1,35-44,,4,4.0,5.5,4.0,3.25,6.7272727272727275,4.0,6.75,1.0,4.6,5.5,5.5,5.333333333333333,3.25,5.5,3.475,1.6428571428571428,2.0,10.0,5.5,10.0,6.333333333333333,2.2857142857142856
1,25-34,,4,1.0,5.5,7.0,2.5,7.818181818181819,10.0,6.0,1.0,4.6,5.5,5.5,5.0,3.25,5.5,2.8,1.6428571428571428,2.6666666666666665,1.0,1.0,10.0,6.333333333333333,1.0
1,19-24,,4,4.0,7.75,4.0,2.5,7.0,4.0,7.25,1.0,4.6,5.5,1.0,5.333333333333333,1.0,5.5,3.25,1.6428571428571428,2.3333333333333335,10.0,7.75,1.0,5.666666666666668,1.0
2,25-34,,4,7.0,5.5,4.0,5.0,7.6000000000000005,,6.75,1.0,4.6,5.5,5.5,7.0,3.25,5.5,2.575,1.6428571428571428,2.3333333333333335,10.0,3.25,10.0,6.666666666666667,2.2857142857142856
2,25-34,,4,7.0,5.5,4.0,4.5,4.818181818181818,4.0,7.0,10.0,4.6,5.5,1.0,3.0,1.0,3.25,3.025,2.2857142857142856,3.0,1.0,5.5,1.0,6.333333333333333,3.571428571428571
1,35-44,,4,7.0,3.25,7.0,4.5,6.181818181818182,7.0,5.0,1.0,2.8,5.5,5.5,6.0,1.0,3.25,3.025,2.2857142857142856,2.3333333333333335,10.0,5.5,1.0,6.333333333333333,1.0
1,35-44,,4,4.0,5.5,7.0,4.75,5.909090909090908,7.0,8.0,1.0,4.6,5.5,1.0,6.0,3.25,5.5,3.025,1.6428571428571428,2.3333333333333335,10.0,5.5,1.0,7.0,6.142857142857142
2,25-34,,4,7.0,10.0,1.0,4.0,7.545454545454545,4.0,4.0,1.0,4.6,5.5,1.0,6.0,1.0,5.5,4.15,1.6428571428571428,2.3333333333333335,10.0,7.75,1.0,6.0,3.571428571428571
2,35-44,,4,4.0,5.5,7.0,6.5,8.090909090909092,7.0,8.0,4.0,2.8,5.5,1.0,7.333333333333334,1.0,5.5,3.475,1.6428571428571428,2.3333333333333335,1.0,1.0,1.0,7.0,3.571428571428571
1,35-44,,4,7.0,5.5,4.0,5.5,5.909090909090908,7.0,7.0,1.0,10.0,5.5,5.5,6.666666666666667,1.0,5.5,3.025,2.2857142857142856,2.3333333333333335,10.0,5.5,1.0,5.333333333333333,4.857142857142857
1,19-24,,4,4.0,5.5,4.0,4.25,9.454545454545455,10.0,8.0,1.0,10.0,5.5,5.5,7.666666666666667,1.0,5.5,3.8125,2.9285714285714284,2.3333333333333335,10.0,5.5,1.0,8.0,6.142857142857142
2,35-44,,4,4.0,7.75,4.0,5.5,4.0,4.0,4.75,4.0,4.6,5.5,1.0,3.333333333333334,1.0,7.75,4.15,1.6428571428571428,2.3333333333333335,10.0,5.5,1.0,5.0,4.857142857142857
1,45-54,,4,4.0,5.5,7.0,5.0,5.909090909090908,7.0,7.0,1.0,4.6,5.5,5.5,5.666666666666668,3.25,5.5,3.475,1.6428571428571428,2.3333333333333335,10.0,5.5,1.0,5.666666666666668,4.857142857142857
2,25-34,,4,10.0,5.5,1.0,2.5,7.0,7.0,5.0,4.0,1.0,10.0,1.0,2.6666666666666665,1.0,10.0,3.6999999999999997,2.2857142857142856,3.6666666666666665,10.0,5.5,10.0,4.666666666666667,2.2857142857142856
1,25-34,,4,7.0,5.5,4.0,4.0,4.2727272727272725,4.0,5.0,4.0,4.6,5.5,1.0,7.0,1.0,3.25,7.1875,2.2857142857142856,2.3333333333333335,1.0,3.25,10.0,5.333333333333333,2.2857142857142856
1,45-54,,4,4.0,5.5,7.0,6.75,6.181818181818182,10.0,6.75,1.0,2.8,5.5,1.0,4.333333333333333,5.5,5.5,3.25,1.6428571428571428,1.0,10.0,5.5,1.0,6.0,2.2857142857142856
1,35-44,,4,7.0,5.5,4.0,5.25,6.7272727272727275,10.0,6.5,4.0,6.3999999999999995,5.5,1.0,6.0,3.25,5.5,2.8,1.6428571428571428,2.3333333333333335,10.0,3.25,1.0,5.0,4.857142857142857
2,25-34,,4,4.0,7.75,4.0,3.0,7.818181818181819,7.0,6.666666666666667,1.0,4.6,5.5,1.0,4.666666666666667,1.0,5.5,3.9250000000000003,2.2857142857142856,3.333333333333334,10.0,5.5,10.0,6.333333333333333,2.2857142857142856
2,25-34,,4,4.0,10.0,1.0,2.75,5.636363636363637,7.0,6.333333333333333,7.0,4.6,5.5,1.0,4.333333333333333,1.0,3.25,3.6999999999999997,4.857142857142857,2.6666666666666665,10.0,10.0,10.0,6.333333333333333,1.0
2,25-34,,4,4.0,10.0,1.0,3.75,3.1818181818181817,4.0,4.75,1.0,2.8,5.5,1.0,6.333333333333333,3.25,1.0,3.9250000000000003,1.6428571428571428,3.6666666666666665,10.0,5.5,10.0,6.0,3.571428571428571
1,25-34,,4,1.0,7.75,1.0,5.75,6.181818181818182,1.0,6.75,10.0,4.6,10.0,1.0,4.666666666666667,1.0,1.0,3.25,2.2857142857142856,6.0,10.0,3.25,1.0,4.666666666666667,3.571428571428571
1,19-24,,4,4.0,7.75,7.0,4.25,4.0,,7.0,1.0,8.2,5.5,5.5,2.0,3.25,5.5,4.15,3.571428571428571,2.6666666666666665,10.0,5.5,10.0,5.666666666666668,1.0
1,19-24,,4,7.0,3.25,4.0,7.0,10.0,10.0,2.0,1.0,2.8,5.5,1.0,4.666666666666667,1.0,1.0,1.28125,5.5,6.0,10.0,10.0,10.0,4.5,1.0
1,19-24,,4,1.0,1.0,7.0,7.25,10.0,10.0,5.0,1.0,2.8,5.5,1.0,6.0,1.0,3.25,3.475,4.214285714285714,6.0,10.0,7.75,10.0,6.333333333333333,6.142857142857142
1,25-34,,4,4.0,5.5,1.0,4.25,2.1999999999999997,4.0,3.0,1.0,8.2,5.5,1.0,4.5,1.0,3.25,3.6999999999999997,2.2857142857142856,1.0,10.0,5.5,10.0,6.666666666666667,2.2857142857142856
1,25-34,,4,10.0,3.25,4.0,4.5,7.6000000000000005,7.0,4.25,7.0,4.6,1.0,5.5,2.3333333333333335,5.5,1.0,4.75,2.2857142857142856,1.0,10.0,10.0,5.5,5.5,1.0
1,35-44,,4,4.0,10.0,1.0,1.0,10.0,,3.25,1.0,6.3999999999999995,5.5,1.0,1.0,1.0,7.75,5.125,4.857142857142857,1.0,10.0,3.25,,2.3333333333333335,1.0
1,35-44,,4,1.0,3.25,1.0,5.5,3.1818181818181817,,8.0,1.0,4.6,10.0,10.0,5.0,1.0,3.25,3.6999999999999997,1.6428571428571428,4.0,10.0,3.25,10.0,6.0,1.0
1,35-44,,4,4.0,7.75,4.0,5.75,10.0,10.0,6.333333333333333,1.0,8.2,5.5,1.0,6.0,3.25,5.5,2.8,3.571428571428571,7.333333333333334,10.0,5.5,10.0,3.333333333333334,1.0
1,45-54,,4,7.0,7.75,4.0,8.0,8.363636363636363,4.0,3.25,1.0,4.6,5.5,1.0,7.666666666666667,3.25,7.75,4.09375,2.2857142857142856,10.0,10.0,7.75,10.0,6.666666666666667,2.2857142857142856
1,25-34,,4,4.0,5.5,7.0,7.75,5.909090909090908,4.0,3.5,1.0,2.8,5.5,1.0,4.333333333333333,1.0,3.25,3.25,3.571428571428571,7.666666666666667,10.0,5.5,5.5,6.0,2.2857142857142856
1,25-34,,4,4.0,7.75,4.0,3.0,4.333333333333334,,3.25,1.0,6.3999999999999995,1.0,1.0,6.333333333333333,3.25,5.5,3.9250000000000003,4.857142857142857,4.333333333333333,10.0,5.5,10.0,6.0,4.857142857142857
2,35-44,,4,4.0,7.75,4.0,2.0,6.7272727272727275,10.0,5.25,1.0,8.2,1.0,1.0,1.3333333333333333,1.0,5.5,4.15,2.2857142857142856,1.0,10.0,5.5,1.0,6.0,3.571428571428571
1,25-34,,4,1.0,7.75,7.0,3.6666666666666665,8.90909090909091,10.0,4.0,1.0,4.6,5.5,1.0,2.3333333333333335,1.0,7.75,3.475,4.857142857142857,3.333333333333334,10.0,3.25,10.0,6.0,2.2857142857142856
2,25-34,,4,7.0,3.25,4.0,1.0,4.2727272727272725,7.0,5.75,1.0,6.3999999999999995,10.0,1.0,1.0,1.0,7.75,4.15,2.2857142857142856,1.0,10.0,5.5,1.0,1.0,4.857142857142857
2,35-44,,4,7.0,3.25,1.0,10.0,4.0,7.0,4.75,4.0,6.3999999999999995,5.5,5.5,6.666666666666667,1.0,3.25,3.9250000000000003,1.6428571428571428,3.0,10.0,3.25,1.0,4.666666666666667,3.571428571428571
1,19-24,,4,4.0,3.25,4.0,7.0,5.909090909090908,10.0,4.0,1.0,6.3999999999999995,5.5,1.0,8.0,1.0,1.0,4.375,2.9285714285714284,9.666666666666666,10.0,5.5,1.0,9.0,2.2857142857142856
2,25-34,,4,7.0,7.75,4.0,3.75,5.909090909090908,7.0,7.5,4.0,8.2,5.5,1.0,7.0,1.0,3.25,3.53125,2.2857142857142856,1.0,10.0,5.5,1.0,5.333333333333333,1.0
1,35-44,,4,4.0,10.0,1.0,1.0,8.363636363636363,4.0,6.25,1.0,2.8,1.0,1.0,4.0,1.0,7.75,3.25,1.6428571428571428,1.0,10.0,7.75,10.0,6.0,1.0
1,45-54,,4,4.0,3.25,7.0,6.5,8.90909090909091,10.0,5.0,1.0,4.6,5.5,1.0,5.0,3.25,5.5,3.9250000000000003,4.857142857142857,4.0,10.0,5.5,10.0,6.0,2.2857142857142856
2,65+,,4,1.0,10.0,4.0,1.25,5.636363636363637,7.0,4.0,4.0,8.2,5.5,1.0,1.3333333333333333,10.0,7.75,4.15,1.6428571428571428,1.0,10.0,5.5,10.0,5.666666666666668,2.2857142857142856
1,35-44,,4,4.0,5.5,7.0,4.5,5.636363636363637,4.0,4.5,4.0,4.6,5.5,1.0,8.666666666666666,1.0,7.75,3.475,1.6428571428571428,8.0,10.0,5.5,10.0,5.0,1.0
1,45-54,,4,1.0,5.5,10.0,1.5,6.181818181818182,7.0,4.0,7.0,10.0,5.5,10.0,6.666666666666667,3.25,5.5,7.1875,2.2857142857142856,4.0,10.0,5.5,10.0,6.0,1.0
1,35-44,,4,4.0,5.5,4.0,1.25,5.090909090909092,10.0,4.25,7.0,4.6,5.5,5.5,5.666666666666668,3.25,7.75,3.6999999999999997,1.6428571428571428,2.6666666666666665,10.0,5.5,1.0,6.333333333333333,1.0
2,55-64,,4,1.0,10.0,4.0,2.25,7.0,10.0,4.5,4.0,2.8,5.5,1.0,5.333333333333333,7.75,5.5,3.9250000000000003,2.2857142857142856,3.6666666666666665,1.0,1.0,5.5,5.666666666666668,1.0
1,25-34,,4,4.0,7.75,4.0,8.0,3.454545454545454,4.0,5.5,4.0,6.3999999999999995,5.5,1.0,8.333333333333334,1.0,7.75,1.9,6.142857142857142,7.0,1.0,5.5,10.0,3.5,6.142857142857142
1,35-44,,4,4.0,7.75,4.0,3.5,3.454545454545454,4.0,5.5,4.0,8.2,5.5,1.0,7.666666666666667,1.0,7.75,1.45,6.142857142857142,5.0,10.0,5.5,10.0,5.333333333333333,1.0
2,0-18,,4,4.0,7.75,1.0,3.25,8.363636363636363,10.0,3.25,1.0,2.8,5.5,1.0,1.6666666666666667,1.0,7.75,3.025,1.6428571428571428,1.0,10.0,5.5,10.0,5.666666666666668,1.0
1,19-24,,4,1.0,10.0,1.0,2.75,6.7272727272727275,10.0,3.5,4.0,4.6,5.5,1.0,6.0,3.25,7.75,3.6999999999999997,1.0,4.0,10.0,7.75,10.0,5.666666666666668,1.0
2,45-54,,4,4.0,10.0,1.0,1.25,8.636363636363637,10.0,3.75,1.0,6.3999999999999995,5.5,1.0,2.6666666666666665,1.0,3.25,4.65625,2.2857142857142856,1.0,10.0,7.75,10.0,6.0,1.0
