sexo,edad,escol,Tam_loc,wvs_agg_child_qualities_autonomy_self_expression,wvs_agg_child_qualities_conformity_tradition,wvs_agg_child_qualities_prosocial_diligence,wvs_agg_civic_dishonesty_tolerance,wvs_agg_confidence_in_domestic_institutions,wvs_agg_life_autonomy_morality_permissiveness,wvs_agg_offline_political_participation,wvs_agg_postmaterialist_values,wvs_agg_religious_belief,wvs_agg_religious_practice_and_self_identification,wvs_agg_sexual_and_reproductive_morality_permissiveness,wvs_agg_social_intolerance_deviant_behavior,wvs_agg_social_intolerance_outgroups,wvs_agg_societal_change_attitudes,wvs_agg_subjective_wellbeing,wvs_agg_voluntary_association_active_membership
,25-34,,,4.0,5.5,4.0,4.25,3.0,4.0,3.25,5.5,3.341836734693877,4.857142857142857,1.0,10.0,1.0,1.0,7.0,1.0
,19-24,,,7.0,5.5,1.0,3.5,5.999999999999999,1.0,1.0,5.5,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,1.0,2.125,1.0
,19-24,,,1.0,10.0,1.0,1.0,4.333333333333334,1.0,1.0,5.5,3.204081632653061,1.6428571428571428,1.0,10.0,1.0,1.0,5.5,1.0
,19-24,,,4.0,3.25,4.0,1.25,10.0,3.333333333333334,1.0,5.5,3.204081632653061,2.2857142857142856,1.0,10.0,1.0,1.0,4.0,1.0
,25-34,,,4.0,5.5,1.0,4.25,9.333333333333334,3.0,1.0,5.5,3.204081632653061,6.142857142857142,1.0,1.0,1.0,10.0,5.875,1.0
,19-24,,,4.0,5.5,4.0,5.25,5.999999999999999,2.3333333333333335,1.0,1.0,2.6530612244897958,1.6428571428571428,1.0,10.0,1.0,1.0,5.875,1.0
,55-64,,,1.0,5.5,4.0,4.75,7.333333333333334,3.333333333333334,3.25,5.5,3.387755102040816,1.0,3.0,1.0,1.0,10.0,7.0,1.0
,25-34,,,4.0,3.25,7.0,3.0,7.0,4.0,1.0,1.0,2.836734693877551,4.214285714285714,1.6666666666666667,1.0,1.0,10.0,5.5,2.8
,25-34,,,4.0,3.25,7.0,1.75,6.666666666666667,5.0,1.0,5.5,2.6530612244897958,2.2857142857142856,6.0,10.0,1.0,10.0,5.5,1.0
,25-34,,,7.0,5.5,1.0,1.75,5.0,1.0,1.0,5.5,3.387755102040816,2.2857142857142856,1.0,10.0,1.0,10.0,4.75,1.0
,0-18,,,1.0,7.75,1.0,1.0,9.0,1.0,1.0,5.5,2.836734693877551,2.2857142857142856,1.0,10.0,1.0,5.5,3.6249999999999996,1.0
,0-18,,,1.0,7.75,1.0,3.5,5.666666666666666,3.333333333333334,1.0,1.0,2.6530612244897958,1.6428571428571428,5.0,1.0,1.0,10.0,5.875,2.8
,55-64,,,4.0,7.75,1.0,5.5,9.666666666666666,1.0,3.25,1.0,4.489795918367346,2.2857142857142856,3.333333333333334,10.0,1.0,10.0,5.125,1.0
,19-24,,,7.0,5.5,1.0,2.75,7.0,4.333333333333333,1.0,1.0,2.2857142857142856,4.214285714285714,1.0,1.0,1.0,10.0,3.6249999999999996,1.0
,0-18,,,1.0,5.5,4.0,5.75,6.333333333333333,4.333333333333333,1.0,1.0,3.387755102040816,4.214285714285714,2.0,10.0,1.0,1.0,4.375,2.8
,19-24,,,7.0,3.25,1.0,4.25,5.0,2.6666666666666665,3.25,1.0,3.204081632653061,1.6428571428571428,4.666666666666667,1.0,1.0,10.0,5.875,1.0
,0-18,,,4.0,5.5,4.0,7.5,9.0,3.0,1.0,5.5,3.204081632653061,2.9285714285714284,2.3333333333333335,10.0,1.0,10.0,5.5,2.8
,0-18,,,1.0,5.5,7.0,6.0,9.0,10.0,1.0,5.5,2.4234693877551017,1.6428571428571428,9.0,1.0,1.0,10.0,5.5,2.8
,25-34,,,4.0,5.5,1.0,4.5,7.333333333333334,4.666666666666667,1.0,1.0,1.7346938775510203,2.9285714285714284,3.6666666666666665,10.0,1.0,1.0,4.75,1.0
,25-34,,,7.0,3.25,1.0,1.0,8.0,6.666666666666667,5.5,1.0,1.0,2.2857142857142856,2.0,1.0,1.0,10.0,4.75,1.0
,19-24,,,4.0,5.5,4.0,3.25,9.0,4.0,1.0,1.0,1.0,2.2857142857142856,7.0,1.0,1.0,10.0,3.6249999999999996,2.8
,0-18,,,4.0,5.5,1.0,3.0,5.333333333333334,5.0,1.0,1.0,2.2857142857142856,1.6428571428571428,1.0,10.0,1.0,10.0,5.5,1.0
,35-44,,,1.0,7.75,1.0,1.0,6.333333333333333,4.0,3.25,5.5,2.6530612244897958,1.6428571428571428,1.0,1.0,1.0,10.0,6.25,6.3999999999999995
,19-24,,,7.0,5.5,1.0,7.5,9.666666666666666,4.333333333333333,1.0,1.0,3.1122448979591835,6.142857142857142,2.0,10.0,1.0,5.5,4.75,2.8
,19-24,,,4.0,5.5,1.0,5.25,8.666666666666666,1.0,1.0,1.0,2.836734693877551,4.214285714285714,1.0,1.0,1.0,10.0,5.5,1.0
,35-44,,,1.0,7.75,1.0,3.75,7.333333333333334,1.0,3.25,1.0,1.5510204081632653,2.2857142857142856,1.0,1.0,1.0,10.0,4.0,2.8
,19-24,,,1.0,7.75,1.0,3.0,3.6666666666666665,3.6666666666666665,1.0,5.5,3.387755102040816,2.2857142857142856,4.666666666666667,1.0,1.0,10.0,5.5,1.0
,25-34,,,7.0,3.25,1.0,1.0,2.333333333333333,6.0,3.25,1.0,3.801020408163265,2.2857142857142856,4.333333333333333,1.0,1.0,10.0,6.25,1.0
,0-18,,,4.0,5.5,4.0,4.5,7.0,1.0,3.25,1.0,3.387755102040816,1.6428571428571428,1.0,1.0,1.0,1.0,4.375,1.0
,25-34,,,4.0,5.5,4.0,3.25,8.666666666666666,1.0,1.0,5.5,2.6530612244897958,2.2857142857142856,1.0,1.0,1.0,10.0,5.125,1.0
,25-34,,,4.0,7.75,1.0,5.0,6.666666666666667,4.0,1.0,5.5,2.1020408163265305,2.2857142857142856,3.0,10.0,1.0,10.0,5.125,1.0
,19-24,,,4.0,3.25,4.0,1.75,10.0,7.0,1.0,1.0,2.4693877551020407,5.5,1.0,10.0,1.0,1.0,5.875,1.0
,25-34,,,1.0,5.5,1.0,3.25,8.666666666666666,6.333333333333333,1.0,1.0,2.836734693877551,2.2857142857142856,1.0,10.0,1.0,10.0,6.25,1.0
,25-34,,,1.0,7.75,1.0,3.0,8.0,3.333333333333334,1.0,1.0,2.6530612244897958,2.2857142857142856,3.333333333333334,10.0,1.0,10.0,6.25,2.8
,0-18,,,1.0,7.75,4.0,1.0,5.999999999999999,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,10.0,4.375,1.0
,0-18,,,4.0,5.5,4.0,1.0,5.666666666666666,1.0,1.0,5.5,3.204081632653061,1.6428571428571428,1.0,1.0,1.0,10.0,6.625,1.0
,0-18,,,7.0,3.25,7.0,1.5,5.0,4.0,1.0,5.5,3.204081632653061,2.2857142857142856,7.0,1.0,1.0,10.0,6.625,2.8
,0-18,,,7.0,5.5,1.0,5.25,6.333333333333333,3.333333333333334,1.0,5.5,3.0204081632653055,1.6428571428571428,1.0,10.0,1.0,5.5,4.0,2.8
,0-18,,,7.0,5.5,1.0,1.25,6.333333333333333,1.0,1.0,5.5,3.204081632653061,2.2857142857142856,1.0,10.0,1.0,10.0,5.875,1.0
,19-24,,,4.0,3.25,4.0,4.25,5.666666666666666,1.0,1.0,1.0,3.204081632653061,1.0,1.0,10.0,1.0,10.0,5.5,1.0
,0-18,,,4.0,5.5,1.0,2.25,6.333333333333333,1.3333333333333333,1.0,5.5,3.204081632653061,1.6428571428571428,1.0,1.0,1.0,10.0,5.875,2.8
,0-18,,,7.0,3.25,1.0,1.0,8.333333333333334,1.0,1.0,1.0,3.204081632653061,2.2857142857142856,1.0,1.0,1.0,10.0,5.875,1.0
,0-18,,,1.0,5.5,4.0,1.0,6.333333333333333,3.0,1.0,5.5,3.0204081632653055,2.2857142857142856,1.0,1.0,1.0,10.0,5.125,1.0
,0-18,,,4.0,5.5,4.0,2.5,6.333333333333333,2.0,1.0,1.0,3.204081632653061,2.2857142857142856,1.0,1.0,1.0,1.0,4.75,2.8
,0-18,,,7.0,5.5,1.0,6.5,7.0,4.0,1.0,1.0,2.2857142857142856,1.6428571428571428,3.333333333333334,10.0,10.0,1.0,5.875,4.6
,19-24,,,4.0,7.75,1.0,5.75,8.333333333333334,7.333333333333334,1.0,1.0,3.204081632653061,1.6428571428571428,4.666666666666667,10.0,1.0,5.5,2.875,1.0
,19-24,,,1.0,7.75,1.0,3.5,6.333333333333333,1.6666666666666667,1.0,5.5,2.836734693877551,1.6428571428571428,2.6666666666666665,1.0,1.0,10.0,5.5,2.8
,0-18,,,4.0,3.25,1.0,4.75,5.0,5.333333333333333,1.0,1.0,2.4693877551020407,1.6428571428571428,4.333333333333333,1.0,1.0,1.0,5.125,1.0
,25-34,,,7.0,3.25,4.0,1.0,10.0,1.0,1.0,1.0,4.489795918367346,1.6428571428571428,1.0,10.0,1.0,10.0,6.25,2.8
,25-34,,,1.0,3.25,4.0,6.75,5.999999999999999,6.333333333333333,1.0,1.0,3.387755102040816,2.2857142857142856,1.0,10.0,1.0,10.0,7.0,1.0
,35-44,,,4.0,3.25,4.0,1.0,8.666666666666666,2.3333333333333335,1.0,1.0,3.387755102040816,2.2857142857142856,1.0,10.0,1.0,1.0,4.75,2.8
,25-34,,,4.0,3.25,7.0,1.5,5.666666666666666,3.0,3.25,5.5,3.0204081632653055,2.9285714285714284,1.6666666666666667,10.0,1.0,10.0,5.5,1.0
,55-64,,,4.0,5.5,4.0,1.0,4.0,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,1.0,6.625,1.0
,19-24,,,4.0,7.75,1.0,1.0,10.0,2.3333333333333335,1.0,1.0,1.3673469387755102,2.2857142857142856,1.0,10.0,1.0,5.5,4.375,1.0
,35-44,,,1.0,5.5,4.0,1.0,4.333333333333334,4.0,5.5,5.5,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,10.0,4.375,2.8
,35-44,,,1.0,7.75,4.0,1.0,5.333333333333334,1.0,1.0,5.5,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,1.0,6.625,1.0
,35-44,,,4.0,3.25,1.0,2.0,6.666666666666667,3.333333333333334,1.0,1.0,3.341836734693877,5.5,1.0,1.0,1.0,10.0,4.375,1.0
,35-44,,,1.0,7.75,4.0,2.0,6.333333333333333,1.0,1.0,5.5,3.387755102040816,1.0,1.0,10.0,1.0,10.0,6.25,1.0
,35-44,,,7.0,5.5,1.0,3.25,7.666666666666667,3.0,1.0,1.0,3.0204081632653055,1.6428571428571428,3.0,10.0,1.0,10.0,6.25,1.0
,35-44,,,7.0,5.5,1.0,2.25,4.666666666666667,5.0,5.5,5.5,10.0,,5.0,10.0,1.0,10.0,5.5,4.6
,25-34,,,1.0,5.5,1.0,1.0,6.666666666666667,1.0,1.0,5.5,2.836734693877551,2.2857142857142856,1.0,10.0,1.0,1.0,5.5,2.8
,35-44,,,4.0,5.5,1.0,2.25,7.666666666666667,1.0,1.0,1.0,1.5510204081632653,1.6428571428571428,1.0,10.0,1.0,10.0,4.375,1.0
,0-18,,,4.0,3.25,4.0,1.0,5.333333333333334,1.0,1.0,1.0,3.204081632653061,1.6428571428571428,1.0,10.0,1.0,10.0,5.5,1.0
,0-18,,,4.0,3.25,1.0,1.0,7.0,1.0,1.0,5.5,2.2857142857142856,2.2857142857142856,1.0,1.0,1.0,5.5,3.6249999999999996,2.8
,19-24,,,4.0,3.25,1.0,4.0,4.666666666666667,4.333333333333333,1.0,1.0,2.1938775510204085,2.2857142857142856,5.666666666666668,1.0,1.0,10.0,3.6249999999999996,1.0
,19-24,,,4.0,5.5,4.0,1.25,4.333333333333334,3.6666666666666665,1.0,1.0,3.0204081632653055,2.2857142857142856,1.6666666666666667,10.0,1.0,10.0,5.875,1.0
,0-18,,,4.0,5.5,1.0,1.0,5.333333333333334,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,1.0,5.875,1.0
,65+,,,4.0,5.5,1.0,3.0,9.666666666666666,4.333333333333333,1.0,5.5,2.6530612244897958,5.5,4.333333333333333,1.0,1.0,10.0,4.75,1.0
,25-34,,,1.0,5.5,1.0,3.25,4.666666666666667,7.0,1.0,5.5,3.387755102040816,4.214285714285714,5.333333333333333,1.0,1.0,1.0,7.0,1.0
,35-44,,,7.0,1.0,1.0,1.0,7.333333333333334,1.0,1.0,1.0,2.836734693877551,3.571428571428571,1.0,1.0,1.0,10.0,2.875,1.0
,25-34,,,1.0,5.5,4.0,1.0,7.666666666666667,7.0,3.25,1.0,1.3673469387755102,2.2857142857142856,5.0,1.0,1.0,10.0,6.25,2.8
,0-18,,,1.0,7.75,7.0,1.75,8.0,1.0,1.0,1.0,1.9183673469387754,2.2857142857142856,1.0,1.0,1.0,10.0,4.75,1.0
,0-18,,,1.0,7.75,1.0,1.0,7.0,1.0,1.0,1.0,2.2857142857142856,2.2857142857142856,1.0,1.0,1.0,10.0,4.75,1.0
,35-44,,,4.0,5.5,4.0,4.5,5.999999999999999,3.6666666666666665,1.0,5.5,2.4693877551020407,2.2857142857142856,5.666666666666668,10.0,1.0,10.0,3.25,1.0
,35-44,,,1.0,3.25,7.0,1.0,3.0,1.0,1.0,5.5,2.836734693877551,1.6428571428571428,1.0,10.0,1.0,10.0,5.5,2.8
,55-64,,,4.0,7.75,1.0,1.5,7.333333333333334,1.0,1.0,5.5,4.183673469387754,2.2857142857142856,1.0,10.0,1.0,10.0,5.5,2.8
,0-18,,,4.0,5.5,1.0,2.25,7.666666666666667,1.0,1.0,1.0,2.4693877551020407,4.857142857142857,1.0,1.0,1.0,10.0,5.5,1.0
,25-34,,,7.0,5.5,1.0,4.25,7.0,2.3333333333333335,1.0,1.0,1.7346938775510203,2.2857142857142856,3.333333333333334,1.0,1.0,10.0,6.25,2.8
,0-18,,,1.0,5.5,1.0,6.0,6.666666666666667,3.0,1.0,5.5,2.4693877551020407,1.6428571428571428,2.0,10.0,1.0,1.0,3.25,1.0
,0-18,,,4.0,3.25,1.0,1.75,8.333333333333334,1.0,1.0,1.0,3.0204081632653055,5.5,1.0,10.0,1.0,10.0,5.5,1.0
,19-24,,,1.0,7.75,1.0,2.25,7.666666666666667,2.3333333333333335,1.0,5.5,2.836734693877551,1.6428571428571428,2.3333333333333335,1.0,1.0,10.0,5.875,1.0
,0-18,,,1.0,3.25,10.0,1.0,8.0,1.0,1.0,1.0,3.204081632653061,1.6428571428571428,1.0,10.0,1.0,10.0,4.75,1.0
,19-24,,,1.0,5.5,1.0,1.0,7.0,1.0,1.0,1.0,3.387755102040816,,1.0,10.0,1.0,10.0,6.625,2.8
,0-18,,,1.0,3.25,7.0,4.5,4.333333333333334,1.0,1.0,5.5,3.0204081632653055,1.6428571428571428,1.6666666666666667,10.0,1.0,10.0,2.5,1.0
,25-34,,,4.0,7.75,4.0,1.0,8.0,2.3333333333333335,1.0,5.5,3.0204081632653055,5.5,1.0,10.0,1.0,10.0,5.875,1.0
,19-24,,,1.0,7.75,1.0,4.25,8.0,5.333333333333333,1.0,1.0,2.836734693877551,2.2857142857142856,1.0,1.0,1.0,1.0,4.75,2.8
,35-44,,,4.0,5.5,1.0,4.5,5.0,5.0,1.0,5.5,2.8826530612244894,3.571428571428571,5.0,1.0,1.0,10.0,5.125,1.0
,35-44,,,7.0,3.25,4.0,1.0,8.666666666666666,1.0,5.5,5.5,3.387755102040816,1.6428571428571428,2.3333333333333335,1.0,1.0,10.0,6.25,1.0
,25-34,,,4.0,5.5,1.0,7.0,5.666666666666666,1.0,3.25,5.5,1.0,,1.0,1.0,1.0,1.0,5.5,2.8
,25-34,,,7.0,5.5,4.0,1.0,10.0,1.0,1.0,5.5,1.0,,1.0,10.0,1.0,1.0,6.25,1.0
,25-34,,,4.0,3.25,4.0,2.25,9.666666666666666,5.0,1.0,5.5,2.836734693877551,2.2857142857142856,1.0,1.0,1.0,10.0,6.625,1.0
,25-34,,,7.0,3.25,7.0,2.25,5.0,7.0,1.0,1.0,1.3673469387755102,1.0,4.0,1.0,1.0,5.5,5.875,2.8
,25-34,,,4.0,5.5,1.0,3.25,6.333333333333333,1.0,1.0,5.5,3.387755102040816,2.2857142857142856,1.0,1.0,1.0,10.0,5.125,1.0
,25-34,,,4.0,5.5,1.0,3.0,7.666666666666667,4.666666666666667,5.5,1.0,2.1020408163265305,2.9285714285714284,3.333333333333334,1.0,1.0,10.0,5.5,2.8
,55-64,,,4.0,5.5,4.0,1.0,2.333333333333333,1.0,1.0,1.0,3.387755102040816,1.0,1.0,1.0,1.0,10.0,5.125,1.0
,25-34,,,4.0,5.5,1.0,4.0,8.0,5.333333333333333,1.0,1.0,2.6530612244897958,1.0,5.0,1.0,1.0,10.0,6.25,1.0
,0-18,,,1.0,7.75,1.0,4.5,10.0,2.6666666666666665,1.0,1.0,3.0204081632653055,6.7857142857142865,1.0,10.0,1.0,10.0,5.875,2.8
,35-44,,,1.0,5.5,1.0,2.0,5.666666666666666,2.0,1.0,5.5,2.1020408163265305,3.571428571428571,2.0,10.0,1.0,10.0,5.125,1.0
,19-24,,,4.0,5.5,1.0,1.0,9.0,4.0,1.0,1.0,3.387755102040816,2.2857142857142856,1.0,10.0,1.0,10.0,5.5,1.0
,25-34,,,1.0,3.25,4.0,4.75,4.0,2.6666666666666665,5.5,1.0,2.4693877551020407,5.5,1.0,1.0,1.0,10.0,6.25,2.8
,0-18,,,1.0,5.5,1.0,4.5,4.333333333333334,1.0,1.0,1.0,3.387755102040816,1.0,1.0,10.0,1.0,10.0,5.875,2.8
,0-18,,,4.0,5.5,1.0,3.75,6.666666666666667,1.3333333333333333,1.0,1.0,3.204081632653061,1.6428571428571428,1.0,10.0,1.0,10.0,6.25,1.0
,25-34,,,4.0,5.5,1.0,3.0,7.333333333333334,7.0,1.0,1.0,2.6530612244897958,3.571428571428571,2.3333333333333335,1.0,1.0,1.0,4.375,1.0
,35-44,,,7.0,5.5,1.0,1.0,7.333333333333334,1.0,1.0,5.5,3.387755102040816,2.2857142857142856,1.0,1.0,1.0,1.0,6.25,2.8
,25-34,,,7.0,3.25,4.0,1.0,10.0,3.333333333333334,1.0,1.0,3.387755102040816,2.2857142857142856,1.0,1.0,1.0,1.0,6.625,1.0
,25-34,,,4.0,5.5,1.0,1.0,7.666666666666667,3.0,1.0,5.5,2.6530612244897958,2.2857142857142856,1.6666666666666667,1.0,1.0,10.0,4.0,1.0
,19-24,,,4.0,5.5,1.0,1.0,7.666666666666667,2.3333333333333335,1.0,1.0,1.9183673469387754,2.2857142857142856,1.0,1.0,1.0,10.0,4.0,1.0
,25-34,,,1.0,5.5,1.0,3.0,7.0,2.3333333333333335,1.0,5.5,3.387755102040816,5.5,1.0,1.0,1.0,10.0,5.5,1.0
,25-34,,,4.0,5.5,4.0,1.25,5.999999999999999,3.6666666666666665,1.0,1.0,3.387755102040816,1.6428571428571428,3.6666666666666665,1.0,1.0,10.0,6.25,1.0
,25-34,,,10.0,3.25,1.0,1.0,8.333333333333334,5.0,3.25,1.0,3.0204081632653055,2.9285714285714284,2.0,1.0,1.0,10.0,5.5,1.0
,55-64,,,1.0,7.75,4.0,1.0,6.333333333333333,2.3333333333333335,1.0,5.5,5.867346938775509,4.857142857142857,2.3333333333333335,1.0,1.0,10.0,4.75,2.8
,35-44,,,1.0,5.5,4.0,2.75,7.0,4.0,1.0,5.5,3.801020408163265,4.857142857142857,1.0,1.0,1.0,10.0,4.75,1.0
,0-18,,,4.0,3.25,4.0,3.0,7.666666666666667,1.0,1.0,5.5,2.836734693877551,1.6428571428571428,1.0,10.0,1.0,10.0,4.375,1.0
,0-18,,,1.0,5.5,7.0,3.25,6.666666666666667,2.6666666666666665,1.0,5.5,2.4693877551020407,1.6428571428571428,1.0,1.0,1.0,1.0,7.0,2.8
,19-24,,,1.0,3.25,7.0,3.0,4.0,2.0,1.0,5.5,2.6530612244897958,2.9285714285714284,1.3333333333333333,1.0,1.0,5.5,5.5,2.8
,0-18,,,1.0,5.5,1.0,4.5,8.333333333333334,3.6666666666666665,1.0,5.5,3.0204081632653055,2.2857142857142856,2.0,10.0,1.0,10.0,5.125,1.0
,25-34,,,1.0,5.5,7.0,1.0,3.0,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,1.0,1.0,10.0,7.0,2.8
,0-18,,,4.0,5.5,1.0,5.25,4.333333333333334,4.333333333333333,1.0,5.5,2.836734693877551,2.2857142857142856,1.0,10.0,1.0,1.0,4.75,1.0
,19-24,,,4.0,7.75,1.0,4.5,6.333333333333333,1.6666666666666667,1.0,5.5,3.387755102040816,1.6428571428571428,1.6666666666666667,10.0,1.0,10.0,4.0,1.0
,0-18,,,4.0,7.75,1.0,2.0,5.999999999999999,3.333333333333334,1.0,5.5,3.0204081632653055,5.5,2.0,10.0,1.0,5.5,5.5,2.8
,45-54,,,1.0,1.0,4.0,2.25,5.333333333333334,1.0,3.25,5.5,3.0204081632653055,1.6428571428571428,1.0,1.0,1.0,5.5,5.875,1.0
,25-34,,,4.0,7.75,1.0,4.25,5.333333333333334,3.333333333333334,3.25,1.0,2.836734693877551,1.0,1.0,1.0,1.0,10.0,5.5,1.0
,0-18,,,4.0,7.75,1.0,1.0,4.666666666666667,1.0,1.0,1.0,3.0204081632653055,2.2857142857142856,1.0,1.0,1.0,1.0,5.125,2.8
,35-44,,,1.0,3.25,1.0,3.0,1.0,1.0,1.0,5.5,3.204081632653061,1.6428571428571428,1.0,10.0,1.0,1.0,6.625,2.8
,25-34,,,1.0,7.75,4.0,3.25,6.333333333333333,1.0,1.0,5.5,2.836734693877551,1.6428571428571428,1.0,1.0,1.0,10.0,4.75,1.0
,0-18,,,4.0,5.5,1.0,5.0,5.999999999999999,3.333333333333334,10.0,1.0,1.3673469387755102,,3.333333333333334,1.0,1.0,10.0,5.875,2.8
,0-18,,,4.0,7.75,4.0,2.25,7.0,3.6666666666666665,1.0,1.0,3.0204081632653055,2.2857142857142856,2.3333333333333335,1.0,1.0,10.0,5.125,1.0
,25-34,,,1.0,7.75,1.0,1.25,7.0,4.333333333333333,5.5,1.0,3.0204081632653055,2.2857142857142856,1.6666666666666667,1.0,1.0,10.0,6.25,1.0
,19-24,,,4.0,5.5,4.0,5.25,2.333333333333333,3.6666666666666665,3.25,1.0,2.4693877551020407,1.0,1.0,1.0,1.0,10.0,4.0,1.0
,25-34,,,4.0,5.5,1.0,1.25,7.666666666666667,4.0,3.25,5.5,2.4693877551020407,4.214285714285714,2.6666666666666665,10.0,1.0,5.5,5.125,1.0
,35-44,,,1.0,7.75,1.0,3.25,7.333333333333334,1.0,1.0,5.5,3.0204081632653055,6.142857142857142,1.0,1.0,1.0,1.0,5.5,1.0
,45-54,,,4.0,7.75,1.0,2.25,4.333333333333334,2.3333333333333335,1.0,1.0,4.489795918367346,,2.3333333333333335,1.0,1.0,5.5,7.75,2.8
,35-44,,,1.0,5.5,4.0,4.75,7.333333333333334,1.0,3.25,1.0,3.387755102040816,1.0,1.0,1.0,1.0,1.0,5.5,1.0
,35-44,,,1.0,7.75,4.0,4.75,7.333333333333334,1.0,1.0,5.5,2.836734693877551,3.571428571428571,1.0,10.0,1.0,10.0,5.5,1.0
,25-34,,,7.0,7.75,1.0,1.0,6.666666666666667,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,10.0,1.0,1.0,5.5,1.0
,45-54,,,4.0,5.5,4.0,1.0,5.999999999999999,1.0,1.0,1.0,3.387755102040816,1.6428571428571428,1.0,1.0,1.0,1.0,6.625,1.0
,25-34,,,1.0,5.5,1.0,7.25,5.666666666666666,3.6666666666666665,1.0,1.0,3.204081632653061,4.214285714285714,4.333333333333333,1.0,1.0,1.0,6.25,1.0
,25-34,,,1.0,3.25,10.0,1.5,7.333333333333334,2.0,3.25,5.5,4.183673469387754,1.6428571428571428,1.6666666666666667,1.0,1.0,10.0,5.125,1.0
,0-18,,,1.0,5.5,1.0,2.0,5.999999999999999,5.0,1.0,1.0,2.836734693877551,2.2857142857142856,2.0,10.0,1.0,10.0,4.375,1.0
,25-34,,,7.0,5.5,1.0,1.0,8.0,1.0,1.0,5.5,3.0204081632653055,5.5,1.0,10.0,10.0,10.0,6.625,1.0
,19-24,,,4.0,3.25,4.0,1.0,8.666666666666666,5.0,3.25,1.0,1.7346938775510203,2.2857142857142856,9.0,1.0,1.0,5.5,5.875,1.0
,19-24,,,4.0,3.25,7.0,5.0,7.666666666666667,3.6666666666666665,1.0,1.0,2.2857142857142856,2.2857142857142856,1.3333333333333333,10.0,1.0,5.5,4.75,2.8
,35-44,,,4.0,5.5,4.0,3.25,8.333333333333334,1.0,1.0,5.5,3.0204081632653055,1.6428571428571428,1.3333333333333333,1.0,1.0,5.5,5.875,1.0
