country,ALB,BGD,BIH,CAN,CHL,DZA,EGY,ESP,IDN,IND,JOR,KGZ,MAR,MDA,MEX,MKD,MNE,NGA,PAK,PHL,PRI,SAU,SRB,SWE,USA,VEN,VNM
JOR,0.3020921191141634,0.3403112885988942,0.3004972209654438,0.1807141635690701,0.2484242350502908,0.2842508724406777,0.27258107004517806,0.1151079017749134,0.24180548975618776,0.2004079863950246,0.0,0.19346775186469395,0.1838540978585782,0.16441500960807687,0.15223130680591454,0.23321162680282545,0.13412357034755304,0.28744086963473753,0.28551458474948865,0.29487165758357914,0.2550500572790642,0.22915098699895584,0.1730475361572729,0.11390080729323004,0.2924199720803538,0.25652902565953606,0.3314137647474782
KGZ,0.1919710927213611,0.234966585597828,0.26119062423226724,0.2441677263746392,0.2057347985064331,0.22700324798312027,0.17907569478710123,0.2644669669799666,0.21344512140683336,0.09940232487182778,0.19346775186469395,0.0,0.13392241404462416,0.1408999006730382,0.19242851509706874,0.23759182001549925,0.2111075210653316,0.1790915498412316,0.17559339806090665,0.244586764183466,0.213461167900755,0.3008808840350884,0.16237227154287465,0.20310024023193424,0.2277419737010642,0.2052069329810632,0.240253570913428
MAR,0.15714331694559616,0.1873317633994202,0.16973587933336365,0.16528402897802344,0.1513871068209931,0.16225212513659276,0.1568390881677584,0.26066615722690095,0.1584570348305706,0.13545489822199966,0.1838540978585782,0.13392241404462416,0.0,0.07885582146208164,0.14973099300107603,0.14984080029812846,0.12258294729209537,0.16564614855903503,0.15240312251763138,0.18754048632708648,0.18362201266611422,0.21006047298891758,0.08979961014382577,0.13668045831417802,0.1531400190228548,0.13840094680787093,0.1936592405494053
MDA,0.16024590525380414,0.219678350012252,0.18390708320736943,0.1303584824788093,0.10933618357415692,0.15753680394419178,0.15108192110937432,0.22787330703439732,0.1710038819648592,0.1679145171249819,0.16441500960807687,0.1408999006730382,0.07885582146208164,0.0,0.10754923640872158,0.12223726236689153,0.13107820938996464,0.21062631889340644,0.18999921398258485,0.16048758646604963,0.14395248958076645,0.18153394916619628,0.08217669283739329,0.10650546863913692,0.15435398101918452,0.15286573899832973,0.18907150396901576
MEX,0.22245513157087843,0.3061075974031076,0.19791671562037713,0.11547624021630282,0.1522221246716957,0.24293236695532927,0.22699784377735494,0.176757888340936,0.18609464651874846,0.2361159565690518,0.15223130680591454,0.19242851509706874,0.14973099300107603,0.10754923640872158,0.0,0.13904518222333362,0.13525997123663877,0.2930434948338423,0.25853144040093506,0.18964500789906938,0.13219217198411057,0.1766492247177501,0.1121291167353033,0.11340057068649456,0.20688212562360705,0.2243095892992237,0.24237887034123445
MKD,0.1845273918339088,0.22995151480540452,0.11451927096067963,0.1123021493634738,0.10125882777154004,0.1660165783406178,0.19842879616208273,0.27789590759763494,0.14434037475655262,0.25903967015912394,0.23321162680282545,0.23759182001549925,0.14984080029812846,0.12223726236689153,0.13904518222333362,0.0,0.16445482099210396,0.2564296825618927,0.21011635316898689,0.12028448442583634,0.14393420881208382,0.1326339751219054,0.10173426141144139,0.14534824317156209,0.1283901349408751,0.1449302911711195,0.18385054497261122
MNE,0.2462169856664158,0.27744787195572757,0.2112626111965895,0.12287187771944887,0.2003088606430075,0.2206735626143213,0.24082463486374797,0.1994393330107969,0.19582409943728113,0.20504695478588508,0.13412357034755304,0.2111075210653316,0.12258294729209537,0.13107820938996464,0.13525997123663877,0.16445482099210396,0.0,0.25400261913947264,0.24948572637601651,0.23953932001098363,0.22171467788591256,0.17189183355433252,0.13048949571985793,0.08565773563590706,0.21841539846029037,0.2000210370914912,0.26927675018484876
NGA,0.2280298054571873,0.13802124270736982,0.257369479471084,0.30275874394181435,0.24540899579816647,0.18679819148424695,0.22078499395892584,0.36497729195021544,0.22872890509309413,0.14298609509623664,0.28744086963473753,0.1790915498412316,0.16564614855903503,0.21062631889340644,0.2930434948338423,0.2564296825618927,0.25400261913947264,0.0,0.09747265312249791,0.28384387645500614,0.305593421439849,0.3102184092799899,0.20628758206970077,0.2646539239302818,0.2354934254391967,0.16695540456390726,0.2634492549575924
PAK,0.18407768033192815,0.1336503535640704,0.20010087845173727,0.2714197057316392,0.20695005825108287,0.18740161776917816,0.19075413367692476,0.3602519951218935,0.16849241493224265,0.17663410317054248,0.28551458474948865,0.17559339806090665,0.15240312251763138,0.18999921398258485,0.25853144040093506,0.21011635316898689,0.24948572637601651,0.09747265312249791,0.0,0.2292837145915177,0.2553757396257053,0.2839258007389659,0.16460791534057626,0.25251143605453885,0.18807522411353436,0.130928463683354,0.21643424540959688
PHL,0.13227768942779117,0.23618459189928123,0.13165119854471927,0.1669594868660215,0.1042286778780201,0.18988259086694506,0.171151288460167,0.34430602430596935,0.16344694484571154,0.28663660719374007,0.29487165758357914,0.244586764183466,0.18754048632708648,0.16048758646604963,0.18964500789906938,0.12028448442583634,0.23953932001098363,0.28384387645500614,0.2292837145915177,0.0,0.10028312729818245,0.23808335433340794,0.17046958600198586,0.21314193713165147,0.08956319797581024,0.1601895698466352,0.11066932714160312
PRI,0.15848591814721635,0.286948235377395,0.16801092279594235,0.151949688049072,0.1189056912176873,0.23068341997485864,0.18758244707367458,0.28824974921852425,0.17617453760538618,0.2738945749252164,0.2550500572790642,0.213461167900755,0.18362201266611422,0.14395248958076645,0.13219217198411057,0.14393420881208382,0.22171467788591256,0.305593421439849,0.2553757396257053,0.10028312729818245,0.0,0.2448244905464596,0.16376775869525145,0.1911831826745429,0.1451258014296363,0.205768236098777,0.15657365004073254
SAU,0.29200033310084095,0.30493696056652736,0.21917316476112672,0.16034030099934618,0.18775926841767665,0.22686542324491096,0.291586271609617,0.24603204292724662,0.24269766958960923,0.30514348545905934,0.22915098699895584,0.3008808840350884,0.21006047298891758,0.18153394916619628,0.1766492247177501,0.1326339751219054,0.17189183355433252,0.3102184092799899,0.2839258007389659,0.23808335433340794,0.2448244905464596,0.0,0.16458847497379814,0.16074620454572433,0.24724333627606862,0.23401809014957128,0.3008915852542265
SRB,0.176657115012351,0.21510535345036547,0.15219651394882577,0.13684599032368105,0.135791909103649,0.18237422035430625,0.17197546647305387,0.23850504220957455,0.13769331429205775,0.17886684503568506,0.1730475361572729,0.16237227154287465,0.08979961014382577,0.08217669283739329,0.1121291167353033,0.10173426141144139,0.13048949571985793,0.20628758206970077,0.16460791534057626,0.17046958600198586,0.16376775869525145,0.16458847497379814,0.0,0.12767033895377503,0.15694655686491835,0.14595683821756575,0.2029238247686115
SWE,0.24387553090913924,0.2841772029879368,0.22239860490112495,0.09808585231668773,0.16889962112189402,0.20864474976126693,0.22757149514527253,0.1721328255590098,0.1875194847192333,0.21615871434873352,0.11390080729323004,0.20310024023193424,0.13668045831417802,0.10650546863913692,0.11340057068649456,0.14534824317156209,0.08565773563590706,0.2646539239302818,0.25251143605453885,0.21314193713165147,0.1911831826745429,0.16074620454572433,0.12767033895377503,0.0,0.21407921533153998,0.19329128632418008,0.26052168518820074
USA,0.09458867436810958,0.18770781088417762,0.10380397857222085,0.17235048097628192,0.13515592340465166,0.16412795886290368,0.1297103322563187,0.36009326684937903,0.14587758044240745,0.24906948540820806,0.2924199720803538,0.2277419737010642,0.1531400190228548,0.15435398101918452,0.20688212562360705,0.1283901349408751,0.21841539846029037,0.2354934254391967,0.18807522411353436,0.08956319797581024,0.1451258014296363,0.24724333627606862,0.15694655686491835,0.21407921533153998,0.0,0.11906258979631584,0.07347757710624807
VEN,0.15918720437551603,0.16007695644132405,0.15696530677956835,0.18620693176587882,0.15662345886489937,0.14615579731441747,0.1639645697462322,0.33292095738183175,0.12391263117775086,0.20792454875490904,0.25652902565953606,0.2052069329810632,0.13840094680787093,0.15286573899832973,0.2243095892992237,0.1449302911711195,0.2000210370914912,0.16695540456390726,0.130928463683354,0.1601895698466352,0.205768236098777,0.23401809014957128,0.14595683821756575,0.19329128632418008,0.11906258979631584,0.0,0.16589935286558724
VNM,0.06957391841931103,0.20365703418590397,0.1565597665647785,0.21824145620809143,0.16208433461128036,0.19110733190878096,0.12052290212423927,0.39957288587407236,0.1946436392494204,0.2715947648387101,0.3314137647474782,0.240253570913428,0.1936592405494053,0.18907150396901576,0.24237887034123445,0.18385054497261122,0.26927675018484876,0.2634492549575924,0.21643424540959688,0.11066932714160312,0.15657365004073254,0.3008915852542265,0.2029238247686115,0.26052168518820074,0.07347757710624807,0.16589935286558724,0.0
