country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2,ricci_mean,ricci_min,frac_negative_ricci,fiedler_value,spectral_gap,spectral_entropy,top_mediator,top_mediator_score,n_triangle_violations
SRB,Orthodox/ex-Communist,3,0,0,3.0054226592183113,0.1177325649186968,0.2232353705912828,1.0,0.0159157812595367,0.0183007027953863,2.3806762571532136,3.1643122751364077,55,34,48,1.0,1.0,0.0,0.704696,0.704696,3.9844,science_skepticism|WVS_I,4691893.1429,2064
SVK,Orthodox/ex-Communist,4,0,0,4.938266787678003,0.0937014603987336,0.1409328263252973,1.0,0.0271950289607048,0.0186666995286941,2.325501143560356,2.0697520502895035,55,14,36,1.0,1.0,0.0,0.752201,0.752201,3.9853,science_skepticism|WVS_I,4325069.978,1944
THA,South/Southeast Asian,2,0,0,2.151664510834962,0.0409710062667727,0.1822825530543923,1.0,0.0131134614348411,0.0187124721705913,2.717072596508205,2.368731167636001,55,19,33,1.0,0.9841,0.0,0.768023,0.768023,3.9854,job_scarcity_gender_discrimination|WVS_C,4968835.483,2326
TJK,Orthodox/ex-Communist,6,0,0,3.096304635051638,0.1090938616544008,0.4947722684592008,1.0,0.0244634114205837,0.0494245886802673,2.4203350873289327,2.7338279090442725,55,23,44,0.9999,0.8838,0.0,0.719587,0.719587,3.9836,job_scarcity_nativist_preference|WVS_C,4693588.1987,2188
TUN,African-Islamic,6,0,0,6.06522866897285,0.4831038098782301,0.7188123539090157,1.0,0.0468179248273372,0.0468228608369827,2.449868646971859,3.3014463096288624,55,34,49,1.0,1.0,0.0,0.651564,0.651564,3.9828,immigrant_origin_status|WVS_G,4186018.2247,2170
TUR,African-Islamic,24,0,15,9.554581392556427,0.2107902355492115,1.6634830757975578,1.0,0.0499500632286071,0.1359286606311798,2.944726761407632,2.5287471847675196,55,19,42,1.0,1.0,0.0,0.72426,0.72426,3.9836,immigrant_origin_status|WVS_G,3877832.7039,1848
TWN,Confucian,5,0,0,3.7866004770621657,0.0805748477578163,0.0502018295228481,1.0,0.0108180306851863,0.0076379068195819,2.1355142110652614,2.6051353127728065,55,18,14,0.9887,0.5202,0.0,0.715076,0.715076,3.9852,science_skepticism|WVS_I,4687560.7098,2106
UKR,Orthodox/ex-Communist,7,0,0,4.205034625716507,0.1114723784849047,0.3693156400695443,1.0,0.0298318974673748,0.0251277759671211,2.451106167159116,2.369417389052398,55,19,43,1.0,1.0,0.0,0.698404,0.698404,3.9841,science_skepticism|WVS_I,4434199.5798,2108
URY,Latin America,3,0,0,3.554442260414362,0.0158216813579201,0.1801301958039403,1.0,0.0021807448938488,0.0123573094606399,1.9456274299315384,2.498906400992292,55,15,41,0.9981,0.5629,0.0,0.691084,0.691084,3.9853,science_skepticism|WVS_I,4650299.2926,1620
USA,English-speaking,6,0,0,5.747623402625322,0.084565098863095,0.1860977504402399,1.0,0.008309013210237,0.0119875371456146,2.2691656667572055,3.32442313964411,55,43,48,1.0,0.9988,0.0,0.704026,0.704026,3.9841,science_skepticism|WVS_I,4683175.4095,1676
UZB,Orthodox/ex-Communist,22,0,2,3.620031313505024,0.0978435948491096,0.6405059248209,1.0,0.0274882316589355,0.0642791539430618,3.2868742230316284,1.803040486523664,55,8,25,1.0,1.0,0.0,0.705405,0.705405,3.9842,immigrant_origin_status|WVS_G,5004011.4015,2530
VEN,Latin America,20,0,13,7.512690173462033,0.6202250644564629,2.8366975113749504,1.0,0.0438699871301651,0.1114082038402557,2.9241887962699975,3.5951475648955347,55,46,111,1.0,1.0,0.0,0.718753,0.718753,3.9823,gender_role_traditionalism|WVS_D,4331314.2593,1998
VNM,Confucian,6,0,0,4.09388459706679,0.2005592240020632,0.2748576067388057,1.0,0.0259740278124809,0.0430440753698349,2.372381354639662,2.7809498631294236,55,22,25,0.9971,0.5941,0.0,0.700338,0.700338,3.9831,immigrant_origin_status|WVS_G,4744356.6888,2408
ZWE,African-Islamic,9,0,2,5.411312849260867,0.732279846444726,0.9945510141551496,1.0,0.0383707210421562,0.0584410838782787,2.562632338707198,3.9228977445427065,55,69,62,1.0,1.0,0.0,0.690353,0.690353,3.983,job_scarcity_gender_discrimination|WVS_C,4475881.3036,2024
