country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2
SRB,Orthodox/ex-Communist,3,0,0,3.0054226592183113,0.11773256491869688,0.22323537059128284,1.0,0.015915781259536743,0.018300702795386314,2.3806762571532136,3.1643122751364077,55,34,48
SVK,Orthodox/ex-Communist,4,0,0,4.938266787678003,0.09370146039873362,0.14093282632529736,1.0,0.027195028960704803,0.018666699528694153,2.325501143560356,2.0697520502895035,55,14,36
THA,South/Southeast Asian,2,0,0,2.151664510834962,0.04097100626677275,0.18228255305439234,1.0,0.013113461434841156,0.018712472170591354,2.717072596508205,2.368731167636001,55,19,33
TJK,Orthodox/ex-Communist,6,0,0,3.096304635051638,0.10909386165440083,0.49477226845920086,1.0,0.024463411420583725,0.049424588680267334,2.4203350873289327,2.7338279090442725,55,23,44
TUN,African-Islamic,6,0,0,6.06522866897285,0.4831038098782301,0.7188123539090157,1.0,0.046817924827337265,0.04682286083698273,2.449868646971859,3.3014463096288624,55,34,49
TUR,African-Islamic,24,0,15,9.554581392556429,0.2107902355492115,1.6634830757975578,1.0,0.04995006322860718,0.1359286606311798,2.9447267614076322,2.5287471847675196,55,19,42
TWN,Confucian,5,0,0,3.7866004770621657,0.08057484775781631,0.05020182952284813,1.0,0.010818030685186386,0.0076379068195819855,2.1355142110652614,2.6051353127728065,55,18,14
UKR,Orthodox/ex-Communist,7,0,0,4.205034625716507,0.11147237848490477,0.3693156400695443,1.0,0.0298318974673748,0.025127775967121124,2.451106167159116,2.3694173890523986,55,19,43
URY,Latin America,3,0,0,3.554442260414362,0.01582168135792017,0.1801301958039403,1.0,0.002180744893848896,0.012357309460639954,1.9456274299315384,2.498906400992292,55,15,41
USA,English-speaking,6,0,0,5.747623402625322,0.08456509886309505,0.1860977504402399,1.0,0.008309013210237026,0.011987537145614624,2.2691656667572055,3.32442313964411,55,43,48
UZB,Orthodox/ex-Communist,22,0,2,3.6200313135050237,0.09784359484910965,0.6405059248209,1.0,0.027488231658935547,0.06427915394306183,3.2868742230316284,1.8030404865236638,55,8,25
VEN,Latin America,20,0,13,7.512690173462033,0.6202250644564629,2.8366975113749504,1.0,0.0438699871301651,0.11140820384025574,2.9241887962699975,3.5951475648955347,55,46,111
VNM,Confucian,6,0,0,4.09388459706679,0.20055922400206327,0.27485760673880577,1.0,0.025974027812480927,0.0430440753698349,2.372381354639662,2.7809498631294236,55,22,25
ZWE,African-Islamic,9,0,2,5.411312849260867,0.732279846444726,0.9945510141551495,1.0,0.03837072104215622,0.05844108387827873,2.562632338707198,3.9228977445427065,55,69,62
