,ALB,BGD,BIH,CAN,CHL,DZA,EGY,ESP,IDN,IND,JOR,KGZ,MAR,MDA,MEX,MKD,MNE,NGA,PAK,PHL,PRI,SAU,SRB,SWE,USA,VEN,VNM
MAR,0.032053202390670776,0.03721914812922478,0.03721914812922478,0.03721914812922478,0.03721914812922478,0.03721914812922478,0.03721914812922478,0.03721914812922478,0.03639101982116699,0.03263621777296066,0.03721914812922478,0.02716517448425293,0.0,0.03721914812922478,0.03721914812922478,0.05288377404212952,0.03721914812922478,0.03721914812922478,0.036658674478530884,0.05391682684421539,0.05045575648546219,0.03263621777296066,0.027747750282287598,0.03721914812922478,0.03263621777296066,0.0405479297041893,0.04509352147579193
MDA,0.020058415830135345,0.024098843336105347,0.027713730931282043,0.006825022399425507,0.012588094919919968,0.02861301600933075,0.01579393446445465,0.006040077656507492,0.024303365498781204,0.03009874001145363,0.0,0.021083161234855652,0.03721914812922478,0.0,0.005344070494174957,0.05288377404212952,0.006826035678386688,0.0,0.04111555963754654,0.05391682684421539,0.05045575648546219,0.033119577914476395,0.026721015572547913,0.020575493574142456,0.019227590411901474,0.0405479297041893,0.04529760032892227
MEX,0.020058415830135345,0.024098843336105347,0.027713730931282043,0.006825022399425507,0.012588094919919968,0.02861301600933075,0.01579393446445465,0.006040077656507492,0.024303365498781204,0.03009874001145363,0.005344070494174957,0.020917899906635284,0.03721914812922478,0.005344070494174957,0.0,0.05288377404212952,0.005796987563371658,0.005344070494174957,0.04111555963754654,0.05391682684421539,0.05045575648546219,0.033119577914476395,0.026721015572547913,0.020575493574142456,0.019227590411901474,0.0405479297041893,0.04529760032892227
MKD,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.0,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05391682684421539,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952,0.05288377404212952
MNE,0.020058415830135345,0.024098843336105347,0.027713730931282043,0.006826035678386688,0.011885210871696472,0.02861301600933075,0.014511220157146454,0.006826035678386688,0.023222729563713074,0.03009874001145363,0.006826035678386688,0.02083810418844223,0.03721914812922478,0.006826035678386688,0.005796987563371658,0.05288377404212952,0.0,0.006826035678386688,0.04111555963754654,0.05391682684421539,0.05045575648546219,0.027536630630493164,0.026721015572547913,0.020575493574142456,0.019227590411901474,0.0405479297041893,0.04529760032892227
NGA,0.020058415830135345,0.024098843336105347,0.027713730931282043,0.006825022399425507,0.012588094919919968,0.02861301600933075,0.01579393446445465,0.006040077656507492,0.024303365498781204,0.03009874001145363,0.0,0.021083161234855652,0.03721914812922478,0.0,0.005344070494174957,0.05288377404212952,0.006826035678386688,0.0,0.04111555963754654,0.05391682684421539,0.05045575648546219,0.033119577914476395,0.026721015572547913,0.020575493574142456,0.019227590411901474,0.0405479297041893,0.04529760032892227
PAK,0.04111555963754654,0.04111555963754654,0.02664598822593689,0.04111555963754654,0.04111555963754654,0.04111555963754654,0.04111555963754654,0.04111555963754654,0.04111555963754654,0.026363477110862732,0.04111555963754654,0.036658674478530884,0.036658674478530884,0.04111555963754654,0.04111555963754654,0.05288377404212952,0.04111555963754654,0.04111555963754654,0.0,0.05391682684421539,0.05045575648546219,0.036658674478530884,0.04111555963754654,0.04111555963754654,0.0393671989440918,0.04111555963754654,0.04208516329526901
PHL,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.05391682684421539,0.0,0.044344693422317505,0.05391682684421539,0.03587234020233154,0.05391682684421539,0.05391682684421539,0.051633208990097046,0.05391682684421539
PRI,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.05288377404212952,0.05045575648546219,0.05045575648546219,0.05045575648546219,0.044344693422317505,0.0,0.05045575648546219,0.044344693422317505,0.044344693422317505,0.05045575648546219,0.044344693422317505,0.05045575648546219
SAU,0.033119577914476395,0.033119577914476395,0.027713730931282043,0.033119577914476395,0.033119577914476395,0.033119577914476395,0.03224889934062958,0.033119577914476395,0.033119577914476395,0.019024640321731567,0.033119577914476395,0.033119577914476395,0.03263621777296066,0.033119577914476395,0.033119577914476395,0.05288377404212952,0.027536630630493164,0.033119577914476395,0.036658674478530884,0.05391682684421539,0.05045575648546219,0.0,0.033119577914476395,0.033119577914476395,0.0241316556930542,0.0405479297041893,0.04529760032892227
SRB,0.026721015572547913,0.026721015572547913,0.027713730931282043,0.026721015572547913,0.026721015572547913,0.02861301600933075,0.026721015572547913,0.026721015572547913,0.026721015572547913,0.026721015572547913,0.026721015572547913,0.026721015572547913,0.027747750282287598,0.026721015572547913,0.026721015572547913,0.05288377404212952,0.026721015572547913,0.026721015572547913,0.04111555963754654,0.03587234020233154,0.044344693422317505,0.033119577914476395,0.0,0.022821996361017227,0.026721015572547913,0.0405479297041893,0.04529760032892227
SWE,0.020575493574142456,0.024098843336105347,0.027713730931282043,0.020575493574142456,0.020575493574142456,0.02861301600933075,0.020575493574142456,0.020575493574142456,0.024303365498781204,0.03009874001145363,0.020575493574142456,0.021083161234855652,0.03721914812922478,0.020575493574142456,0.020575493574142456,0.05288377404212952,0.020575493574142456,0.020575493574142456,0.04111555963754654,0.05391682684421539,0.044344693422317505,0.033119577914476395,0.022821996361017227,0.0,0.020575493574142456,0.03908239305019379,0.04529760032892227
USA,0.020058415830135345,0.024098843336105347,0.027713730931282043,0.019227590411901474,0.019227590411901474,0.02861301600933075,0.019227590411901474,0.019227590411901474,0.021072611212730408,0.013374567031860352,0.019227590411901474,0.021083161234855652,0.03263621777296066,0.019227590411901474,0.019227590411901474,0.05288377404212952,0.019227590411901474,0.019227590411901474,0.0393671989440918,0.05391682684421539,0.05045575648546219,0.0241316556930542,0.026721015572547913,0.020575493574142456,0.0,0.0405479297041893,0.04529760032892227
VEN,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.0405479297041893,0.05288377404212952,0.0405479297041893,0.0405479297041893,0.04111555963754654,0.051633208990097046,0.044344693422317505,0.0405479297041893,0.0405479297041893,0.03908239305019379,0.0405479297041893,0.0,0.04529760032892227
VNM,0.043624237179756165,0.043624237179756165,0.03903542459011078,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.043624237179756165,0.04509352147579193,0.04529760032892227,0.04529760032892227,0.05288377404212952,0.04529760032892227,0.04529760032892227,0.04208516329526901,0.05391682684421539,0.05045575648546219,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.04529760032892227,0.0
