sexo,escol,Tam_loc,agg_authoritarian_predisposition,agg_democratic_legitimacy_support,agg_institutional_trust_and_electoral_confidence,agg_perceived_political_influence_of_actors,agg_political_efficacy_and_engagement
2.0,4.0,2.0,1.6428571428571428,2.161290322580645,1.75,8.553571428571429,2.1842105263157894
2.0,3.0,3.0,1.8571428571428572,1.870967741935484,2.125,9.196428571428573,2.6578947368421053
1.0,1.0,3.0,1.8571428571428572,1.5806451612903225,1.75,9.678571428571427,2.4210526315789473
2.0,2.0,3.0,2.071428571428571,1.5806451612903225,2.125,9.517857142857142,2.4210526315789473
2.0,5.0,1.0,2.5,2.4516129032258065,2.5,9.678571428571427,4.078947368421053
2.0,4.0,2.0,2.5,3.6129032258064515,3.25,9.678571428571427,2.8947368421052637
2.0,2.0,1.0,2.2857142857142856,3.3225806451612905,1.75,6.142857142857142,3.1315789473684212
2.0,3.0,1.0,2.2857142857142856,4.193548387096774,6.25,9.678571428571427,2.4210526315789473
2.0,1.0,2.0,2.5,3.6129032258064515,3.625,9.196428571428573,3.8421052631578947
1.0,4.0,1.0,2.7142857142857144,1.870967741935484,2.5,8.875,2.1842105263157894
2.0,3.0,1.0,1.6428571428571428,2.741935483870968,3.625,9.678571428571427,2.8947368421052637
2.0,1.0,4.0,2.2857142857142856,7.096774193548387,5.5,9.357142857142858,4.552631578947368
1.0,4.0,1.0,4.214285714285714,3.903225806451613,3.25,8.714285714285714,4.078947368421053
1.0,4.0,4.0,2.071428571428571,3.032258064516129,3.25,8.875,1.9473684210526319
2.0,4.0,1.0,1.4285714285714284,3.032258064516129,3.625,8.714285714285714,3.1315789473684212
2.0,2.0,3.0,2.071428571428571,1.5806451612903225,2.125,9.357142857142858,2.8947368421052637
2.0,4.0,4.0,2.2857142857142856,3.032258064516129,3.25,9.035714285714285,3.1315789473684212
1.0,3.0,4.0,2.928571428571429,3.6129032258064515,3.625,9.678571428571427,5.026315789473684
2.0,4.0,2.0,1.4285714285714284,2.741935483870968,2.875,10.0,3.605263157894737
2.0,4.0,3.0,2.5,2.4516129032258065,2.125,8.875,2.6578947368421053
2.0,3.0,1.0,2.5,4.193548387096774,5.5,9.357142857142858,1.7105263157894737
1.0,2.0,3.0,2.071428571428571,3.903225806451613,2.125,9.839285714285715,2.8947368421052637
2.0,1.0,3.0,2.071428571428571,1.5806451612903225,1.75,10.0,2.4210526315789473
2.0,4.0,1.0,1.8571428571428572,2.741935483870968,3.25,7.428571428571429,3.1315789473684212
1.0,3.0,1.0,1.6428571428571428,3.032258064516129,3.25,9.196428571428573,2.6578947368421053
2.0,4.0,1.0,2.928571428571429,3.032258064516129,2.5,6.303571428571429,6.447368421052632
2.0,3.0,2.0,3.142857142857143,2.4516129032258065,2.875,8.875,3.3684210526315788
1.0,3.0,1.0,4.428571428571429,4.193548387096774,1.75,9.035714285714285,2.6578947368421053
2.0,4.0,1.0,4.0,2.741935483870968,3.25,8.071428571428571,3.1315789473684212
2.0,3.0,3.0,2.071428571428571,2.161290322580645,1.75,9.517857142857142,3.1315789473684212
1.0,4.0,1.0,4.857142857142858,3.6129032258064515,2.125,7.9107142857142865,3.3684210526315788
2.0,3.0,3.0,1.6428571428571428,1.5806451612903225,1.75,8.875,1.4736842105263157
1.0,5.0,4.0,2.2857142857142856,2.161290322580645,3.625,9.035714285714285,3.3684210526315788
