sexo,escol,Tam_loc,agg_economic_wellbeing_perception,agg_job_search_and_employment_precarity,agg_labor_union_attitudes
2.0,4.0,1.0,4.705882352941176,,5.8
1.0,4.0,1.0,3.1176470588235294,,7.0
1.0,3.0,1.0,4.1764705882352935,,4.6
1.0,4.0,1.0,2.5882352941176467,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.8
2.0,3.0,1.0,2.5882352941176467,,7.0
1.0,4.0,1.0,3.1176470588235294,,6.4
2.0,3.0,1.0,3.6470588235294112,,5.8
2.0,2.0,1.0,7.352941176470588,,4.6
2.0,3.0,1.0,3.6470588235294112,,5.8
1.0,4.0,2.0,3.6470588235294112,,5.8
1.0,4.0,1.0,2.5882352941176467,,7.0
1.0,3.0,1.0,2.5882352941176467,,7.0
1.0,3.0,2.0,3.6470588235294112,,5.2
1.0,2.0,1.0,5.235294117647059,,5.2
1.0,3.0,1.0,3.6470588235294112,,5.2
2.0,3.0,2.0,4.1764705882352935,,4.6
2.0,3.0,1.0,5.235294117647059,,2.2
1.0,4.0,1.0,4.1764705882352935,,4.6
1.0,4.0,2.0,2.0588235294117645,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.2
2.0,4.0,1.0,4.1764705882352935,,5.8
1.0,3.0,2.0,5.235294117647059,,5.2
1.0,3.0,1.0,4.705882352941176,,5.2
2.0,4.0,3.0,7.88235294117647,,4.6
1.0,4.0,3.0,4.1764705882352935,,4.6
1.0,2.0,3.0,4.1764705882352935,,4.6
2.0,4.0,1.0,4.705882352941176,,5.8
1.0,3.0,1.0,5.235294117647059,,6.4
1.0,3.0,3.0,5.235294117647059,,6.4
1.0,4.0,3.0,2.5882352941176467,,8.2
1.0,4.0,1.0,6.2941176470588225,,5.8
1.0,4.0,4.0,4.705882352941176,,5.2
1.0,3.0,1.0,2.0588235294117645,,7.0
2.0,2.0,2.0,4.1764705882352935,,5.8
1.0,4.0,2.0,4.1764705882352935,,5.2
1.0,1.0,4.0,4.1764705882352935,,4.6
1.0,2.0,1.0,3.1176470588235294,,7.0
1.0,1.0,1.0,3.1176470588235294,,4.6
1.0,4.0,1.0,3.1176470588235294,,4.6
2.0,4.0,2.0,3.6470588235294112,,5.2
1.0,3.0,2.0,3.1176470588235294,,5.2
1.0,4.0,1.0,2.5882352941176467,,5.2
1.0,4.0,1.0,3.6470588235294112,,4.6
1.0,4.0,1.0,5.235294117647059,,7.0
1.0,3.0,4.0,4.1764705882352935,,6.4
1.0,4.0,3.0,4.705882352941176,,4.6
2.0,3.0,1.0,4.705882352941176,,4.6
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,3.0,3.0,4.1764705882352935,,5.8
2.0,4.0,1.0,2.5882352941176467,,5.8
1.0,3.0,4.0,4.705882352941176,,5.2
1.0,3.0,1.0,3.1176470588235294,,5.8
1.0,3.0,4.0,1.0,,6.4
2.0,4.0,2.0,4.1764705882352935,,4.6
1.0,3.0,3.0,4.1764705882352935,,4.6
1.0,3.0,1.0,4.705882352941176,,5.2
1.0,5.0,4.0,4.705882352941176,,7.0
2.0,2.0,1.0,2.5882352941176467,,7.6
1.0,2.0,4.0,3.1176470588235294,,5.8
1.0,2.0,1.0,4.1764705882352935,,5.2
1.0,3.0,3.0,4.1764705882352935,,6.4
1.0,5.0,1.0,4.1764705882352935,,5.8
1.0,3.0,3.0,3.6470588235294112,,4.6
2.0,4.0,1.0,5.235294117647059,,5.2
1.0,4.0,2.0,3.6470588235294112,,4.6
1.0,4.0,3.0,3.6470588235294112,,7.0
1.0,3.0,1.0,2.5882352941176467,,4.6
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,3.0,1.0,2.5882352941176467,,5.8
1.0,3.0,1.0,2.0588235294117645,,5.8
1.0,3.0,4.0,4.705882352941176,,5.8
1.0,1.0,3.0,4.705882352941176,,4.6
1.0,4.0,1.0,2.5882352941176467,,5.8
1.0,3.0,1.0,1.0,,5.8
1.0,3.0,1.0,4.1764705882352935,,4.6
1.0,3.0,1.0,4.705882352941176,,5.2
1.0,3.0,2.0,5.235294117647059,,5.8
1.0,3.0,1.0,4.705882352941176,,5.2
1.0,3.0,3.0,4.1764705882352935,,5.8
1.0,4.0,1.0,3.6470588235294112,,9.4
2.0,4.0,2.0,5.764705882352941,,5.8
1.0,4.0,4.0,4.705882352941176,,5.8
2.0,5.0,1.0,4.1764705882352935,,5.8
1.0,4.0,2.0,5.764705882352941,,5.8
2.0,3.0,2.0,4.1764705882352935,,5.8
1.0,2.0,1.0,3.1176470588235294,,5.8
1.0,5.0,1.0,4.705882352941176,,4.0
2.0,3.0,2.0,5.235294117647059,,6.4
1.0,2.0,1.0,4.705882352941176,,4.0
1.0,4.0,1.0,5.235294117647059,,4.6
2.0,3.0,4.0,3.6470588235294112,,4.6
2.0,3.0,1.0,2.5882352941176467,,5.2
1.0,3.0,1.0,4.705882352941176,,5.8
1.0,4.0,3.0,2.0588235294117645,,7.0
1.0,4.0,1.0,2.5882352941176467,,6.4
1.0,3.0,1.0,2.5882352941176467,,6.4
1.0,3.0,1.0,3.6470588235294112,,8.2
1.0,3.0,2.0,5.235294117647059,,3.4
2.0,4.0,1.0,4.705882352941176,,4.6
1.0,3.0,4.0,1.0,,5.8
2.0,3.0,3.0,2.5882352941176467,,5.2
2.0,1.0,3.0,5.235294117647059,,4.6
1.0,4.0,4.0,3.1176470588235294,,5.8
1.0,4.0,1.0,5.235294117647059,,6.4
2.0,3.0,3.0,5.235294117647059,,7.0
1.0,5.0,2.0,4.705882352941176,,5.2
1.0,2.0,3.0,3.1176470588235294,,5.2
2.0,3.0,1.0,2.5882352941176467,,7.0
2.0,3.0,1.0,2.5882352941176467,,7.0
2.0,5.0,1.0,3.6470588235294112,,4.6
1.0,3.0,4.0,4.705882352941176,,5.2
1.0,3.0,1.0,3.1176470588235294,,4.6
1.0,2.0,1.0,1.0,,5.2
1.0,4.0,2.0,2.5882352941176467,,6.4
1.0,4.0,1.0,4.1764705882352935,,4.0
2.0,1.0,2.0,3.1176470588235294,,7.0
1.0,4.0,2.0,2.5882352941176467,,5.8
1.0,3.0,1.0,5.235294117647059,,5.8
1.0,3.0,4.0,2.0588235294117645,,5.2
1.0,4.0,3.0,2.5882352941176467,,4.6
2.0,3.0,1.0,4.705882352941176,,4.6
2.0,2.0,4.0,4.1764705882352935,,4.6
1.0,4.0,1.0,3.1176470588235294,,5.8
2.0,3.0,1.0,3.6470588235294112,,4.6
1.0,3.0,1.0,2.5882352941176467,,6.4
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,4.0,2.0,3.1176470588235294,,4.6
2.0,4.0,2.0,4.1764705882352935,,5.2
1.0,3.0,2.0,2.0588235294117645,,6.4
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,4.0,1.0,2.5882352941176467,,5.2
1.0,3.0,1.0,5.235294117647059,,8.8
2.0,4.0,2.0,3.1176470588235294,,5.8
2.0,4.0,1.0,6.823529411764706,,5.8
1.0,4.0,1.0,2.0588235294117645,,4.6
1.0,5.0,1.0,4.705882352941176,,5.8
2.0,2.0,4.0,3.6470588235294112,,5.8
1.0,4.0,2.0,5.235294117647059,,5.8
1.0,5.0,1.0,4.705882352941176,,5.8
2.0,4.0,3.0,5.764705882352941,,6.4
1.0,3.0,1.0,3.6470588235294112,,5.8
2.0,3.0,1.0,3.1176470588235294,,5.8
2.0,3.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,3.1176470588235294,,5.8
1.0,5.0,1.0,2.0588235294117645,,4.6
1.0,3.0,2.0,2.5882352941176467,,4.6
2.0,4.0,3.0,3.6470588235294112,,7.0
1.0,3.0,4.0,2.0588235294117645,,6.4
1.0,4.0,3.0,2.0588235294117645,,6.4
1.0,1.0,4.0,5.235294117647059,,5.8
2.0,5.0,1.0,4.705882352941176,,6.4
1.0,3.0,2.0,4.1764705882352935,,7.0
2.0,3.0,1.0,2.5882352941176467,,5.2
1.0,3.0,1.0,4.705882352941176,,5.8
2.0,2.0,1.0,5.235294117647059,,6.4
2.0,5.0,1.0,3.1176470588235294,,6.4
1.0,4.0,1.0,2.5882352941176467,,7.0
1.0,3.0,1.0,3.6470588235294112,,5.8
1.0,4.0,1.0,4.1764705882352935,,5.2
1.0,2.0,2.0,3.6470588235294112,,5.2
1.0,3.0,2.0,5.235294117647059,,6.4
2.0,4.0,4.0,5.235294117647059,,5.8
2.0,4.0,1.0,5.235294117647059,,5.2
2.0,3.0,3.0,4.705882352941176,,5.8
2.0,5.0,1.0,2.5882352941176467,,5.8
1.0,4.0,4.0,3.6470588235294112,,5.2
1.0,4.0,1.0,3.6470588235294112,,5.8
2.0,5.0,1.0,1.0,,5.2
2.0,2.0,1.0,4.1764705882352935,,4.6
1.0,4.0,2.0,2.5882352941176467,,5.2
1.0,2.0,1.0,4.705882352941176,,5.8
2.0,4.0,1.0,4.705882352941176,,4.6
1.0,5.0,1.0,2.0588235294117645,,5.2
2.0,4.0,1.0,3.6470588235294112,,7.0
1.0,2.0,1.0,3.6470588235294112,,4.0
2.0,3.0,1.0,3.1176470588235294,,5.8
1.0,1.0,4.0,4.705882352941176,,4.6
2.0,5.0,1.0,3.6470588235294112,,5.8
1.0,1.0,1.0,3.6470588235294112,,5.8
1.0,3.0,2.0,4.1764705882352935,,5.8
1.0,4.0,1.0,2.5882352941176467,,4.6
1.0,3.0,2.0,2.0588235294117645,,5.8
1.0,3.0,3.0,4.705882352941176,,5.2
1.0,4.0,1.0,5.235294117647059,,5.2
2.0,4.0,3.0,3.6470588235294112,,6.4
1.0,3.0,3.0,5.235294117647059,,5.8
1.0,4.0,2.0,5.235294117647059,,4.6
1.0,4.0,4.0,5.235294117647059,,7.0
1.0,5.0,2.0,5.235294117647059,,4.0
1.0,4.0,1.0,3.6470588235294112,,7.0
1.0,4.0,1.0,5.235294117647059,,5.8
1.0,4.0,1.0,4.705882352941176,,7.0
1.0,4.0,1.0,5.235294117647059,,5.8
1.0,2.0,4.0,3.1176470588235294,,5.2
1.0,4.0,1.0,5.235294117647059,,5.8
1.0,1.0,1.0,5.235294117647059,,4.6
1.0,2.0,4.0,3.1176470588235294,,5.8
1.0,1.0,4.0,5.235294117647059,,4.6
1.0,2.0,1.0,2.5882352941176467,,6.4
1.0,2.0,3.0,4.705882352941176,,5.2
2.0,4.0,1.0,5.235294117647059,,5.2
1.0,5.0,1.0,4.1764705882352935,,5.8
1.0,5.0,1.0,3.1176470588235294,,4.6
2.0,1.0,2.0,5.235294117647059,,5.8
2.0,4.0,1.0,4.705882352941176,,6.4
1.0,3.0,2.0,5.235294117647059,,5.2
1.0,4.0,3.0,5.235294117647059,,5.8
1.0,3.0,2.0,5.235294117647059,,5.8
1.0,3.0,1.0,3.6470588235294112,,5.8
1.0,5.0,2.0,2.5882352941176467,,5.2
1.0,5.0,4.0,3.1176470588235294,,5.8
1.0,5.0,1.0,2.0588235294117645,,8.2
1.0,3.0,1.0,2.5882352941176467,,5.8
2.0,4.0,1.0,3.6470588235294112,,7.0
1.0,5.0,1.0,4.1764705882352935,,7.0
1.0,4.0,4.0,3.6470588235294112,,4.6
2.0,4.0,3.0,5.235294117647059,,3.4
1.0,4.0,3.0,4.1764705882352935,,7.0
2.0,4.0,1.0,2.0588235294117645,,6.4
2.0,3.0,1.0,3.1176470588235294,,4.6
2.0,3.0,1.0,2.0588235294117645,,7.0
1.0,2.0,4.0,3.6470588235294112,,5.8
2.0,5.0,1.0,2.0588235294117645,,5.2
1.0,2.0,4.0,4.705882352941176,,5.8
2.0,3.0,1.0,2.5882352941176467,,6.4
1.0,3.0,3.0,4.705882352941176,,4.6
2.0,5.0,3.0,4.1764705882352935,,5.8
2.0,2.0,1.0,3.6470588235294112,,5.2
1.0,3.0,1.0,5.235294117647059,,5.8
1.0,5.0,3.0,3.6470588235294112,,5.8
1.0,4.0,1.0,5.235294117647059,,4.6
1.0,4.0,1.0,2.0588235294117645,,7.6
2.0,3.0,1.0,3.6470588235294112,,4.6
1.0,3.0,1.0,2.5882352941176467,,4.6
2.0,3.0,4.0,3.1176470588235294,,4.6
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,4.1764705882352935,,7.6
1.0,5.0,1.0,2.0588235294117645,,1.6
1.0,3.0,3.0,3.6470588235294112,,5.8
1.0,2.0,4.0,3.1176470588235294,,5.8
1.0,1.0,4.0,5.235294117647059,,5.2
1.0,4.0,1.0,2.5882352941176467,,7.0
1.0,3.0,1.0,4.705882352941176,,6.4
1.0,5.0,2.0,5.235294117647059,,5.8
1.0,3.0,1.0,2.0588235294117645,,5.2
2.0,3.0,3.0,4.1764705882352935,,5.2
2.0,1.0,1.0,4.705882352941176,,5.8
2.0,3.0,2.0,5.235294117647059,,2.2
2.0,3.0,2.0,2.5882352941176467,,4.6
2.0,5.0,4.0,3.6470588235294112,,5.2
1.0,4.0,4.0,3.1176470588235294,,5.8
1.0,3.0,2.0,2.5882352941176467,,5.8
2.0,3.0,2.0,3.1176470588235294,,5.8
1.0,2.0,3.0,7.88235294117647,,5.2
1.0,3.0,1.0,2.0588235294117645,,5.2
1.0,2.0,2.0,2.5882352941176467,,4.0
2.0,3.0,4.0,3.1176470588235294,,6.4
1.0,3.0,3.0,3.6470588235294112,,5.2
2.0,3.0,1.0,4.1764705882352935,,5.8
2.0,4.0,2.0,3.6470588235294112,,5.8
1.0,4.0,3.0,2.5882352941176467,,7.0
2.0,3.0,1.0,3.1176470588235294,,2.2
1.0,2.0,4.0,2.5882352941176467,,4.6
1.0,5.0,3.0,3.6470588235294112,,5.8
1.0,4.0,4.0,4.705882352941176,,6.4
1.0,2.0,4.0,4.1764705882352935,,2.8
2.0,4.0,1.0,3.6470588235294112,,5.2
2.0,4.0,1.0,4.1764705882352935,,5.2
2.0,2.0,1.0,4.705882352941176,,7.0
1.0,3.0,1.0,3.6470588235294112,,5.2
1.0,3.0,4.0,2.5882352941176467,,5.2
1.0,4.0,3.0,2.0588235294117645,,5.2
2.0,4.0,1.0,1.0,,5.8
1.0,5.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,4.705882352941176,,5.2
1.0,5.0,2.0,3.1176470588235294,,5.8
1.0,4.0,1.0,4.705882352941176,,6.4
1.0,5.0,1.0,4.705882352941176,,4.6
1.0,3.0,3.0,4.1764705882352935,,5.2
1.0,3.0,3.0,5.235294117647059,,4.6
2.0,4.0,2.0,3.6470588235294112,,5.8
2.0,4.0,3.0,4.1764705882352935,,6.4
1.0,4.0,1.0,4.705882352941176,,4.6
1.0,2.0,3.0,4.705882352941176,,4.6
2.0,4.0,1.0,2.5882352941176467,,5.2
2.0,2.0,1.0,5.235294117647059,,2.2
1.0,3.0,2.0,4.1764705882352935,,4.6
1.0,3.0,2.0,3.6470588235294112,,1.6
1.0,4.0,1.0,1.0,,5.2
1.0,2.0,1.0,3.1176470588235294,,7.0
1.0,4.0,1.0,2.0588235294117645,,7.6
1.0,3.0,3.0,4.1764705882352935,,6.4
1.0,2.0,3.0,3.6470588235294112,,5.2
1.0,3.0,2.0,3.1176470588235294,,4.6
1.0,5.0,3.0,3.1176470588235294,,7.0
1.0,3.0,4.0,4.1764705882352935,,6.4
1.0,4.0,4.0,3.6470588235294112,,4.6
1.0,3.0,3.0,3.1176470588235294,,4.6
1.0,2.0,3.0,2.5882352941176467,,6.4
1.0,3.0,3.0,5.235294117647059,,4.6
2.0,3.0,1.0,5.235294117647059,,6.4
1.0,2.0,1.0,4.705882352941176,,4.6
1.0,3.0,1.0,3.1176470588235294,,5.2
2.0,3.0,4.0,2.5882352941176467,,4.6
1.0,3.0,1.0,4.705882352941176,,5.8
2.0,3.0,3.0,2.5882352941176467,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,3.0,1.0,4.1764705882352935,,5.2
1.0,4.0,3.0,2.5882352941176467,,8.2
1.0,2.0,3.0,2.5882352941176467,,4.6
1.0,4.0,1.0,4.1764705882352935,,5.2
1.0,4.0,1.0,4.1764705882352935,,6.4
1.0,3.0,1.0,2.5882352941176467,,7.0
1.0,3.0,3.0,3.1176470588235294,,4.6
1.0,4.0,2.0,5.235294117647059,,4.6
1.0,4.0,4.0,4.1764705882352935,,5.2
1.0,4.0,1.0,4.1764705882352935,,5.8
1.0,4.0,1.0,5.235294117647059,,5.8
1.0,3.0,2.0,4.705882352941176,,5.8
2.0,4.0,1.0,3.1176470588235294,,5.2
2.0,3.0,4.0,3.1176470588235294,,7.0
1.0,4.0,1.0,4.1764705882352935,,7.0
2.0,4.0,1.0,3.1176470588235294,,5.8
2.0,3.0,2.0,2.5882352941176467,,8.8
1.0,3.0,3.0,4.705882352941176,,4.6
2.0,5.0,1.0,2.0588235294117645,,6.4
2.0,2.0,1.0,4.705882352941176,,4.6
1.0,2.0,1.0,4.1764705882352935,,5.8
2.0,3.0,3.0,3.1176470588235294,,6.4
1.0,2.0,1.0,4.1764705882352935,,5.8
1.0,1.0,1.0,2.0588235294117645,,4.6
2.0,4.0,2.0,3.1176470588235294,,5.8
2.0,4.0,1.0,5.235294117647059,,5.2
1.0,4.0,1.0,4.1764705882352935,,5.8
1.0,5.0,2.0,2.0588235294117645,,5.8
2.0,4.0,3.0,4.705882352941176,,4.6
1.0,3.0,4.0,5.235294117647059,,5.8
2.0,5.0,4.0,3.6470588235294112,,6.4
1.0,2.0,1.0,4.1764705882352935,,5.8
1.0,2.0,2.0,4.705882352941176,,5.8
2.0,3.0,4.0,3.6470588235294112,,7.0
2.0,5.0,2.0,3.1176470588235294,,5.8
1.0,2.0,3.0,3.1176470588235294,,6.4
1.0,3.0,3.0,3.1176470588235294,,5.8
1.0,1.0,4.0,4.1764705882352935,,8.8
2.0,3.0,1.0,2.0588235294117645,,3.4
1.0,3.0,2.0,5.235294117647059,,3.4
1.0,4.0,1.0,5.235294117647059,,5.8
1.0,4.0,1.0,3.1176470588235294,,5.2
2.0,3.0,1.0,4.1764705882352935,,5.2
2.0,3.0,4.0,4.705882352941176,,5.8
1.0,1.0,3.0,4.705882352941176,,5.2
1.0,4.0,2.0,5.235294117647059,,5.8
1.0,4.0,1.0,5.235294117647059,,6.4
1.0,4.0,1.0,2.0588235294117645,,6.4
1.0,2.0,2.0,4.1764705882352935,,5.2
1.0,5.0,1.0,3.6470588235294112,,5.8
1.0,4.0,1.0,1.5294117647058822,,5.2
2.0,2.0,1.0,4.1764705882352935,,7.0
1.0,4.0,1.0,3.1176470588235294,,5.2
1.0,4.0,1.0,3.1176470588235294,,5.8
2.0,2.0,1.0,5.235294117647059,,3.4
2.0,2.0,1.0,4.1764705882352935,,5.8
1.0,4.0,2.0,6.2941176470588225,,5.2
1.0,3.0,1.0,3.1176470588235294,,7.6
1.0,1.0,1.0,5.235294117647059,,7.0
1.0,5.0,1.0,2.5882352941176467,,5.8
1.0,5.0,1.0,3.1176470588235294,,4.0
2.0,5.0,1.0,5.235294117647059,,7.0
1.0,4.0,1.0,2.5882352941176467,,5.2
2.0,2.0,4.0,5.235294117647059,,5.8
1.0,5.0,1.0,2.5882352941176467,,7.0
1.0,5.0,1.0,4.1764705882352935,,5.8
2.0,5.0,1.0,2.5882352941176467,,7.6
1.0,1.0,4.0,2.5882352941176467,,5.2
2.0,4.0,1.0,5.235294117647059,,5.8
1.0,3.0,4.0,3.6470588235294112,,5.8
1.0,2.0,3.0,4.1764705882352935,,5.2
2.0,3.0,4.0,4.1764705882352935,,2.2
1.0,3.0,2.0,3.1176470588235294,,5.2
1.0,3.0,3.0,2.5882352941176467,,5.2
1.0,3.0,1.0,3.6470588235294112,,4.6
2.0,3.0,1.0,4.1764705882352935,,5.8
1.0,2.0,1.0,3.6470588235294112,,5.8
1.0,2.0,1.0,3.6470588235294112,,5.8
2.0,2.0,1.0,4.705882352941176,,5.2
2.0,1.0,3.0,3.1176470588235294,,5.2
2.0,4.0,3.0,10.0,,5.8
2.0,2.0,3.0,3.6470588235294112,1.0,5.2
2.0,4.0,1.0,3.1176470588235294,2.125,1.0
2.0,5.0,1.0,3.1176470588235294,2.125,5.8
1.0,3.0,3.0,4.705882352941176,2.125,5.8
2.0,3.0,3.0,2.5882352941176467,2.125,8.8
1.0,4.0,1.0,4.705882352941176,2.125,4.6
1.0,3.0,3.0,5.235294117647059,1.0,5.2
2.0,2.0,2.0,3.6470588235294112,2.125,8.2
1.0,4.0,2.0,6.2941176470588225,1.0,5.8
2.0,2.0,2.0,3.6470588235294112,2.125,2.2
2.0,3.0,3.0,6.823529411764706,2.125,4.6
1.0,4.0,1.0,2.5882352941176467,2.125,5.8
1.0,4.0,2.0,4.1764705882352935,2.125,5.8
1.0,3.0,3.0,4.705882352941176,1.0,6.4
2.0,5.0,1.0,3.6470588235294112,2.125,5.2
1.0,5.0,3.0,3.6470588235294112,1.0,6.4
1.0,5.0,3.0,3.1176470588235294,2.125,6.4
1.0,4.0,2.0,3.1176470588235294,2.125,5.8
1.0,3.0,1.0,4.1764705882352935,2.125,4.6
2.0,5.0,2.0,2.5882352941176467,2.125,3.4
2.0,4.0,1.0,2.5882352941176467,2.125,5.2
2.0,2.0,3.0,4.705882352941176,2.125,2.8
2.0,2.0,1.0,3.1176470588235294,2.125,5.8
2.0,2.0,3.0,1.0,2.125,5.8
2.0,3.0,1.0,4.1764705882352935,2.125,7.0
2.0,1.0,4.0,3.6470588235294112,2.125,1.6
2.0,4.0,3.0,4.1764705882352935,2.125,3.4
2.0,2.0,2.0,4.705882352941176,2.125,5.8
2.0,3.0,2.0,3.6470588235294112,1.0,5.2
2.0,1.0,4.0,3.6470588235294112,2.125,5.2
2.0,3.0,1.0,4.1764705882352935,2.125,6.4
2.0,4.0,1.0,5.235294117647059,2.125,4.6
2.0,2.0,1.0,3.6470588235294112,2.125,6.4
1.0,5.0,3.0,2.5882352941176467,2.125,7.0
2.0,1.0,3.0,3.1176470588235294,2.125,2.2
2.0,4.0,3.0,2.0588235294117645,2.125,7.0
2.0,2.0,4.0,5.235294117647059,2.125,5.8
2.0,4.0,3.0,3.6470588235294112,1.0,5.2
2.0,1.0,2.0,3.1176470588235294,2.125,2.2
2.0,1.0,3.0,3.1176470588235294,2.125,6.4
1.0,4.0,1.0,4.705882352941176,2.125,5.2
2.0,4.0,1.0,4.1764705882352935,2.125,5.2
2.0,1.0,3.0,4.1764705882352935,2.125,5.8
1.0,3.0,4.0,3.1176470588235294,2.125,5.8
2.0,4.0,1.0,3.6470588235294112,2.125,5.8
