sexo,escol,Tam_loc,agg_judicial_institutional_trust,agg_law_compliance_motivation,agg_legal_cynicism_extrajudicial_justice,agg_police_trust_and_legitimacy
2.0,4.0,1.0,2.3125,7.882352941176471,2.8,2.125
1.0,4.0,1.0,1.9375,4.705882352941177,1.9,2.125
1.0,4.0,1.0,2.875,5.764705882352941,2.35,2.125
1.0,3.0,1.0,,5.235294117647059,3.9250000000000003,2.125
2.0,2.0,1.0,,5.235294117647059,2.125,2.125
1.0,3.0,1.0,,5.235294117647059,2.125,2.125
2.0,4.0,1.0,1.5625,5.235294117647059,1.45,1.0
1.0,1.0,4.0,2.875,7.352941176470588,2.35,1.0
2.0,1.0,4.0,3.625,5.764705882352941,2.575,1.0
2.0,1.0,4.0,3.4375,5.235294117647059,3.6999999999999997,2.125
2.0,1.0,4.0,3.625,6.294117647058823,3.025,2.125
1.0,2.0,4.0,3.8125,6.823529411764706,3.25,2.125
1.0,1.0,4.0,3.0625,5.764705882352941,3.25,2.125
1.0,3.0,4.0,1.9375,4.705882352941177,3.25,3.25
1.0,1.0,4.0,3.0625,6.823529411764706,2.125,2.125
2.0,1.0,4.0,2.5,6.823529411764706,2.35,3.25
2.0,1.0,4.0,1.75,5.235294117647059,2.125,1.0
1.0,2.0,4.0,1.9375,6.294117647058823,2.8,1.0
2.0,1.0,4.0,2.125,6.294117647058823,1.9,2.125
2.0,1.0,3.0,2.3125,6.294117647058823,2.8,1.0
2.0,4.0,3.0,,6.294117647058823,2.8,1.0
2.0,4.0,3.0,2.125,6.294117647058823,3.25,2.125
1.0,1.0,3.0,,6.294117647058823,2.575,2.125
1.0,2.0,3.0,1.375,6.823529411764706,1.675,1.0
2.0,1.0,3.0,,6.294117647058823,3.475,2.125
2.0,1.0,3.0,2.3125,6.294117647058823,3.025,1.0
1.0,1.0,3.0,2.875,6.294117647058823,2.8,2.125
1.0,1.0,3.0,1.9375,6.294117647058823,2.8,3.25
2.0,2.0,3.0,,6.823529411764706,2.575,2.125
2.0,3.0,3.0,,7.352941176470588,2.125,2.125
2.0,2.0,3.0,2.3125,6.294117647058823,3.025,2.125
1.0,2.0,3.0,1.375,4.705882352941177,3.025,1.0
2.0,3.0,3.0,,7.352941176470588,3.25,1.0
1.0,3.0,3.0,1.5625,5.764705882352941,2.575,2.125
1.0,2.0,3.0,2.5,6.294117647058823,2.575,2.125
1.0,4.0,3.0,1.5625,8.411764705882353,2.35,2.125
2.0,2.0,3.0,,7.352941176470588,2.575,2.125
1.0,3.0,3.0,2.875,5.235294117647059,2.8,2.125
2.0,4.0,3.0,,5.235294117647059,3.25,1.0
1.0,4.0,3.0,2.3125,5.764705882352941,1.675,1.0
1.0,4.0,3.0,1.1875,6.294117647058823,2.575,1.0
2.0,2.0,3.0,2.6875,6.294117647058823,2.575,1.0
1.0,2.0,3.0,2.3125,6.294117647058823,2.8,2.125
2.0,1.0,4.0,3.4375,6.823529411764706,3.25,2.125
1.0,2.0,4.0,,5.235294117647059,2.8,3.25
2.0,1.0,4.0,3.0625,7.882352941176471,3.6999999999999997,2.125
1.0,1.0,4.0,3.4375,7.352941176470588,3.025,2.125
2.0,2.0,4.0,3.25,6.823529411764706,3.475,2.125
1.0,1.0,4.0,3.25,6.294117647058823,2.8,2.125
1.0,3.0,4.0,2.875,6.823529411764706,1.9,2.125
1.0,3.0,4.0,1.5625,5.764705882352941,2.125,2.125
1.0,3.0,4.0,3.625,6.823529411764706,2.125,4.375
2.0,3.0,4.0,3.4375,5.235294117647059,2.125,2.125
2.0,3.0,4.0,2.3125,5.764705882352941,2.575,2.125
2.0,2.0,4.0,1.75,4.705882352941177,2.35,2.125
1.0,5.0,4.0,3.0625,5.764705882352941,2.125,2.125
1.0,2.0,4.0,3.625,6.294117647058823,3.6999999999999997,1.0
2.0,5.0,4.0,4.75,3.6470588235294117,2.35,1.0
2.0,3.0,4.0,2.875,5.764705882352941,3.025,1.0
1.0,3.0,4.0,4.375,7.352941176470588,6.175,2.125
1.0,1.0,4.0,3.0625,7.352941176470588,3.9250000000000003,3.25
2.0,1.0,4.0,4.0,7.352941176470588,3.25,1.0
2.0,1.0,4.0,4.375,8.411764705882353,4.825,1.0
1.0,1.0,4.0,,4.705882352941177,3.6999999999999997,2.125
2.0,1.0,4.0,3.8125,5.235294117647059,5.05,1.0
2.0,4.0,4.0,3.625,7.352941176470588,3.6999999999999997,3.25
2.0,1.0,4.0,4.5625,7.882352941176471,3.475,2.125
2.0,5.0,1.0,4.375,7.352941176470588,2.8,3.25
1.0,4.0,1.0,3.4375,4.705882352941177,1.675,2.125
2.0,4.0,1.0,,6.823529411764706,4.15,2.125
1.0,5.0,1.0,2.5,6.294117647058823,2.125,1.0
2.0,3.0,1.0,3.4375,5.235294117647059,2.8,2.125
2.0,4.0,1.0,2.6875,4.705882352941177,3.6999999999999997,3.25
2.0,4.0,1.0,,3.6470588235294117,2.35,3.25
2.0,3.0,1.0,2.125,3.6470588235294117,3.025,2.125
1.0,3.0,1.0,3.625,5.235294117647059,2.575,2.125
2.0,5.0,1.0,,6.823529411764706,2.125,2.125
1.0,4.0,1.0,2.6875,7.352941176470588,1.9,2.125
1.0,5.0,1.0,2.125,5.764705882352941,2.575,1.0
2.0,3.0,1.0,3.4375,7.352941176470588,4.375,2.125
1.0,1.0,1.0,3.8125,7.352941176470588,3.25,2.125
2.0,5.0,1.0,,7.352941176470588,2.575,2.125
1.0,3.0,1.0,6.8125,6.294117647058823,3.025,1.0
1.0,4.0,1.0,2.3125,6.823529411764706,3.9250000000000003,2.125
1.0,4.0,1.0,2.5,5.235294117647059,3.25,2.125
2.0,3.0,1.0,2.125,7.882352941176471,3.9250000000000003,4.375
1.0,3.0,1.0,1.9375,6.823529411764706,3.6999999999999997,1.0
2.0,3.0,1.0,1.9375,5.764705882352941,3.9250000000000003,2.125
1.0,5.0,1.0,,6.823529411764706,2.8,2.125
2.0,4.0,1.0,,6.823529411764706,2.35,2.125
1.0,5.0,1.0,2.3125,5.235294117647059,1.9,2.125
2.0,3.0,1.0,2.6875,7.352941176470588,2.125,4.375
1.0,3.0,1.0,3.0625,4.705882352941177,3.025,2.125
2.0,3.0,1.0,2.875,5.235294117647059,2.125,2.125
2.0,1.0,1.0,1.9375,3.6470588235294117,2.8,3.25
1.0,4.0,1.0,2.875,1.0,2.125,3.25
2.0,4.0,1.0,2.5,4.705882352941177,2.8,2.125
2.0,5.0,1.0,3.25,5.235294117647059,3.025,2.125
1.0,4.0,1.0,2.125,4.705882352941177,2.575,2.125
2.0,4.0,1.0,,6.294117647058823,4.15,1.0
1.0,4.0,1.0,,2.0588235294117645,2.575,2.125
2.0,1.0,1.0,4.1875,,1.675,4.375
1.0,3.0,1.0,3.625,3.6470588235294117,3.475,4.375
2.0,4.0,1.0,,6.823529411764706,2.35,1.0
1.0,5.0,1.0,3.0625,3.6470588235294117,3.025,3.25
1.0,3.0,1.0,2.6875,5.764705882352941,2.35,1.0
2.0,3.0,1.0,2.3125,7.352941176470588,3.9250000000000003,1.0
2.0,4.0,1.0,2.5,5.235294117647059,2.575,1.0
1.0,4.0,1.0,3.4375,2.0588235294117645,2.575,4.375
2.0,1.0,1.0,2.875,,2.575,5.5
2.0,1.0,1.0,,3.1176470588235294,2.575,4.375
1.0,5.0,1.0,,4.705882352941177,2.8,3.25
2.0,2.0,1.0,3.25,4.1764705882352935,2.35,3.25
2.0,1.0,1.0,1.9375,7.882352941176471,2.35,1.0
1.0,4.0,1.0,2.6875,5.235294117647059,2.8,1.0
1.0,2.0,1.0,2.6875,5.764705882352941,3.025,2.125
2.0,4.0,1.0,2.875,5.235294117647059,4.375,2.125
2.0,2.0,1.0,2.3125,5.235294117647059,3.6999999999999997,1.0
2.0,2.0,1.0,2.6875,7.352941176470588,3.25,3.25
1.0,5.0,1.0,2.6875,5.764705882352941,2.35,2.125
2.0,4.0,1.0,2.875,5.235294117647059,1.675,1.0
2.0,3.0,1.0,3.0625,4.1764705882352935,2.8,3.25
1.0,4.0,1.0,,5.235294117647059,3.025,4.375
2.0,3.0,1.0,2.5,5.764705882352941,2.575,1.0
1.0,2.0,1.0,3.8125,5.235294117647059,1.9,3.25
2.0,3.0,1.0,3.4375,4.705882352941177,1.9,3.25
1.0,2.0,1.0,2.3125,7.882352941176471,2.8,1.0
2.0,2.0,1.0,5.5,4.705882352941177,3.25,3.25
1.0,2.0,1.0,3.25,6.294117647058823,3.25,2.125
2.0,3.0,1.0,3.0625,5.235294117647059,3.025,2.125
1.0,4.0,1.0,3.25,2.5882352941176467,3.475,3.25
2.0,3.0,1.0,3.25,3.1176470588235294,3.025,1.0
2.0,2.0,1.0,,7.352941176470588,2.575,1.0
2.0,2.0,1.0,3.0625,6.294117647058823,2.575,1.0
2.0,4.0,1.0,2.3125,6.294117647058823,2.125,1.0
1.0,3.0,1.0,2.5,4.1764705882352935,2.125,3.25
2.0,3.0,1.0,1.75,5.235294117647059,2.8,1.0
2.0,5.0,1.0,3.0625,4.705882352941177,2.35,1.0
2.0,3.0,1.0,3.4375,7.352941176470588,3.025,3.25
2.0,2.0,4.0,3.4375,5.764705882352941,4.15,1.0
1.0,1.0,4.0,4.9375,6.823529411764706,3.025,2.125
2.0,3.0,4.0,3.4375,5.764705882352941,3.25,1.0
2.0,3.0,4.0,1.9375,6.294117647058823,2.35,1.0
2.0,1.0,4.0,2.5,5.235294117647059,2.35,2.125
2.0,2.0,4.0,2.125,4.705882352941177,1.675,1.0
2.0,2.0,4.0,2.875,5.764705882352941,2.35,2.125
1.0,3.0,4.0,2.3125,4.705882352941177,2.125,1.0
2.0,3.0,4.0,6.25,2.0588235294117645,3.025,1.0
1.0,1.0,4.0,5.875,5.235294117647059,3.25,3.25
2.0,2.0,4.0,5.3125,5.235294117647059,2.35,3.25
2.0,2.0,4.0,6.0625,3.6470588235294117,4.375,2.125
2.0,2.0,4.0,1.375,6.823529411764706,1.675,1.0
2.0,2.0,4.0,2.3125,5.235294117647059,2.8,1.0
1.0,3.0,4.0,3.0625,2.5882352941176467,2.35,4.375
2.0,2.0,1.0,,5.235294117647059,4.6,1.0
1.0,4.0,1.0,,5.764705882352941,3.25,2.125
1.0,4.0,1.0,,4.705882352941177,4.375,2.125
1.0,4.0,1.0,,4.705882352941177,3.025,2.125
1.0,4.0,1.0,2.5,4.1764705882352935,2.575,3.25
2.0,2.0,1.0,2.3125,3.6470588235294117,2.575,2.125
2.0,3.0,1.0,3.25,4.705882352941177,2.8,2.125
2.0,3.0,1.0,2.5,3.6470588235294117,3.475,4.375
1.0,3.0,1.0,2.125,4.1764705882352935,1.9,4.375
1.0,3.0,1.0,2.125,4.705882352941177,2.125,2.125
2.0,3.0,1.0,2.3125,3.1176470588235294,1.9,4.375
1.0,1.0,1.0,2.3125,4.1764705882352935,1.9,2.125
1.0,3.0,1.0,2.3125,2.5882352941176467,2.35,2.125
2.0,4.0,1.0,2.125,2.5882352941176467,2.575,3.25
1.0,3.0,1.0,,3.6470588235294117,3.025,2.125
1.0,4.0,1.0,,4.705882352941177,2.35,2.125
2.0,3.0,1.0,2.5,3.1176470588235294,2.8,4.375
1.0,3.0,1.0,3.0625,3.1176470588235294,3.25,3.25
2.0,3.0,1.0,2.6875,3.1176470588235294,2.35,4.375
1.0,1.0,1.0,2.3125,3.1176470588235294,2.575,3.25
2.0,3.0,1.0,2.3125,4.1764705882352935,3.9250000000000003,2.125
2.0,2.0,1.0,2.3125,4.1764705882352935,1.9,2.125
2.0,2.0,1.0,3.8125,4.1764705882352935,3.025,4.375
1.0,1.0,1.0,2.5,4.1764705882352935,1.9,4.375
1.0,3.0,1.0,2.3125,3.6470588235294117,1.9,3.25
2.0,3.0,1.0,2.125,4.1764705882352935,2.125,4.375
2.0,3.0,1.0,2.125,2.5882352941176467,2.125,3.25
1.0,3.0,1.0,,4.705882352941177,2.35,2.125
1.0,4.0,1.0,,5.235294117647059,3.025,2.125
2.0,2.0,1.0,3.8125,5.235294117647059,2.8,1.0
2.0,2.0,1.0,,5.235294117647059,2.125,1.0
