sexo,escol,Tam_loc,agg_fiscal_and_service_federalism_preferences,agg_legal_uniformity_preference,agg_perceived_representativeness,agg_political_interest_and_engagement,agg_security_governance_preferences
2.0,3.0,4.0,4.1395348837209305,1.5625,6.142857142857142,7.352941176470588,2.96875
2.0,3.0,3.0,4.558139534883722,1.0,6.142857142857142,7.352941176470588,3.25
1.0,3.0,3.0,3.0930232558139537,1.0,8.714285714285714,8.411764705882351,1.84375
1.0,4.0,3.0,2.2558139534883717,1.0,8.714285714285714,8.411764705882351,2.96875
1.0,5.0,3.0,2.2558139534883717,1.0,8.714285714285714,8.411764705882351,1.5625
2.0,4.0,3.0,3.7209302325581395,1.0,8.285714285714285,6.8235294117647065,2.96875
2.0,2.0,3.0,3.0930232558139537,1.0,6.357142857142857,5.235294117647059,3.53125
1.0,2.0,3.0,3.7209302325581395,1.0,7.428571428571428,7.352941176470588,2.40625
1.0,5.0,3.0,3.302325581395349,1.0,8.07142857142857,7.882352941176473,2.6875
1.0,3.0,3.0,3.511627906976744,1.0,7.857142857142858,8.941176470588236,1.84375
2.0,3.0,3.0,4.767441860465116,1.0,6.142857142857142,8.411764705882351,2.96875
1.0,2.0,3.0,3.0930232558139537,1.0,9.142857142857142,8.941176470588236,1.84375
2.0,3.0,3.0,3.0930232558139537,1.0,8.714285714285714,10.0,3.25
1.0,3.0,1.0,2.674418604651163,1.5625,7.857142857142858,7.882352941176473,2.6875
1.0,3.0,1.0,2.883720930232559,3.0625,8.928571428571427,6.8235294117647065,2.125
2.0,1.0,2.0,4.348837209302325,1.0,7.428571428571428,8.411764705882351,2.96875
2.0,4.0,2.0,4.348837209302325,1.375,7.214285714285714,8.411764705882351,2.96875
2.0,1.0,2.0,3.9302325581395348,3.4375,6.142857142857142,5.764705882352941,2.6875
1.0,2.0,2.0,4.9767441860465125,2.5,7.428571428571428,8.941176470588236,5.78125
1.0,1.0,2.0,4.348837209302325,1.0,7.428571428571428,6.294117647058824,3.25
1.0,3.0,4.0,3.0930232558139537,1.5625,9.357142857142858,6.294117647058824,3.25
1.0,3.0,4.0,4.558139534883722,4.9375,6.571428571428572,7.352941176470588,7.46875
2.0,1.0,2.0,2.883720930232559,2.875,7.642857142857142,7.352941176470588,3.8125
2.0,1.0,2.0,3.0930232558139537,1.5625,7.857142857142858,5.764705882352941,3.8125
2.0,3.0,2.0,4.1395348837209305,1.0,6.999999999999999,7.352941176470588,6.34375
2.0,1.0,2.0,4.767441860465116,1.0,2.714285714285714,8.941176470588236,2.96875
2.0,2.0,1.0,3.511627906976744,1.0,8.714285714285714,7.882352941176473,2.125
2.0,3.0,1.0,3.0930232558139537,1.0,7.214285714285714,8.411764705882351,4.375
2.0,4.0,1.0,4.767441860465116,1.0,6.142857142857142,9.470588235294116,4.65625
2.0,1.0,4.0,9.372093023255815,8.875,1.0,6.294117647058824,8.875
2.0,4.0,4.0,4.1395348837209305,1.0,6.999999999999999,7.352941176470588,2.96875
1.0,3.0,4.0,2.4651162790697674,1.0,7.428571428571428,8.411764705882351,2.40625
1.0,1.0,1.0,2.4651162790697674,1.375,8.285714285714285,7.352941176470588,4.375
2.0,3.0,1.0,3.7209302325581395,2.125,8.07142857142857,7.352941176470588,3.25
1.0,5.0,1.0,3.0930232558139537,1.375,6.999999999999999,8.411764705882351,2.6875
1.0,5.0,1.0,3.511627906976744,2.3125,7.857142857142858,8.411764705882351,2.125
1.0,2.0,2.0,3.9302325581395348,1.0,7.428571428571428,6.294117647058824,1.84375
1.0,4.0,2.0,3.302325581395349,2.3125,7.642857142857142,8.941176470588236,2.40625
1.0,4.0,2.0,3.0930232558139537,1.0,8.714285714285714,7.882352941176473,1.5625
1.0,4.0,2.0,3.0930232558139537,1.0,8.714285714285714,8.941176470588236,1.5625
2.0,3.0,2.0,2.4651162790697674,1.9375,9.142857142857142,7.352941176470588,2.40625
2.0,4.0,2.0,2.2558139534883717,1.375,9.571428571428571,7.352941176470588,2.125
2.0,3.0,2.0,3.7209302325581395,2.125,6.571428571428572,5.764705882352941,3.8125
1.0,4.0,2.0,2.883720930232559,1.0,7.428571428571428,4.1764705882352935,2.125
2.0,3.0,2.0,2.674418604651163,1.375,7.214285714285714,6.8235294117647065,2.96875
2.0,4.0,2.0,1.8372093023255813,1.375,8.928571428571427,6.8235294117647065,1.84375
2.0,3.0,2.0,2.674418604651163,1.375,8.714285714285714,7.352941176470588,2.125
2.0,3.0,2.0,3.0930232558139537,1.0,7.214285714285714,7.352941176470588,2.96875
2.0,1.0,2.0,2.883720930232559,2.125,6.999999999999999,5.764705882352941,2.6875
1.0,3.0,4.0,3.302325581395349,1.0,7.428571428571428,6.8235294117647065,3.25
2.0,3.0,4.0,2.4651162790697674,1.0,6.999999999999999,5.764705882352941,1.84375
2.0,1.0,4.0,3.302325581395349,1.375,6.785714285714285,7.352941176470588,1.5625
1.0,2.0,3.0,3.302325581395349,2.125,6.142857142857142,10.0,7.1875
1.0,5.0,3.0,4.9767441860465125,2.125,6.142857142857142,8.411764705882351,6.90625
1.0,1.0,3.0,3.302325581395349,1.0,6.142857142857142,6.8235294117647065,2.96875
1.0,3.0,3.0,3.302325581395349,1.0,7.428571428571428,6.8235294117647065,2.125
1.0,2.0,3.0,3.0930232558139537,1.0,6.571428571428572,6.8235294117647065,2.125
2.0,2.0,3.0,2.883720930232559,1.0,6.142857142857142,7.352941176470588,1.5625
1.0,2.0,4.0,2.4651162790697674,1.375,7.428571428571428,7.352941176470588,2.96875
1.0,2.0,4.0,3.302325581395349,1.0,6.142857142857142,7.352941176470588,7.46875
1.0,2.0,4.0,2.674418604651163,1.0,6.785714285714285,7.352941176470588,2.40625
1.0,4.0,2.0,3.7209302325581395,1.375,7.428571428571428,8.411764705882351,2.40625
1.0,1.0,2.0,4.767441860465116,7.75,7.214285714285714,7.352941176470588,2.125
1.0,3.0,1.0,4.1395348837209305,6.0625,5.2857142857142865,8.411764705882351,3.8125
2.0,3.0,1.0,3.7209302325581395,4.75,6.571428571428572,6.8235294117647065,5.21875
1.0,2.0,1.0,4.767441860465116,6.25,6.999999999999999,4.7058823529411775,5.78125
2.0,3.0,1.0,4.1395348837209305,1.75,5.499999999999999,7.352941176470588,2.96875
1.0,5.0,1.0,3.9302325581395348,1.375,6.357142857142857,6.8235294117647065,1.5625
1.0,3.0,1.0,3.7209302325581395,2.6875,9.142857142857142,8.411764705882351,1.84375
2.0,2.0,1.0,3.7209302325581395,1.1875,7.857142857142858,8.411764705882351,2.125
1.0,4.0,1.0,4.1395348837209305,2.125,6.357142857142857,6.294117647058824,5.5
2.0,2.0,1.0,4.9767441860465125,2.125,6.571428571428572,6.294117647058824,5.5
1.0,4.0,1.0,4.767441860465116,2.125,4.428571428571429,4.7058823529411775,3.25
2.0,3.0,1.0,4.9767441860465125,1.0,7.857142857142858,7.352941176470588,2.125
1.0,5.0,1.0,3.302325581395349,1.5625,8.5,10.0,1.5625
1.0,4.0,1.0,3.0930232558139537,1.5625,8.285714285714285,8.941176470588236,1.5625
2.0,5.0,1.0,3.511627906976744,1.375,7.428571428571428,6.294117647058824,5.5
2.0,3.0,1.0,3.511627906976744,2.3125,6.142857142857142,6.8235294117647065,2.40625
2.0,1.0,1.0,3.7209302325581395,1.75,6.142857142857142,5.764705882352941,2.96875
1.0,4.0,1.0,4.9767441860465125,8.875,1.0,5.764705882352941,6.34375
2.0,2.0,1.0,3.0930232558139537,1.5625,7.214285714285714,10.0,2.40625
1.0,4.0,1.0,4.1395348837209305,1.75,6.571428571428572,5.764705882352941,2.6875
1.0,5.0,1.0,4.348837209302325,1.0,6.142857142857142,9.470588235294116,2.6875
1.0,5.0,1.0,4.1395348837209305,1.5625,9.571428571428571,10.0,2.125
2.0,3.0,1.0,2.674418604651163,1.0,1.0,7.882352941176473,3.8125
2.0,4.0,1.0,3.302325581395349,1.9375,6.142857142857142,6.294117647058824,2.40625
2.0,3.0,1.0,2.674418604651163,1.0,6.571428571428572,5.764705882352941,3.8125
2.0,3.0,1.0,3.302325581395349,1.0,6.142857142857142,5.764705882352941,5.5
