sexo,escol,Tam_loc,agg_climate_change_risk_perception,agg_environmental_knowledge_self_efficacy,agg_environmental_problem_salience,agg_pro_environmental_civic_engagement
1.0,2.0,2.0,2.125,5.9655172413793105,3.8125,8.875
1.0,5.0,2.0,3.25,6.586206896551724,2.6875,8.875
2.0,4.0,1.0,1.0,7.517241379310345,4.9375,8.875
1.0,1.0,1.0,8.875,,2.6875,9.15625
2.0,3.0,1.0,2.125,4.413793103448276,2.125,8.875
2.0,2.0,1.0,1.0,8.137931034482758,2.125,8.875
2.0,2.0,1.0,1.0,,,8.875
1.0,3.0,1.0,1.0,1.0,3.25,8.875
2.0,3.0,3.0,3.25,3.4827586206896552,5.5,8.875
2.0,4.0,3.0,1.0,6.8965517241379315,3.25,8.875
1.0,4.0,1.0,3.25,5.9655172413793105,4.375,8.875
1.0,4.0,1.0,1.0,6.8965517241379315,2.6875,8.875
2.0,2.0,2.0,3.25,4.724137931034483,2.6875,8.875
2.0,4.0,2.0,1.0,8.137931034482758,2.125,8.875
2.0,4.0,2.0,1.0,3.4827586206896552,6.625,8.875
2.0,4.0,3.0,1.0,,3.8125,8.875
2.0,2.0,3.0,2.125,,4.375,8.875
1.0,2.0,3.0,2.125,,3.8125,8.875
1.0,2.0,3.0,1.0,,4.375,8.875
1.0,3.0,2.0,2.125,7.517241379310345,2.6875,9.71875
1.0,3.0,1.0,1.0,9.068965517241379,1.5625,8.875
1.0,4.0,1.0,2.125,9.068965517241379,2.125,8.875
1.0,1.0,1.0,3.25,6.586206896551724,7.75,8.875
2.0,3.0,3.0,1.0,5.9655172413793105,2.125,8.875
1.0,1.0,3.0,1.0,,6.0625,8.875
1.0,3.0,1.0,1.0,5.344827586206897,2.125,8.875
1.0,2.0,2.0,2.125,5.344827586206897,6.0625,9.15625
2.0,3.0,1.0,1.0,2.8620689655172415,3.8125,8.875
1.0,2.0,2.0,1.0,2.5517241379310347,3.8125,7.1875
2.0,4.0,3.0,3.25,4.103448275862069,3.8125,9.15625
1.0,4.0,3.0,2.125,5.655172413793104,4.9375,8.875
1.0,4.0,3.0,2.125,3.4827586206896552,2.6875,8.875
2.0,4.0,2.0,2.125,7.8275862068965525,3.25,9.15625
1.0,4.0,1.0,1.0,6.275862068965518,3.8125,8.875
1.0,1.0,2.0,2.125,7.8275862068965525,2.6875,8.875
1.0,1.0,1.0,1.0,7.517241379310345,3.8125,8.875
2.0,4.0,2.0,1.0,7.206896551724138,6.625,8.875
2.0,4.0,1.0,1.0,4.724137931034483,2.6875,9.4375
1.0,4.0,1.0,1.0,7.8275862068965525,3.8125,8.875
1.0,4.0,2.0,2.125,7.8275862068965525,2.6875,8.875
2.0,2.0,2.0,1.0,4.724137931034483,2.6875,8.875
2.0,3.0,1.0,1.0,8.137931034482758,1.5625,8.875
1.0,2.0,3.0,2.125,4.724137931034483,3.8125,8.875
2.0,1.0,2.0,1.0,6.8965517241379315,2.6875,8.875
