sexo,edad,escol,Tam_loc,agg_conjugal_union_attitudes,agg_family_cohesion_quality,agg_family_value_transmission,agg_ideal_family_normativity,agg_intergenerational_obligations
1.0,25.0,5.0,1.0,1.5625,2.125,2.125,,1.375
1.0,26.0,2.0,3.0,3.25,3.25,3.25,2.125,1.375
2.0,25.0,4.0,4.0,3.0625,2.6875,1.5625,,4.0
2.0,61.0,1.0,4.0,1.9375,1.5625,2.125,,1.0
2.0,52.0,1.0,3.0,2.5,1.5625,2.6875,2.125,1.75
1.0,27.0,5.0,1.0,7.0,1.5625,2.125,2.40625,4.0
2.0,25.0,5.0,4.0,1.375,2.125,3.25,2.125,1.75
2.0,45.0,3.0,3.0,1.1875,2.6875,2.125,,1.375
2.0,60.0,3.0,3.0,2.3125,2.125,3.25,4.65625,1.75
2.0,28.0,5.0,1.0,2.6875,2.125,3.8125,,1.375
2.0,28.0,5.0,1.0,4.1875,2.125,3.25,,1.0
2.0,28.0,4.0,3.0,1.5625,1.5625,1.0,,1.375
2.0,28.0,4.0,1.0,3.4375,2.125,2.6875,1.84375,4.0
1.0,65.0,3.0,1.0,1.9375,2.6875,2.125,2.125,1.375
2.0,58.0,1.0,3.0,3.25,2.6875,2.6875,,2.125
2.0,64.0,1.0,1.0,2.5,2.125,1.5625,1.84375,1.0
2.0,50.0,3.0,1.0,4.5625,3.25,2.125,1.5625,1.0
1.0,69.0,1.0,1.0,2.5,2.125,2.125,,1.75
1.0,18.0,4.0,1.0,1.9375,3.25,2.125,1.84375,1.375
1.0,49.0,4.0,2.0,2.125,2.6875,3.25,,1.0
2.0,53.0,1.0,4.0,2.875,3.25,2.125,2.96875,1.0
2.0,31.0,5.0,1.0,3.625,1.5625,1.0,4.9375,1.0
2.0,25.0,4.0,1.0,3.625,2.125,1.5625,2.96875,1.375
2.0,24.0,4.0,1.0,4.0,2.125,4.375,1.5625,3.25
2.0,57.0,1.0,3.0,2.3125,2.125,1.5625,1.84375,2.125
2.0,25.0,4.0,2.0,2.125,3.25,3.25,1.28125,1.0
1.0,35.0,5.0,3.0,2.3125,1.5625,2.125,1.5625,1.375
2.0,29.0,2.0,4.0,1.9375,2.125,2.6875,1.84375,1.375
1.0,50.0,3.0,1.0,2.6875,2.125,1.5625,1.84375,1.0
2.0,54.0,1.0,2.0,2.5,1.5625,2.125,1.28125,1.0
2.0,28.0,2.0,4.0,1.75,2.6875,3.25,1.5625,2.125
1.0,18.0,9.0,1.0,4.75,1.0,2.125,1.5625,1.375
2.0,20.0,4.0,1.0,1.375,2.125,2.125,,2.125
2.0,32.0,4.0,2.0,2.875,2.125,2.6875,1.5625,1.375
1.0,33.0,5.0,1.0,2.3125,2.125,1.0,2.40625,1.0
1.0,31.0,3.0,1.0,2.6875,2.125,2.125,1.5625,2.125
2.0,52.0,2.0,3.0,1.9375,3.25,2.125,1.84375,1.375
1.0,37.0,3.0,1.0,2.125,2.125,2.125,2.125,2.125
1.0,43.0,4.0,1.0,2.6875,2.6875,2.125,1.5625,1.375
2.0,38.0,1.0,4.0,2.125,2.125,2.6875,1.5625,1.0
1.0,58.0,2.0,2.0,1.9375,3.8125,1.5625,1.5625,1.375
1.0,30.0,1.0,3.0,1.5625,1.0,2.125,1.84375,1.75
1.0,52.0,4.0,1.0,1.375,1.0,2.125,1.28125,1.0
2.0,39.0,3.0,2.0,1.75,2.125,2.6875,1.84375,1.75
2.0,23.0,4.0,4.0,2.125,2.125,2.6875,1.84375,1.375
2.0,76.0,3.0,1.0,3.25,2.125,2.125,2.125,1.0
1.0,58.0,2.0,4.0,2.875,2.125,4.375,2.96875,2.125
1.0,56.0,4.0,4.0,2.125,2.125,2.125,1.5625,1.75
2.0,31.0,3.0,1.0,5.6875,2.125,3.25,2.96875,1.0
2.0,68.0,4.0,3.0,1.9375,2.6875,3.25,1.5625,1.75
