sexo,escol,Tam_loc,agg_church_state_separation,agg_personal_religiosity,agg_religious_socialization,agg_religious_tolerance,agg_supernatural_beliefs
2.0,4.0,1.0,2.5,9.25,2.4999999999999996,5.5,8.071428571428573
2.0,4.0,1.0,,,,5.5,1.6428571428571426
1.0,2.0,1.0,4.5,9.25,1.0,5.5,8.071428571428573
1.0,2.0,1.0,4.5,9.25,1.0,3.25,
2.0,3.0,1.0,4.5,,4.0,,
1.0,2.0,1.0,3.0,9.25,2.4999999999999996,7.75,4.2142857142857135
2.0,4.0,1.0,5.0,7.75,1.0,7.75,
1.0,2.0,1.0,5.0,,7.000000000000001,10.0,
1.0,4.0,1.0,5.5,,7.000000000000001,7.75,
2.0,4.0,1.0,5.0,9.25,1.0,7.75,3.8928571428571423
1.0,4.0,1.0,3.5,8.5,1.0,3.25,10.0
2.0,4.0,1.0,6.5,9.25,1.0,5.5,6.464285714285715
1.0,4.0,1.0,6.0,9.25,1.0,5.5,6.142857142857142
1.0,4.0,1.0,4.0,9.25,2.4999999999999996,5.5,6.464285714285715
1.0,3.0,1.0,,,1.0,5.5,
2.0,4.0,1.0,5.0,8.5,1.0,5.5,
2.0,3.0,1.0,5.5,,7.000000000000001,3.25,
2.0,4.0,1.0,,,5.5,5.5,
1.0,4.0,1.0,6.5,7.000000000000001,5.5,1.0,7.75
2.0,3.0,1.0,6.5,9.25,4.0,5.5,
2.0,2.0,1.0,6.0,8.5,7.000000000000001,5.5,4.5357142857142865
2.0,4.0,1.0,4.5,10.0,4.0,,10.0
1.0,3.0,1.0,6.5,,7.000000000000001,,1.964285714285714
1.0,4.0,1.0,4.0,8.5,2.4999999999999996,,
1.0,3.0,1.0,6.0,4.75,5.5,7.75,
2.0,5.0,1.0,,7.75,2.4999999999999996,5.5,8.071428571428573
2.0,2.0,1.0,5.0,8.5,5.5,3.25,10.0
1.0,1.0,1.0,5.5,,7.000000000000001,5.5,4.2142857142857135
2.0,3.0,1.0,,,8.5,1.0,
1.0,4.0,1.0,5.5,3.25,7.000000000000001,5.5,
1.0,2.0,1.0,5.5,1.0,5.5,5.5,5.821428571428572
2.0,4.0,1.0,4.5,6.249999999999999,7.000000000000001,5.5,7.428571428571428
2.0,3.0,1.0,7.0,8.5,2.4999999999999996,5.5,
1.0,4.0,1.0,5.5,8.5,2.4999999999999996,5.5,5.178571428571429
2.0,1.0,1.0,5.0,10.0,4.0,3.25,7.107142857142858
1.0,4.0,3.0,6.0,10.0,1.0,5.5,8.071428571428573
1.0,1.0,3.0,5.5,9.25,5.5,1.0,
1.0,1.0,3.0,3.5,10.0,1.0,5.5,10.0
1.0,1.0,3.0,5.5,8.5,4.0,5.5,8.071428571428573
2.0,2.0,3.0,4.0,8.5,4.0,5.5,6.785714285714285
1.0,4.0,3.0,3.0,8.5,4.0,5.5,6.142857142857142
1.0,1.0,3.0,5.5,9.25,5.5,5.5,6.785714285714285
2.0,1.0,3.0,5.5,7.000000000000001,2.4999999999999996,5.5,8.071428571428573
1.0,4.0,3.0,5.0,7.000000000000001,4.0,5.5,9.357142857142858
2.0,1.0,3.0,6.0,9.25,5.5,3.25,9.357142857142858
2.0,3.0,3.0,6.5,8.5,5.5,5.5,5.5
2.0,3.0,3.0,7.5,9.25,4.0,5.5,4.857142857142858
2.0,3.0,3.0,5.5,10.0,1.0,5.5,9.357142857142858
2.0,3.0,3.0,3.5,9.25,2.4999999999999996,5.5,8.071428571428573
1.0,4.0,3.0,6.5,9.25,4.0,5.5,4.2142857142857135
1.0,3.0,3.0,4.0,7.000000000000001,4.0,5.5,6.785714285714285
1.0,3.0,3.0,6.0,8.5,2.4999999999999996,5.5,8.714285714285715
2.0,2.0,3.0,5.0,9.25,2.4999999999999996,5.5,9.357142857142858
1.0,4.0,3.0,4.5,8.5,2.4999999999999996,5.5,10.0
1.0,3.0,3.0,,,8.5,5.5,8.071428571428573
1.0,4.0,3.0,5.0,7.000000000000001,1.0,3.25,5.5
2.0,4.0,3.0,5.0,9.25,1.0,1.0,10.0
2.0,3.0,3.0,6.0,9.25,5.5,5.5,3.8928571428571423
2.0,3.0,3.0,8.0,7.000000000000001,7.000000000000001,5.5,
1.0,2.0,4.0,2.0,,4.0,1.0,
1.0,2.0,4.0,3.0,9.25,2.4999999999999996,3.25,10.0
1.0,1.0,4.0,5.5,9.25,2.4999999999999996,3.25,9.678571428571427
1.0,1.0,4.0,5.5,7.75,1.0,,
2.0,2.0,4.0,,10.0,4.0,,9.678571428571427
1.0,1.0,4.0,,9.25,4.0,5.5,6.785714285714285
2.0,3.0,4.0,5.0,10.0,1.0,1.0,8.071428571428573
2.0,3.0,4.0,4.0,10.0,1.0,7.75,
2.0,1.0,4.0,4.0,9.25,4.0,3.25,10.0
1.0,2.0,4.0,4.0,,8.5,7.75,2.928571428571429
2.0,3.0,4.0,5.5,9.25,1.0,1.0,7.428571428571428
2.0,2.0,4.0,5.5,9.25,5.5,7.75,6.464285714285715
1.0,2.0,4.0,4.5,9.25,2.4999999999999996,1.0,10.0
2.0,1.0,4.0,4.5,7.000000000000001,8.5,1.0,10.0
2.0,2.0,4.0,2.5,9.25,5.5,3.25,7.75
1.0,3.0,4.0,7.5,9.25,4.0,7.75,8.714285714285715
2.0,4.0,4.0,7.5,7.75,8.5,7.75,6.142857142857142
2.0,2.0,4.0,7.5,10.0,1.0,5.5,10.0
1.0,2.0,4.0,7.5,8.5,5.5,3.25,10.0
2.0,2.0,4.0,1.5,9.25,1.0,3.25,7.107142857142858
2.0,3.0,4.0,3.5,10.0,1.0,1.0,10.0
2.0,3.0,4.0,,7.000000000000001,7.000000000000001,1.0,7.428571428571428
1.0,3.0,4.0,5.5,9.25,4.0,5.5,10.0
2.0,2.0,4.0,,,8.5,,
1.0,1.0,2.0,7.5,10.0,2.4999999999999996,5.5,10.0
2.0,2.0,2.0,7.5,7.75,4.0,5.5,6.785714285714285
2.0,1.0,2.0,7.5,,7.000000000000001,5.5,10.0
2.0,2.0,2.0,,6.249999999999999,4.0,1.0,
2.0,1.0,2.0,,,8.5,1.0,6.142857142857142
1.0,3.0,2.0,,,8.5,1.0,
2.0,2.0,2.0,2.0,8.5,2.4999999999999996,1.0,10.0
2.0,2.0,2.0,2.0,9.25,4.0,1.0,8.714285714285715
1.0,2.0,2.0,2.0,9.25,4.0,1.0,10.0
2.0,2.0,2.0,2.5,7.75,1.0,3.25,10.0
1.0,4.0,2.0,2.0,7.75,2.4999999999999996,7.75,4.2142857142857135
1.0,4.0,2.0,3.5,9.25,1.0,7.75,6.785714285714285
2.0,4.0,2.0,2.5,9.25,2.4999999999999996,1.0,6.464285714285715
1.0,2.0,2.0,1.5,7.75,4.0,3.25,4.5357142857142865
1.0,2.0,2.0,2.5,7.000000000000001,4.0,1.0,10.0
1.0,4.0,2.0,,,10.0,,
1.0,1.0,2.0,2.0,7.75,4.0,1.0,9.678571428571427
2.0,1.0,2.0,,2.4999999999999996,7.000000000000001,,
2.0,1.0,2.0,5.5,9.25,4.0,5.5,10.0
2.0,3.0,2.0,7.5,10.0,1.0,5.5,8.714285714285715
2.0,1.0,2.0,7.0,8.5,4.0,3.25,10.0
1.0,2.0,2.0,2.5,7.75,1.0,3.25,5.821428571428572
2.0,3.0,2.0,2.0,9.25,1.0,3.25,5.821428571428572
1.0,3.0,2.0,4.0,8.5,1.0,1.0,7.75
1.0,2.0,4.0,4.0,8.5,2.4999999999999996,5.5,7.428571428571428
1.0,2.0,4.0,6.0,9.25,1.0,5.5,4.857142857142858
1.0,1.0,4.0,7.5,10.0,1.0,3.25,7.75
1.0,1.0,4.0,4.0,10.0,1.0,5.5,7.428571428571428
1.0,1.0,4.0,5.5,9.25,1.0,3.25,7.428571428571428
1.0,1.0,4.0,7.5,7.000000000000001,2.4999999999999996,3.25,6.785714285714285
1.0,2.0,4.0,7.5,10.0,1.0,5.5,5.5
1.0,2.0,4.0,6.5,,,5.5,
1.0,2.0,4.0,7.5,10.0,1.0,5.5,6.142857142857142
1.0,2.0,4.0,7.5,9.25,4.0,5.5,4.2142857142857135
2.0,2.0,4.0,7.0,8.5,8.5,5.5,4.857142857142858
2.0,1.0,4.0,7.5,10.0,4.0,5.5,6.142857142857142
1.0,4.0,4.0,4.0,7.75,5.5,3.25,5.178571428571429
2.0,4.0,4.0,4.5,9.25,2.4999999999999996,3.25,
1.0,3.0,4.0,3.0,9.25,1.0,3.25,6.785714285714285
2.0,4.0,4.0,1.5,9.25,2.4999999999999996,3.25,6.142857142857142
1.0,2.0,4.0,2.5,9.25,1.0,3.25,6.785714285714285
1.0,3.0,4.0,1.0,,8.5,3.25,8.392857142857142
2.0,2.0,4.0,2.0,7.75,5.5,5.5,6.785714285714285
2.0,3.0,4.0,1.0,10.0,1.0,3.25,8.714285714285715
1.0,4.0,4.0,1.5,10.0,1.0,3.25,6.785714285714285
2.0,5.0,4.0,1.5,10.0,2.4999999999999996,3.25,6.785714285714285
1.0,3.0,4.0,4.5,9.25,2.4999999999999996,3.25,6.785714285714285
2.0,3.0,4.0,4.0,9.25,1.0,3.25,6.785714285714285
2.0,1.0,3.0,3.5,9.25,8.5,5.5,
1.0,3.0,3.0,7.5,,4.0,7.75,3.571428571428571
1.0,2.0,3.0,8.0,,4.0,5.5,
1.0,5.0,3.0,8.0,8.5,4.0,5.5,7.75
2.0,1.0,3.0,1.5,10.0,1.0,3.25,6.785714285714285
1.0,1.0,3.0,7.0,,5.5,7.75,2.285714285714286
2.0,1.0,3.0,4.5,6.249999999999999,4.0,5.5,4.5357142857142865
1.0,1.0,3.0,8.0,7.75,1.0,7.75,
1.0,3.0,3.0,8.0,1.0,8.5,5.5,3.8928571428571423
1.0,3.0,3.0,6.5,,4.0,3.25,3.571428571428571
2.0,2.0,3.0,1.5,7.000000000000001,1.0,3.25,6.464285714285715
1.0,4.0,3.0,5.5,9.25,8.5,5.5,5.5
2.0,1.0,3.0,5.5,6.249999999999999,4.0,5.5,2.6071428571428577
1.0,2.0,3.0,,,8.5,7.75,
2.0,2.0,3.0,5.5,5.5,1.0,7.75,4.857142857142858
1.0,3.0,3.0,5.5,,7.000000000000001,5.5,1.6428571428571426
2.0,2.0,3.0,6.5,7.000000000000001,1.0,1.0,
2.0,1.0,3.0,4.0,9.25,1.0,1.0,3.571428571428571
2.0,3.0,3.0,6.0,4.75,4.0,7.75,6.142857142857142
1.0,3.0,3.0,7.0,,7.000000000000001,5.5,1.0
1.0,2.0,3.0,3.0,7.000000000000001,1.0,5.5,6.464285714285715
2.0,1.0,3.0,,,7.000000000000001,5.5,2.6071428571428577
2.0,1.0,3.0,5.5,10.0,4.0,5.5,3.571428571428571
2.0,3.0,3.0,8.0,,1.0,5.5,6.464285714285715
1.0,3.0,1.0,4.5,6.249999999999999,5.5,5.5,5.178571428571429
2.0,3.0,1.0,3.5,,7.000000000000001,5.5,6.142857142857142
2.0,2.0,1.0,4.5,4.75,5.5,3.25,5.821428571428572
2.0,3.0,1.0,4.0,4.75,8.5,3.25,5.5
2.0,3.0,1.0,4.0,4.75,7.000000000000001,3.25,5.178571428571429
2.0,4.0,1.0,,,5.5,,1.964285714285714
1.0,4.0,1.0,8.0,8.5,7.000000000000001,5.5,4.2142857142857135
2.0,1.0,1.0,,10.0,4.0,,7.107142857142858
2.0,2.0,1.0,,9.25,4.0,5.5,6.785714285714285
1.0,2.0,1.0,5.5,7.000000000000001,4.0,5.5,5.178571428571429
1.0,3.0,1.0,8.0,,8.5,5.5,2.6071428571428577
2.0,1.0,1.0,3.5,,2.4999999999999996,,5.178571428571429
1.0,3.0,1.0,4.5,6.249999999999999,5.5,3.25,
2.0,3.0,1.0,4.5,,7.000000000000001,5.5,4.857142857142858
2.0,3.0,1.0,,4.75,4.0,3.25,
1.0,4.0,1.0,4.0,4.75,,5.5,5.821428571428572
1.0,4.0,1.0,4.5,5.5,2.4999999999999996,,6.785714285714285
2.0,5.0,1.0,5.5,,7.000000000000001,7.75,2.6071428571428577
2.0,4.0,1.0,8.0,7.75,1.0,7.75,10.0
2.0,4.0,1.0,4.5,3.25,4.0,10.0,5.821428571428572
1.0,4.0,1.0,,7.75,2.4999999999999996,5.5,5.5
1.0,3.0,1.0,6.5,,7.000000000000001,5.5,3.571428571428571
2.0,3.0,1.0,5.0,9.25,4.0,3.25,6.142857142857142
1.0,3.0,1.0,7.5,,7.000000000000001,5.5,1.964285714285714
2.0,3.0,1.0,5.0,9.25,4.0,,4.5357142857142865
1.0,4.0,1.0,,9.25,5.5,5.5,5.5
2.0,4.0,1.0,,8.5,1.0,7.75,6.142857142857142
2.0,4.0,1.0,7.0,9.25,1.0,1.0,4.857142857142858
1.0,4.0,1.0,7.0,7.000000000000001,1.0,5.5,8.071428571428573
2.0,3.0,1.0,7.5,10.0,1.0,1.0,6.142857142857142
2.0,1.0,1.0,3.0,10.0,4.0,1.0,
1.0,5.0,1.0,8.0,,8.5,5.5,2.928571428571429
1.0,4.0,1.0,6.5,3.25,5.5,5.5,4.5357142857142865
2.0,4.0,1.0,5.5,4.75,5.5,5.5,7.107142857142858
2.0,4.0,1.0,8.0,4.75,5.5,5.5,4.5357142857142865
1.0,4.0,1.0,7.5,,5.5,5.5,1.3214285714285712
1.0,4.0,1.0,5.5,,7.000000000000001,10.0,3.25
1.0,3.0,1.0,,,5.5,,
1.0,3.0,1.0,3.0,9.25,2.4999999999999996,10.0,5.821428571428572
1.0,3.0,1.0,6.0,,8.5,10.0,1.0
2.0,4.0,1.0,7.0,8.5,1.0,5.5,5.5
1.0,99.0,1.0,5.0,,,10.0,1.6428571428571426
1.0,3.0,1.0,8.0,,8.5,5.5,7.75
2.0,3.0,1.0,7.5,9.25,2.4999999999999996,,5.178571428571429
2.0,5.0,1.0,8.0,,7.000000000000001,3.25,3.571428571428571
1.0,3.0,1.0,8.0,3.25,7.000000000000001,5.5,4.2142857142857135
1.0,2.0,1.0,7.5,4.75,4.0,5.5,6.464285714285715
2.0,2.0,1.0,7.5,,5.5,5.5,1.964285714285714
1.0,4.0,1.0,8.0,2.4999999999999996,4.0,5.5,4.2142857142857135
2.0,3.0,1.0,6.0,8.5,1.0,5.5,7.428571428571428
2.0,3.0,1.0,8.0,7.000000000000001,7.000000000000001,5.5,5.821428571428572
2.0,3.0,1.0,3.5,8.5,4.0,5.5,7.75
1.0,1.0,1.0,6.0,6.249999999999999,2.4999999999999996,5.5,8.071428571428573
1.0,3.0,1.0,6.0,9.25,1.0,3.25,8.071428571428573
1.0,3.0,1.0,5.5,6.249999999999999,5.5,5.5,6.785714285714285
2.0,1.0,1.0,7.0,,2.4999999999999996,5.5,8.714285714285715
2.0,5.0,1.0,8.0,,4.0,5.5,4.2142857142857135
2.0,4.0,1.0,6.0,9.25,4.0,5.5,10.0
1.0,2.0,1.0,7.0,8.5,4.0,5.5,8.071428571428573
1.0,4.0,1.0,7.5,6.249999999999999,4.0,5.5,7.428571428571428
2.0,1.0,1.0,6.0,9.25,4.0,5.5,8.714285714285715
1.0,5.0,1.0,8.0,4.75,8.5,5.5,6.785714285714285
2.0,4.0,1.0,8.0,8.5,2.4999999999999996,5.5,7.107142857142858
2.0,3.0,1.0,7.5,7.75,4.0,3.25,7.428571428571428
1.0,3.0,1.0,4.0,,8.5,3.25,
2.0,3.0,1.0,7.5,6.249999999999999,4.0,3.25,3.25
1.0,3.0,1.0,4.0,1.0,4.0,5.5,3.571428571428571
1.0,3.0,1.0,6.5,,4.0,5.5,1.964285714285714
2.0,5.0,1.0,7.5,6.249999999999999,4.0,3.25,7.428571428571428
1.0,2.0,1.0,8.0,1.7500000000000004,4.0,5.5,5.178571428571429
2.0,3.0,1.0,8.0,5.5,5.5,5.5,4.2142857142857135
2.0,1.0,1.0,6.5,,4.0,5.5,
1.0,5.0,1.0,2.0,7.75,4.0,7.75,6.785714285714285
1.0,4.0,1.0,2.0,5.5,2.4999999999999996,5.5,10.0
1.0,3.0,1.0,1.5,8.5,1.0,1.0,10.0
2.0,5.0,1.0,8.0,,7.000000000000001,3.25,1.6428571428571426
2.0,5.0,1.0,6.5,,8.5,3.25,7.428571428571428
1.0,5.0,1.0,7.5,,8.5,3.25,1.0
2.0,4.0,1.0,5.5,2.4999999999999996,4.0,3.25,1.6428571428571426
2.0,4.0,1.0,8.0,7.000000000000001,1.0,5.5,3.571428571428571
1.0,3.0,1.0,7.5,5.5,4.0,3.25,6.142857142857142
1.0,5.0,1.0,8.0,6.249999999999999,4.0,5.5,10.0
2.0,1.0,1.0,8.0,7.000000000000001,4.0,5.5,7.428571428571428
2.0,4.0,1.0,8.0,9.25,4.0,5.5,7.428571428571428
1.0,5.0,1.0,8.0,7.75,4.0,5.5,7.428571428571428
1.0,3.0,1.0,7.5,7.75,1.0,5.5,7.75
2.0,5.0,1.0,8.0,7.75,4.0,5.5,2.285714285714286
1.0,5.0,1.0,7.0,,8.5,10.0,1.6428571428571426
2.0,5.0,1.0,8.0,6.249999999999999,8.5,5.5,8.071428571428573
1.0,2.0,1.0,8.0,8.5,7.000000000000001,7.75,10.0
1.0,4.0,1.0,8.0,6.249999999999999,4.0,7.75,7.428571428571428
2.0,5.0,1.0,6.5,7.75,2.4999999999999996,10.0,8.071428571428573
2.0,5.0,1.0,7.0,6.249999999999999,5.5,5.5,8.071428571428573
1.0,4.0,1.0,8.0,4.0,5.5,5.5,7.428571428571428
2.0,4.0,1.0,7.0,6.249999999999999,4.0,5.5,4.2142857142857135
1.0,5.0,1.0,8.0,7.000000000000001,2.4999999999999996,5.5,3.571428571428571
1.0,3.0,2.0,,8.5,7.000000000000001,,
2.0,4.0,2.0,6.5,8.5,7.000000000000001,5.5,5.178571428571429
1.0,5.0,2.0,7.0,,8.5,5.5,6.785714285714285
2.0,3.0,2.0,4.0,7.000000000000001,2.4999999999999996,3.25,8.071428571428573
1.0,4.0,2.0,,9.25,5.5,5.5,4.857142857142858
1.0,4.0,2.0,6.0,4.75,5.5,,7.107142857142858
1.0,3.0,2.0,7.0,8.5,2.4999999999999996,,7.428571428571428
2.0,4.0,2.0,6.0,1.0,7.000000000000001,3.25,4.857142857142858
2.0,4.0,2.0,,8.5,4.0,5.5,6.142857142857142
2.0,3.0,2.0,7.5,9.25,1.0,7.75,
1.0,4.0,2.0,,5.5,8.5,10.0,4.2142857142857135
2.0,4.0,2.0,6.0,9.25,1.0,5.5,
2.0,4.0,2.0,,9.25,2.4999999999999996,5.5,
1.0,4.0,2.0,,5.5,7.000000000000001,10.0,
2.0,4.0,2.0,7.5,9.25,1.0,,5.5
1.0,4.0,2.0,2.0,10.0,4.0,5.5,10.0
1.0,3.0,2.0,,7.75,5.5,7.75,
2.0,4.0,2.0,8.0,8.5,4.0,,9.035714285714285
1.0,5.0,2.0,7.5,,8.5,5.5,1.964285714285714
2.0,2.0,2.0,5.0,10.0,1.0,3.25,7.428571428571428
1.0,5.0,2.0,7.0,,7.000000000000001,5.5,
1.0,99.0,2.0,,4.75,2.4999999999999996,,8.071428571428573
2.0,3.0,2.0,4.5,6.249999999999999,1.0,5.5,10.0
2.0,4.0,2.0,6.0,,8.5,1.0,1.3214285714285712
1.0,3.0,3.0,,5.5,1.0,5.5,6.464285714285715
2.0,1.0,3.0,6.0,5.5,,5.5,4.857142857142858
2.0,3.0,3.0,8.0,1.7500000000000004,7.000000000000001,5.5,4.2142857142857135
2.0,3.0,3.0,4.5,10.0,1.0,3.25,6.142857142857142
2.0,3.0,3.0,3.5,9.25,4.0,3.25,7.107142857142858
1.0,5.0,3.0,8.0,,8.5,3.25,1.6428571428571426
2.0,3.0,3.0,7.5,9.25,1.0,5.5,4.2142857142857135
1.0,3.0,3.0,7.5,10.0,7.000000000000001,5.5,10.0
2.0,3.0,3.0,8.0,9.25,5.5,5.5,
2.0,4.0,3.0,7.5,10.0,2.4999999999999996,5.5,5.821428571428572
1.0,4.0,3.0,7.5,9.25,1.0,5.5,
1.0,3.0,3.0,7.5,5.5,4.0,5.5,3.571428571428571
1.0,4.0,3.0,8.0,10.0,1.0,7.75,
2.0,3.0,3.0,6.0,9.25,2.4999999999999996,5.5,10.0
2.0,3.0,3.0,9.0,10.0,1.0,5.5,7.428571428571428
1.0,4.0,3.0,8.0,,8.5,3.25,2.285714285714286
2.0,3.0,3.0,7.5,8.5,1.0,3.25,6.142857142857142
1.0,3.0,3.0,8.0,1.0,7.000000000000001,5.5,2.6071428571428577
2.0,4.0,3.0,8.0,10.0,4.0,5.5,7.75
1.0,1.0,3.0,4.5,7.000000000000001,4.0,5.5,6.142857142857142
1.0,3.0,3.0,8.0,10.0,4.0,5.5,9.357142857142858
1.0,3.0,3.0,7.0,8.5,4.0,5.5,8.714285714285715
2.0,4.0,3.0,8.0,8.5,1.0,5.5,7.428571428571428
2.0,1.0,3.0,8.0,,5.5,5.5,4.2142857142857135
2.0,2.0,1.0,5.5,10.0,1.0,5.5,8.071428571428573
1.0,4.0,1.0,8.0,,8.5,5.5,7.428571428571428
2.0,3.0,1.0,7.0,7.75,5.5,5.5,8.714285714285715
2.0,4.0,1.0,7.5,8.5,2.4999999999999996,3.25,7.428571428571428
2.0,1.0,1.0,7.5,7.75,1.0,3.25,7.75
1.0,4.0,1.0,4.0,7.000000000000001,4.0,3.25,7.428571428571428
1.0,3.0,1.0,8.0,6.249999999999999,8.5,5.5,7.428571428571428
1.0,2.0,1.0,7.5,,,5.5,7.75
1.0,3.0,1.0,5.5,8.5,4.0,5.5,6.142857142857142
2.0,3.0,1.0,8.0,10.0,1.0,5.5,9.035714285714285
1.0,4.0,1.0,4.5,7.000000000000001,4.0,5.5,6.142857142857142
2.0,3.0,1.0,6.5,9.25,1.0,5.5,
1.0,3.0,1.0,3.5,7.000000000000001,1.0,5.5,7.428571428571428
2.0,4.0,1.0,8.0,3.25,1.0,5.5,6.142857142857142
2.0,3.0,1.0,5.5,8.5,1.0,7.75,9.357142857142858
1.0,5.0,1.0,8.0,,7.000000000000001,5.5,
1.0,3.0,1.0,8.0,,4.0,3.25,6.785714285714285
1.0,5.0,1.0,8.0,4.0,7.000000000000001,1.0,10.0
2.0,3.0,1.0,5.0,9.25,4.0,7.75,
1.0,1.0,1.0,5.0,8.5,4.0,1.0,6.785714285714285
1.0,3.0,1.0,2.0,8.5,5.5,1.0,
1.0,4.0,1.0,2.0,,4.0,1.0,1.0
1.0,5.0,1.0,2.0,9.25,4.0,1.0,7.428571428571428
2.0,5.0,1.0,2.0,7.75,4.0,1.0,9.678571428571427
2.0,3.0,4.0,2.0,10.0,4.0,1.0,7.75
2.0,3.0,4.0,2.0,9.25,2.4999999999999996,3.25,7.75
2.0,3.0,4.0,,9.25,1.0,,6.785714285714285
2.0,2.0,4.0,3.5,10.0,1.0,7.75,7.428571428571428
2.0,1.0,4.0,2.0,10.0,1.0,1.0,8.071428571428573
1.0,4.0,4.0,6.0,9.25,1.0,5.5,10.0
2.0,2.0,4.0,8.0,,7.000000000000001,5.5,6.142857142857142
2.0,99.0,4.0,3.5,10.0,1.0,7.75,7.428571428571428
