sexo,escol,Tam_loc,agg_media_trust_and_quality_evaluation,agg_perceived_media_social_impact
2.0,4.0,1.0,3.9250000000000003,2.3125
1.0,3.0,1.0,3.475,1.75
2.0,3.0,1.0,1.675,3.25
1.0,4.0,1.0,1.9,1.375
1.0,4.0,1.0,2.125,2.125
1.0,4.0,3.0,2.35,1.5625
2.0,2.0,1.0,3.025,1.5625
2.0,5.0,1.0,3.6999999999999997,2.125
2.0,5.0,1.0,3.25,1.5625
2.0,2.0,3.0,1.9,1.75
1.0,3.0,2.0,2.575,1.375
1.0,4.0,1.0,1.9,2.125
1.0,3.0,2.0,2.125,1.9375
1.0,4.0,1.0,3.9250000000000003,1.1875
2.0,2.0,1.0,4.6,2.5
1.0,3.0,1.0,2.125,1.9375
1.0,3.0,1.0,2.8,1.75
2.0,4.0,1.0,3.25,1.1875
2.0,5.0,1.0,2.125,1.5625
1.0,3.0,1.0,3.025,2.3125
2.0,3.0,4.0,2.8,2.125
2.0,4.0,1.0,1.9,1.9375
1.0,5.0,2.0,2.8,1.1875
2.0,3.0,1.0,2.35,1.5625
1.0,4.0,1.0,3.25,2.3125
1.0,5.0,1.0,3.25,2.3125
2.0,3.0,1.0,1.9,3.8125
2.0,3.0,4.0,2.35,1.75
2.0,3.0,4.0,2.575,1.9375
1.0,4.0,3.0,2.575,1.1875
2.0,5.0,4.0,3.9250000000000003,2.6875
1.0,3.0,3.0,2.575,1.75
2.0,4.0,2.0,2.8,2.125
2.0,4.0,2.0,2.125,1.5625
2.0,4.0,1.0,2.125,1.375
1.0,3.0,3.0,2.35,3.25
1.0,4.0,2.0,2.35,1.9375
2.0,3.0,2.0,3.025,1.1875
2.0,4.0,4.0,2.35,1.9375
1.0,2.0,3.0,1.675,1.9375
1.0,5.0,1.0,4.375,2.125
2.0,5.0,1.0,2.35,1.9375
1.0,3.0,1.0,1.675,3.8125
1.0,3.0,1.0,2.125,1.9375
1.0,3.0,1.0,3.025,3.625
2.0,4.0,1.0,2.35,1.9375
2.0,3.0,1.0,2.8,1.1875
2.0,5.0,1.0,3.6999999999999997,1.75
2.0,3.0,3.0,2.575,2.125
1.0,3.0,2.0,2.8,4.375
2.0,4.0,1.0,3.25,1.1875
1.0,4.0,2.0,2.575,1.375
2.0,2.0,1.0,4.15,3.625
2.0,3.0,1.0,2.8,2.125
2.0,2.0,1.0,3.25,2.125
2.0,3.0,1.0,3.25,1.375
2.0,3.0,1.0,2.8,2.125
1.0,4.0,3.0,2.575,1.75
1.0,2.0,1.0,2.35,1.5625
2.0,3.0,3.0,1.9,2.125
1.0,1.0,2.0,2.125,1.5625
2.0,5.0,1.0,3.6999999999999997,2.3125
2.0,4.0,1.0,2.575,1.9375
2.0,3.0,1.0,1.9,1.375
1.0,5.0,1.0,3.25,1.5625
1.0,4.0,2.0,2.125,1.5625
2.0,1.0,2.0,1.675,1.0
2.0,1.0,1.0,1.675,1.9375
2.0,4.0,1.0,2.125,2.3125
1.0,5.0,1.0,3.9250000000000003,2.125
1.0,4.0,2.0,3.025,2.125
1.0,3.0,1.0,2.575,2.3125
2.0,4.0,4.0,2.575,2.5
2.0,5.0,1.0,3.25,1.75
1.0,5.0,1.0,2.8,4.1875
2.0,5.0,1.0,2.575,2.125
1.0,5.0,1.0,1.45,1.9375
2.0,5.0,3.0,2.575,2.125
1.0,5.0,1.0,2.125,1.9375
1.0,3.0,1.0,3.025,2.125
2.0,3.0,2.0,3.6999999999999997,2.125
1.0,3.0,2.0,3.6999999999999997,2.125
2.0,1.0,1.0,4.825,3.0625
2.0,3.0,1.0,4.15,2.3125
2.0,4.0,1.0,2.8,3.0625
1.0,4.0,1.0,3.6999999999999997,2.875
2.0,2.0,4.0,3.9250000000000003,1.375
1.0,4.0,3.0,2.35,1.375
1.0,4.0,4.0,2.575,1.375
1.0,3.0,3.0,2.8,1.9375
2.0,2.0,2.0,2.575,1.75
1.0,2.0,3.0,2.575,1.75
1.0,2.0,1.0,2.125,1.75
2.0,4.0,3.0,5.5,5.6875
1.0,5.0,3.0,3.475,1.75
1.0,4.0,3.0,2.35,1.75
1.0,4.0,3.0,2.8,2.5
2.0,4.0,1.0,3.025,1.375
1.0,1.0,1.0,2.8,1.375
2.0,3.0,3.0,3.025,3.4375
1.0,3.0,1.0,2.35,1.75
2.0,1.0,2.0,3.25,1.9375
2.0,4.0,3.0,2.125,1.375
2.0,3.0,2.0,1.9,1.0
1.0,3.0,1.0,2.35,1.1875
2.0,4.0,3.0,5.7250000000000005,4.9375
2.0,5.0,2.0,3.025,2.875
1.0,3.0,1.0,3.025,2.125
2.0,4.0,1.0,5.7250000000000005,2.125
2.0,4.0,2.0,3.9250000000000003,3.4375
2.0,4.0,1.0,4.15,2.5
1.0,3.0,2.0,1.675,1.9375
2.0,3.0,2.0,3.9250000000000003,1.375
1.0,4.0,3.0,2.125,1.5625
1.0,2.0,1.0,2.8,2.125
1.0,2.0,2.0,3.475,1.5625
1.0,5.0,4.0,3.6999999999999997,2.875
1.0,3.0,3.0,2.35,2.125
1.0,3.0,1.0,3.025,2.125
1.0,3.0,2.0,2.575,1.375
2.0,3.0,2.0,2.35,1.75
1.0,2.0,1.0,2.125,1.9375
1.0,3.0,4.0,3.025,2.3125
1.0,3.0,3.0,3.25,3.0625
2.0,5.0,3.0,4.375,3.0625
1.0,3.0,1.0,3.6999999999999997,2.3125
1.0,4.0,1.0,2.35,1.1875
2.0,3.0,2.0,2.35,2.125
2.0,5.0,4.0,5.7250000000000005,1.5625
1.0,4.0,3.0,4.375,2.125
2.0,4.0,1.0,2.575,1.75
1.0,4.0,2.0,1.9,1.9375
1.0,2.0,4.0,3.025,1.9375
2.0,3.0,4.0,4.375,3.0625
2.0,3.0,1.0,3.6999999999999997,2.125
1.0,4.0,1.0,5.5,3.0625
1.0,4.0,3.0,2.125,1.5625
2.0,2.0,3.0,5.2749999999999995,3.8125
1.0,3.0,1.0,4.6,2.5
1.0,1.0,2.0,2.575,1.1875
1.0,2.0,2.0,2.8,1.9375
2.0,3.0,1.0,2.8,1.375
1.0,4.0,4.0,5.2749999999999995,3.625
1.0,4.0,3.0,1.2249999999999999,1.375
1.0,4.0,1.0,2.575,3.0625
1.0,4.0,3.0,3.6999999999999997,2.3125
2.0,3.0,4.0,2.8,3.4375
2.0,5.0,3.0,1.9,1.375
2.0,3.0,3.0,2.8,2.6875
2.0,4.0,3.0,3.025,1.75
2.0,3.0,2.0,1.9,1.75
2.0,5.0,1.0,3.025,1.9375
2.0,3.0,4.0,3.25,2.125
1.0,4.0,4.0,2.125,3.0625
2.0,3.0,4.0,4.15,1.9375
1.0,4.0,1.0,2.35,2.125
1.0,5.0,4.0,3.475,3.4375
2.0,4.0,3.0,3.25,2.6875
1.0,3.0,1.0,3.025,1.75
1.0,4.0,2.0,2.575,2.6875
1.0,3.0,4.0,2.575,1.375
1.0,4.0,4.0,3.025,2.875
2.0,3.0,1.0,2.575,1.5625
2.0,3.0,2.0,3.025,2.125
2.0,4.0,1.0,2.575,1.75
1.0,5.0,1.0,3.025,1.1875
1.0,2.0,4.0,3.9250000000000003,1.5625
1.0,3.0,4.0,2.35,1.75
2.0,4.0,2.0,2.35,1.75
2.0,3.0,1.0,3.475,2.125
1.0,2.0,3.0,2.35,1.5625
2.0,2.0,1.0,2.35,1.9375
2.0,3.0,4.0,3.475,1.9375
2.0,1.0,1.0,3.475,2.125
2.0,5.0,2.0,3.25,3.4375
1.0,2.0,4.0,3.25,1.9375
1.0,5.0,1.0,4.375,2.6875
1.0,5.0,1.0,3.6999999999999997,3.25
1.0,3.0,1.0,2.575,2.3125
2.0,2.0,1.0,3.6999999999999997,1.9375
2.0,4.0,1.0,2.35,1.375
2.0,2.0,1.0,2.575,2.3125
2.0,2.0,3.0,5.95,2.3125
2.0,2.0,1.0,3.9250000000000003,2.125
2.0,2.0,1.0,2.35,1.375
2.0,4.0,3.0,1.2249999999999999,1.375
1.0,2.0,4.0,2.125,4.5625
1.0,2.0,2.0,3.025,1.75
2.0,1.0,1.0,2.575,3.0625
2.0,3.0,4.0,2.575,1.75
1.0,4.0,2.0,1.9,1.375
1.0,1.0,1.0,3.25,1.375
2.0,1.0,1.0,3.025,2.3125
2.0,1.0,1.0,2.575,1.75
2.0,2.0,4.0,3.25,4.1875
2.0,1.0,4.0,2.8,1.75
1.0,3.0,4.0,1.9,1.1875
2.0,1.0,1.0,3.25,2.125
2.0,3.0,1.0,2.8,2.125
2.0,3.0,1.0,3.475,2.3125
2.0,2.0,3.0,2.8,2.125
2.0,2.0,4.0,2.8,1.75
1.0,1.0,3.0,3.9250000000000003,2.125
2.0,1.0,1.0,2.575,1.5625
2.0,1.0,3.0,2.35,1.5625
2.0,3.0,3.0,2.125,1.375
1.0,4.0,3.0,4.375,2.125
2.0,3.0,1.0,1.9,1.375
2.0,2.0,2.0,2.575,1.75
1.0,3.0,3.0,1.45,1.9375
2.0,2.0,1.0,2.125,1.5625
1.0,5.0,2.0,2.8,1.1875
1.0,2.0,4.0,3.25,1.75
2.0,3.0,1.0,4.375,1.9375
1.0,2.0,2.0,3.9250000000000003,2.3125
2.0,1.0,4.0,5.95,2.875
1.0,5.0,3.0,2.8,1.375
2.0,1.0,4.0,3.25,3.25
1.0,2.0,3.0,2.575,1.5625
2.0,1.0,1.0,3.9250000000000003,1.75
1.0,3.0,3.0,2.8,1.9375
2.0,3.0,1.0,3.25,1.9375
2.0,3.0,2.0,2.125,1.5625
1.0,2.0,1.0,4.375,3.25
1.0,3.0,1.0,8.875,6.4375
2.0,2.0,2.0,3.25,1.5625
2.0,4.0,1.0,2.35,1.9375
1.0,1.0,3.0,1.9,1.75
1.0,3.0,2.0,1.675,2.875
1.0,3.0,2.0,3.6999999999999997,2.3125
2.0,2.0,2.0,2.575,1.75
2.0,4.0,2.0,2.35,2.125
2.0,4.0,3.0,1.675,1.5625
2.0,2.0,3.0,2.8,1.9375
1.0,4.0,3.0,4.15,3.25
2.0,3.0,3.0,2.575,1.75
1.0,3.0,3.0,1.9,1.9375
2.0,3.0,3.0,2.35,1.375
1.0,3.0,3.0,2.35,1.5625
2.0,4.0,1.0,4.15,1.375
2.0,4.0,1.0,3.9250000000000003,2.125
2.0,4.0,4.0,3.025,2.5
1.0,3.0,4.0,4.6,5.6875
2.0,3.0,4.0,3.9250000000000003,3.0625
2.0,4.0,4.0,2.575,1.5625
2.0,3.0,1.0,5.5,2.3125
2.0,4.0,4.0,4.375,3.0625
1.0,1.0,4.0,2.575,1.375
2.0,4.0,4.0,4.15,1.9375
1.0,3.0,4.0,6.3999999999999995,4.1875
1.0,3.0,1.0,5.7250000000000005,4.375
1.0,4.0,1.0,3.475,2.6875
2.0,4.0,1.0,3.9250000000000003,2.6875
2.0,3.0,4.0,3.475,4.9375
2.0,3.0,4.0,2.575,1.75
1.0,3.0,1.0,2.8,2.125
1.0,4.0,1.0,2.35,2.125
1.0,2.0,1.0,2.35,1.375
1.0,4.0,1.0,2.8,1.75
2.0,4.0,1.0,2.8,2.5
1.0,4.0,1.0,5.2749999999999995,3.0625
2.0,3.0,1.0,2.35,1.5625
2.0,2.0,1.0,3.6999999999999997,6.625
2.0,4.0,1.0,2.8,2.6875
2.0,4.0,3.0,2.35,1.75
2.0,4.0,2.0,9.775,9.4375
1.0,1.0,2.0,2.575,2.875
2.0,2.0,2.0,2.8,2.3125
1.0,3.0,2.0,4.825,2.5
2.0,3.0,2.0,2.8,4.5625
2.0,2.0,1.0,2.35,2.5
2.0,4.0,1.0,2.35,2.125
1.0,4.0,3.0,2.8,1.5625
1.0,2.0,1.0,2.35,3.4375
1.0,1.0,1.0,3.25,1.375
1.0,3.0,1.0,1.9,3.0625
2.0,2.0,1.0,5.5,3.0625
2.0,3.0,1.0,2.125,3.0625
2.0,3.0,1.0,2.125,3.0625
2.0,2.0,1.0,3.6999999999999997,3.625
2.0,3.0,1.0,3.6999999999999997,1.75
1.0,4.0,4.0,7.075,3.0625
2.0,4.0,4.0,6.3999999999999995,4.5625
2.0,3.0,4.0,5.95,4.5625
2.0,1.0,1.0,1.675,1.5625
1.0,2.0,1.0,3.6999999999999997,2.6875
2.0,2.0,2.0,2.575,3.0625
2.0,1.0,1.0,4.375,3.25
2.0,2.0,1.0,3.475,2.125
1.0,2.0,4.0,3.025,2.3125
2.0,2.0,1.0,1.9,2.125
2.0,3.0,2.0,2.35,1.5625
2.0,3.0,1.0,3.6999999999999997,2.3125
2.0,2.0,1.0,3.025,2.5
1.0,2.0,1.0,4.825,2.6875
2.0,3.0,1.0,4.375,2.875
2.0,3.0,4.0,7.3,3.4375
2.0,4.0,4.0,5.7250000000000005,5.3125
2.0,3.0,4.0,2.35,1.75
1.0,4.0,3.0,3.025,2.6875
2.0,4.0,3.0,3.6999999999999997,1.5625
2.0,1.0,3.0,2.35,1.375
2.0,3.0,3.0,2.575,1.375
1.0,3.0,3.0,4.15,2.875
1.0,3.0,4.0,6.3999999999999995,4.1875
2.0,2.0,4.0,5.05,4.1875
1.0,4.0,4.0,3.6999999999999997,3.8125
1.0,3.0,2.0,2.8,2.125
1.0,4.0,2.0,4.825,1.5625
2.0,3.0,2.0,2.8,1.75
1.0,4.0,2.0,2.575,2.125
1.0,4.0,2.0,2.575,2.125
2.0,4.0,2.0,5.2749999999999995,3.0625
1.0,2.0,2.0,3.475,3.0625
1.0,4.0,2.0,2.575,1.9375
1.0,5.0,2.0,2.575,1.9375
2.0,1.0,2.0,3.25,1.75
2.0,3.0,2.0,1.45,1.9375
1.0,4.0,2.0,2.35,1.9375
2.0,4.0,2.0,2.35,2.125
2.0,4.0,2.0,5.05,6.4375
1.0,4.0,2.0,1.675,1.5625
2.0,3.0,2.0,2.35,1.9375
2.0,3.0,2.0,2.35,2.125
1.0,4.0,2.0,2.575,2.125
1.0,3.0,2.0,2.575,2.125
2.0,2.0,4.0,5.2749999999999995,2.6875
2.0,3.0,4.0,4.6,4.0
1.0,3.0,2.0,2.35,1.9375
1.0,4.0,1.0,4.375,3.0625
1.0,1.0,1.0,6.625,2.6875
2.0,4.0,1.0,2.575,2.6875
1.0,2.0,1.0,2.35,1.9375
1.0,3.0,3.0,2.35,1.9375
2.0,2.0,3.0,8.875,3.4375
2.0,3.0,3.0,3.9250000000000003,3.8125
2.0,3.0,4.0,5.2749999999999995,4.9375
1.0,2.0,2.0,2.125,2.875
2.0,5.0,2.0,3.25,6.625
1.0,3.0,2.0,5.5,3.25
2.0,4.0,2.0,4.15,3.0625
2.0,3.0,2.0,2.8,1.375
2.0,3.0,2.0,2.125,2.5
1.0,4.0,2.0,1.9,1.75
1.0,4.0,3.0,3.9250000000000003,7.9375
2.0,3.0,3.0,3.25,2.875
1.0,3.0,3.0,2.35,1.75
1.0,4.0,3.0,2.575,1.375
2.0,2.0,3.0,3.6999999999999997,2.6875
1.0,4.0,3.0,4.825,4.0
1.0,2.0,4.0,2.35,1.375
2.0,1.0,1.0,3.6999999999999997,1.5625
1.0,3.0,2.0,8.425,6.625
1.0,3.0,4.0,3.25,1.1875
2.0,5.0,1.0,3.025,1.9375
1.0,3.0,4.0,3.6999999999999997,4.375
2.0,5.0,1.0,6.3999999999999995,7.1875
2.0,4.0,4.0,2.575,3.25
2.0,3.0,1.0,2.35,1.75
1.0,4.0,2.0,8.875,7.5625
2.0,4.0,2.0,5.7250000000000005,7.75
2.0,3.0,2.0,5.5,3.25
2.0,4.0,2.0,2.575,2.125
2.0,3.0,2.0,8.2,4.5625
2.0,5.0,1.0,2.35,2.5
1.0,4.0,1.0,2.125,2.125
2.0,3.0,1.0,2.575,1.75
2.0,4.0,1.0,2.8,2.3125
1.0,4.0,1.0,2.35,1.1875
2.0,4.0,1.0,8.425,7.0
2.0,4.0,2.0,2.8,2.5
1.0,4.0,4.0,3.025,1.375
1.0,3.0,4.0,3.025,1.75
2.0,3.0,4.0,3.025,4.0
1.0,2.0,2.0,3.6999999999999997,2.875
2.0,1.0,2.0,2.575,4.9375
2.0,2.0,2.0,2.575,1.75
2.0,3.0,4.0,2.575,3.25
1.0,4.0,4.0,2.125,1.9375
2.0,3.0,4.0,2.8,2.125
1.0,4.0,4.0,3.6999999999999997,3.0625
2.0,3.0,4.0,2.8,2.125
1.0,4.0,4.0,2.8,2.125
1.0,4.0,4.0,3.6999999999999997,5.3125
2.0,5.0,4.0,3.9250000000000003,1.75
1.0,3.0,4.0,2.575,1.75
2.0,3.0,1.0,4.15,2.6875
2.0,1.0,1.0,1.2249999999999999,2.125
2.0,2.0,1.0,3.025,1.9375
2.0,4.0,3.0,2.8,1.9375
2.0,2.0,3.0,2.8,1.75
2.0,3.0,3.0,2.8,1.75
1.0,4.0,4.0,3.025,2.125
1.0,4.0,2.0,3.25,2.3125
1.0,4.0,1.0,2.35,1.9375
1.0,2.0,1.0,2.8,6.0625
2.0,3.0,1.0,2.35,5.875
2.0,3.0,1.0,2.8,2.3125
2.0,3.0,1.0,2.8,1.75
1.0,4.0,1.0,2.575,1.75
2.0,4.0,1.0,2.35,1.9375
1.0,4.0,1.0,2.35,2.875
2.0,1.0,1.0,3.9250000000000003,1.9375
2.0,3.0,1.0,3.025,1.9375
1.0,5.0,3.0,2.125,1.75
2.0,3.0,3.0,3.025,1.75
1.0,3.0,3.0,2.35,1.75
2.0,4.0,3.0,2.8,1.75
2.0,3.0,1.0,4.375,6.25
2.0,4.0,4.0,3.025,2.125
2.0,2.0,4.0,3.475,1.9375
2.0,3.0,2.0,3.25,4.1875
2.0,2.0,1.0,2.575,1.75
2.0,3.0,1.0,1.9,1.5625
2.0,4.0,4.0,3.025,1.5625
2.0,4.0,1.0,2.8,1.5625
1.0,4.0,2.0,3.6999999999999997,3.0625
2.0,2.0,1.0,3.9250000000000003,3.25
2.0,2.0,1.0,2.575,3.0625
1.0,5.0,4.0,3.9250000000000003,2.125
1.0,3.0,4.0,4.825,1.75
1.0,2.0,4.0,2.8,1.9375
1.0,3.0,2.0,3.25,2.5
1.0,4.0,4.0,3.6999999999999997,2.5
1.0,4.0,1.0,2.8,2.125
2.0,3.0,1.0,2.35,1.75
1.0,5.0,1.0,4.15,4.375
2.0,3.0,4.0,5.05,5.3125
2.0,3.0,3.0,3.025,3.625
1.0,4.0,4.0,2.575,1.75
1.0,4.0,1.0,4.6,1.9375
1.0,4.0,2.0,2.125,1.9375
1.0,3.0,2.0,4.15,1.75
1.0,3.0,2.0,3.475,1.75
2.0,3.0,1.0,2.35,2.5
2.0,4.0,1.0,3.6999999999999997,2.5
2.0,3.0,3.0,1.675,2.6875
1.0,4.0,4.0,5.05,2.6875
1.0,4.0,1.0,1.675,1.75
1.0,4.0,3.0,2.35,1.5625
2.0,4.0,3.0,2.8,2.875
1.0,4.0,3.0,1.9,1.1875
2.0,3.0,3.0,3.475,1.5625
1.0,4.0,1.0,1.45,1.0
2.0,3.0,1.0,3.25,1.9375
2.0,3.0,4.0,2.35,2.125
2.0,4.0,3.0,1.9,1.375
2.0,2.0,2.0,2.35,1.9375
2.0,4.0,1.0,4.15,3.625
2.0,4.0,1.0,2.575,3.25
1.0,4.0,1.0,3.475,2.3125
1.0,5.0,1.0,3.025,2.125
1.0,4.0,3.0,2.125,2.5
1.0,4.0,4.0,2.125,2.5
2.0,4.0,3.0,2.35,2.3125
1.0,4.0,4.0,4.825,1.9375
2.0,4.0,4.0,3.25,3.25
2.0,4.0,3.0,2.125,3.0625
1.0,4.0,1.0,1.675,1.375
1.0,3.0,1.0,3.475,2.3125
1.0,2.0,1.0,4.375,2.3125
2.0,3.0,1.0,5.2749999999999995,3.25
2.0,4.0,1.0,1.9,1.9375
1.0,4.0,4.0,2.35,2.125
2.0,4.0,3.0,4.15,1.5625
1.0,3.0,4.0,8.875,4.0
2.0,2.0,4.0,3.6999999999999997,1.375
1.0,1.0,3.0,3.025,2.125
2.0,4.0,3.0,3.025,2.5
1.0,4.0,3.0,6.3999999999999995,2.875
1.0,3.0,3.0,5.2749999999999995,3.25
1.0,2.0,1.0,3.025,1.9375
1.0,4.0,4.0,2.35,2.125
