country,AND,ARG,AUS,BFA,BGR,BRA,CAN,CHL,CHN,CYP,DEU,EGY,ETH,FRA,GBR,GEO,GHA,GTM,HUN,IDN,IND,IRN,IRQ,ITA,MAR,MDA,MEX,MLI,MYS,NOR,POL,ROU,RWA,SRB,SVN,SWE,THA,TTO,TWN,URY,USA,VNM,ZMB
DEU,0.18497384523503485,0.22982168023182814,0.16316674743650467,0.3187739902723048,0.2002339229293782,0.22837895780679016,0.2104142268388678,0.1674004053593096,0.35411758561691625,0.2760600053968465,0.0,0.2601399969392646,0.22744140046663155,0.15020739472224978,0.2279082477352433,0.15359512437991513,0.4449980169831141,0.27723930358094995,0.1418611662723474,0.3112348388242761,0.35092137415385966,0.2655085354962269,0.5282939562474961,0.11921197930175241,0.33494881755951467,0.19355239464365198,0.1299488905027923,0.33425102609813234,0.2761342512775094,0.1385367821158342,0.08370960271787119,0.13724494740150298,0.19918559201910843,0.2746091618444225,0.07633725773694071,0.20149375053741206,0.2209484303008869,0.2646571034990855,0.19975414042247916,0.311653319323528,0.3103011811759731,0.31719545685661,0.26022535379875517
EGY,0.2029226589585073,0.1547462705248233,0.18038664194585155,0.12499307049242897,0.12372026330660361,0.15620005729279854,0.14370912502365138,0.1515426545064363,0.25666702428443344,0.11949923014893607,0.2601399969392646,0.0,0.3139357661362769,0.200507784478242,0.13295349780318141,0.17068620923388647,0.28913894693650494,0.14890055540535288,0.19711853245556996,0.16227908958658585,0.2230086238159315,0.24094867112221252,0.5623476897281946,0.2166443677582504,0.24958055371165402,0.12648905289137022,0.2545972841507502,0.20617744754022088,0.15210064246297503,0.17053915204401862,0.2941640719143905,0.33682530945737305,0.1996913753585255,0.19936145847325398,0.22122835052752116,0.1628975667182887,0.3314032054118209,0.10229194442694588,0.10014536390111745,0.22713833258219832,0.1550885527126016,0.14288432256289996,0.17310166887628134
ETH,0.23381066289526128,0.1865081504095265,0.20899750940334672,0.3153352864286044,0.21094650668078152,0.24803219097975934,0.23213012924899915,0.25605870659058383,0.24037168693623437,0.26450974676146444,0.22744140046663155,0.3139357661362769,0.0,0.187733841979433,0.24093002024095933,0.18672062802522277,0.40034372223158743,0.314145811833183,0.18916460261926435,0.25596036832487556,0.28185795675231073,0.20587705453385755,0.39054085421959606,0.264599289535093,0.26834436270774903,0.25827224148554595,0.17256801983134004,0.30655596142211095,0.2357727516651603,0.17543082762308032,0.16342688180999196,0.17043135890961947,0.14173175884191855,0.19166906858392516,0.2175488752974569,0.1919046512878048,0.09399810655769665,0.2748387675448587,0.2960308980450161,0.22004680820596595,0.28074957236237225,0.3288419437410582,0.19272076788358933
FRA,0.12407565436544288,0.11939482066954986,0.132091237955198,0.21986849473816159,0.1254866434655793,0.17285625821045672,0.14474287480974762,0.11080783915609822,0.26261524925123686,0.18687160096736113,0.15020739472224978,0.200507784478242,0.187733841979433,0.0,0.1344780066928486,0.11774725876610413,0.3363541708250236,0.19209779271909663,0.10520851899065325,0.21029714181001188,0.2537882595449727,0.15321997814383864,0.4564612121643915,0.16505344076997278,0.24062763652224414,0.1593476481246966,0.14281799167052076,0.23127308219514728,0.18840521694231183,0.10297216056721736,0.14279302072649117,0.1975977035176573,0.13028416443114652,0.1598978901912349,0.14553891321018725,0.11368769281545402,0.20454558763683656,0.20346287553647874,0.1596419630890967,0.21610245824223578,0.20860800125716222,0.24005989771218308,0.18159276813337252
GBR,0.18132578892369744,0.09748610650171077,0.110266457075294,0.17584611825414506,0.12041200593854873,0.09558676444629743,0.15425777767064738,0.13614526934333626,0.23975916837446676,0.1437654458534966,0.2279082477352433,0.13295349780318141,0.24093002024095933,0.1344780066928486,0.0,0.11115002792631783,0.27070026715876083,0.1979489759841657,0.1494379683225889,0.13395740914742826,0.23815906612942533,0.1774773993042717,0.469141097152992,0.23541139769930447,0.18121448310875116,0.17931588003861507,0.21752981995725526,0.21959791344464064,0.14100669976450503,0.12813358199078684,0.2350319824805642,0.27782740951847357,0.16790791507189437,0.1356570306702805,0.20586622355005146,0.10693048085444957,0.25133011814432793,0.13004180810174593,0.12843631963624816,0.201106084030595,0.1307172877588461,0.19528303128303995,0.14800392958184366
GEO,0.18124766376012263,0.11902940474589362,0.08400475590251437,0.22867632052910492,0.11681566688967747,0.12018279439951562,0.15246989163189784,0.14419641560404772,0.26061622801484263,0.18156584963190317,0.15359512437991513,0.17068620923388647,0.18672062802522277,0.11774725876610413,0.11115002792631783,0.0,0.35057696585478865,0.2275417432096566,0.116258451778222,0.19143939041660304,0.26840858133586387,0.19478403810029188,0.47576641801417124,0.17410505948813354,0.2331263552197295,0.15926841555843044,0.13644183781023972,0.26072046195561116,0.16718402498740437,0.07209786859745224,0.15764831361329637,0.18639159063204813,0.13336541003496669,0.17029805646808277,0.13066066196431164,0.1180857298725605,0.18589546163365095,0.16177203404071247,0.13912341067067535,0.2196581949123919,0.19992155282584828,0.23581603297522558,0.15356537529203168
GHA,0.308814674895224,0.2720142713042642,0.3288391731732057,0.22168809276463985,0.2865416398379455,0.2670720848450587,0.30956059421608556,0.32249556654381456,0.26173862988472524,0.2614631001652697,0.4449980169831141,0.28913894693650494,0.40034372223158743,0.3363541708250236,0.27070026715876083,0.35057696585478865,0.0,0.2599353972449911,0.3286691515024773,0.19545696188454642,0.22446794648053917,0.2543360340925939,0.45628335441170054,0.4479128968279837,0.18573824810281217,0.35730202462574495,0.451420673682977,0.19615701543817302,0.26369592166982686,0.34114031787254945,0.4435976083420855,0.4934341488943693,0.3146302420414985,0.24120741558096165,0.4313673666016697,0.2675919655179648,0.4293154964372816,0.2526208615145257,0.30956418843817524,0.22131592179573703,0.1828982121820355,0.254166590081582,0.2600761510664195
GTM,0.14805958463559207,0.1787882526392938,0.22855951919680545,0.11432574918027356,0.13887053800407417,0.2110827475822959,0.14069931782069667,0.1518013940389711,0.2374882581490826,0.1438151520221791,0.27723930358094995,0.14890055540535288,0.314145811833183,0.19209779271909663,0.1979489759841657,0.2275417432096566,0.2599353972449911,0.0,0.19105642522249724,0.19349321272975678,0.17378720003759945,0.19688324181902345,0.5344462418650481,0.23509218817998395,0.25923366084744637,0.1500007128718216,0.2825430462954026,0.1280782175262499,0.18226078586857275,0.20075359405314075,0.29929463516858384,0.354653624988928,0.18707039564217226,0.20092297087030275,0.25315939376248064,0.1723142199573899,0.34728989954626804,0.16816857422702225,0.15702782641655424,0.18656930393107848,0.17706209244366056,0.1355936246492679,0.1888477592955944
HUN,0.09308505989903508,0.14863068043942956,0.1010333872102091,0.21915448446597063,0.10674282418787251,0.14204812008536716,0.1198923392576697,0.09865384877464664,0.24641374830905818,0.17098432679762685,0.1418611662723474,0.19711853245556996,0.18916460261926435,0.10520851899065325,0.1494379683225889,0.116258451778222,0.3286691515024773,0.19105642522249724,0.0,0.20329854185914772,0.24425807122615484,0.1809149997250112,0.48079516562075775,0.18015541067619803,0.2415095371618041,0.15346875692193898,0.16512717366521334,0.22221817047722744,0.16483059815878415,0.0723334712611211,0.14689618824354497,0.21274551619616863,0.12321927938508669,0.18279314400338106,0.12965319241800247,0.09691109575578837,0.21585145438651201,0.1718523062549059,0.1616317963795473,0.1941020348141155,0.19823093218887058,0.205634168066031,0.15521582910640275
IDN,0.22017485593132521,0.1127426698283847,0.19314260355297522,0.1334476281322637,0.1412044785547919,0.1396311927449893,0.18163648090587028,0.21246235617215092,0.16594028258348795,0.12275958569743999,0.3112348388242761,0.16227908958658585,0.25596036832487556,0.21029714181001188,0.13395740914742826,0.19143939041660304,0.19545696188454642,0.19349321272975678,0.20329854185914772,0.0,0.15577081217160818,0.1740495732414108,0.45028212189945455,0.30319109961969987,0.13618175946057323,0.21488087011265394,0.2865988382913806,0.15592325006805388,0.10420698003551991,0.18707885830669932,0.30768557940068914,0.3450372986195322,0.1656685577709497,0.10695360294023118,0.28094435139106655,0.13439901399553655,0.28263478832546673,0.1235704550764966,0.19580848330189782,0.12737712895675216,0.07760018786294086,0.16663336222724745,0.10886099487283912
