country,ARG,ARM,AUS,AZE,BLR,BRA,CHL,CHN,COL,CYP,DEU,DZA,ECU,EST,GEO,GHA,HTI,IND,IRQ,JOR,KAZ,KGZ,KWT,LBN,LBY,MEX,MYS,NGA,NLD,NZL,PER,PHL,POL,ROU,RUS,RWA,SVN,SWE,THA,TUN,TWN,UKR,URY,UZB,YEM,ZAF,ZWE
DEU,0.2265089467699865,0.1424586158729881,0.14272377656315735,0.20876059627385435,0.1590707225657242,0.16285783788736974,0.1222273687312164,0.2298314413212488,0.10344733154222903,0.1819399164456765,0.0,0.15963524546120594,0.07498343671645895,0.10197232782975305,0.1863089707665819,0.12674230602633252,0.21280364700250154,0.18168739409689716,0.14824370133984283,0.12533554549448844,0.09178108590804905,0.14799640937047148,0.18895353532875878,0.1678897353251716,0.23565097741529323,0.15493870000228613,0.19123225224704932,0.13464505816014563,0.1911301236616559,0.12149031760021974,0.07886652161063822,0.15373669901009657,0.22585989878592297,0.17245890814019096,0.17914023419876035,0.24587139929518925,0.26129458120533944,0.12649727658635906,0.22901198028555447,0.1338057808685383,0.16107878433539605,0.1332989417334369,0.11872667038188313,0.12543362046572998,0.2476255350173908,0.11339602173658186,0.15124102385790683
DZA,0.236840724720483,0.10470276149827072,0.09218124065196318,0.20712685187310856,0.159116702566908,0.12226812738843146,0.09461709772490023,0.17322403012586404,0.15410359467847046,0.19748066106960008,0.15963524546120594,0.0,0.12294543752313553,0.14971994796240365,0.23108625770124577,0.08419749001635488,0.24452931542676012,0.15225050104003154,0.18362581646362974,0.12167285912749674,0.09840057309625609,0.1854291725438886,0.20185921386614925,0.1566316941407647,0.18704206559439723,0.16807993782229905,0.09224152416149116,0.112973510518642,0.1582912287463929,0.14473374678101347,0.1668431578512494,0.12234537252446805,0.26150055537377104,0.1557096379842784,0.19674790159953023,0.1901895497555594,0.2900222456224324,0.20140304143920199,0.20685757935560348,0.13353357079001746,0.16767721030436325,0.1636250728697584,0.11993707553378115,0.1498754126248375,0.24581331644875729,0.14264454331486176,0.08576637148662532
ECU,0.2318794117504617,0.11438461338873882,0.12245387850018807,0.20225189529215581,0.16553049916437634,0.13393209511254536,0.08502766365097704,0.21705190556571333,0.11716552981385445,0.17759123941752725,0.07498343671645895,0.12294543752313553,0.0,0.11456023436328794,0.19949112471702302,0.09463808715434785,0.21685210897454932,0.16271633402691738,0.13602766568405347,0.12008190135622777,0.060849336702473764,0.1515874561486543,0.1887703920828265,0.14913086649661422,0.2179089044230416,0.15297384777322243,0.14600510769171693,0.10534397770480562,0.17685158863820913,0.12617149403770425,0.07890500944335113,0.10148661573597727,0.23656292027369902,0.16583186553532017,0.1853809501150593,0.22626738201566518,0.2713778320776969,0.15605255801055798,0.22167893566402933,0.10943373245642014,0.16209321680737995,0.1366529356009874,0.08940730206228846,0.12753781665008307,0.24408368990133936,0.09459997731985864,0.11470789279874045
EST,0.15787712553101169,0.13601366101060525,0.11387518872460611,0.14461974014055629,0.08408209527991574,0.10049318377398198,0.11980706698137009,0.16392679111147276,0.07021436216636925,0.12098206643975641,0.10197232782975305,0.14971994796240365,0.11456023436328794,0.0,0.11713072759920393,0.1315539289464432,0.1945715788360426,0.12485609981122049,0.1430868391985285,0.10781152735128328,0.09366012912259777,0.11845314838808267,0.12015363687592276,0.10451889376465524,0.16593796219724555,0.07593621919416754,0.16796678579123916,0.12405655501590196,0.12204107336792282,0.08516853063140742,0.09610219882925089,0.1486170479119443,0.1558140444383388,0.09747364218915125,0.09184502755191223,0.2063780674873426,0.19135014566439862,0.08636266163639231,0.13450995049339814,0.12552457159664074,0.07971771438510526,0.0731957333462622,0.11413915471690372,0.07261749190175124,0.17587110319981644,0.09543669295763092,0.12927909948999183
GEO,0.1374116740957088,0.20386205158794127,0.20107720995098902,0.13604513945562366,0.11732021537666641,0.15676754510784763,0.19456115191649612,0.19678603902982106,0.13316544096493596,0.10169027407693165,0.1863089707665819,0.23108625770124577,0.19949112471702302,0.11713072759920393,0.0,0.21280938708067862,0.21505066426455116,0.1517298715332036,0.18379670945198723,0.20567362060217653,0.18592053515807513,0.13013940475236668,0.10838907441479126,0.14157186944515168,0.180469754990009,0.09759078993806142,0.23355167116910738,0.2221732941642259,0.16884804375141338,0.14747857437107761,0.15882116245172054,0.23524606328681316,0.09006674320679259,0.11852153418150217,0.10711402139235261,0.25171527464094123,0.1399002001143223,0.13068183489990082,0.11573036973892346,0.19101178832382382,0.11136972094355757,0.10575193606446147,0.19211478618851813,0.13081313983500067,0.1307398845917831,0.16967525284593765,0.19311672403442234
GHA,0.2532852368637801,0.07186235003151985,0.10534910012980561,0.18267105456929855,0.1722198229978614,0.11742330364042636,0.09925070007678709,0.2176434948713215,0.15371027794461448,0.1932736155571442,0.12674230602633252,0.08419749001635488,0.09463808715434785,0.1315539289464432,0.21280938708067862,0.0,0.1930677940541918,0.15565985703844787,0.12295582235530426,0.14144991565401502,0.08808776128715094,0.18924585506211491,0.19835888127932189,0.1618808875122127,0.20433933745922692,0.1620940750767359,0.0841351272640793,0.10605398967513355,0.18765507275124801,0.14073280036359695,0.13656861654380095,0.10082389449790063,0.25882219427499076,0.1746588632618723,0.18631934606565465,0.20027529628243937,0.2961547105243166,0.19289541321882633,0.20546800777002217,0.09659245791103654,0.1675879563696702,0.1302681463419048,0.08330996413783234,0.15538119599554115,0.2615471555384318,0.13528095381586366,0.0645497297974655
HTI,0.2846301511982586,0.19177871586021514,0.21599779383197257,0.19311781606988887,0.22669334914256567,0.21801386804447342,0.25449428647371636,0.3281997669495215,0.2226139610133547,0.23265523100462263,0.21280364700250154,0.24452931542676012,0.21685210897454932,0.1945715788360426,0.21505066426455116,0.1930677940541918,0.0,0.2686480434197843,0.11710812129497007,0.2665858379605494,0.19731421647891814,0.2577294004101851,0.21313090964023856,0.24785130075426884,0.30203731444550763,0.20104144877990215,0.21581090564428093,0.2136608672977914,0.28794409382790137,0.21371287528206312,0.1871921798646195,0.24177596825627093,0.27493920232594404,0.249687531521846,0.20371049252561133,0.2591235437756744,0.32566267491618467,0.22688775139778186,0.2346418524344439,0.210693747042366,0.19096139306473606,0.1530324697869348,0.17432486533272215,0.2268956696901206,0.31798801373028385,0.2571406762829349,0.2086200949004148
IND,0.1917517397208072,0.1557217895771255,0.15485196525950448,0.15078442153722232,0.13704945446773717,0.11447400270730321,0.11517169759327994,0.13435692167886057,0.14172216340500393,0.13630737317702737,0.18168739409689716,0.15225050104003154,0.16271633402691738,0.12485609981122049,0.1517298715332036,0.15565985703844787,0.2686480434197843,0.0,0.1989107632916809,0.15351463229710907,0.1560251798025722,0.14211418293632,0.16970256482161902,0.12223589403500733,0.09378586560007356,0.1312776504897147,0.16648913777751334,0.18175098490573155,0.10730499543561502,0.1416108038652745,0.1754125604067181,0.1563680031223187,0.17192711097793822,0.09745355042402301,0.14887092269573332,0.2170988568545854,0.1966306569742802,0.1805212464473395,0.1362851318656082,0.12707275263964316,0.13884993916907626,0.14456411583252446,0.15661263362095335,0.12316069892931569,0.1331616992460202,0.107780872002995,0.12014744917204197
IRQ,0.26677309527986737,0.11185493841034266,0.15599506453297196,0.14141537074764304,0.1904224587748167,0.15785823395918328,0.17656473806955048,0.27639092217316125,0.17243942688238437,0.18903297749186249,0.14824370133984283,0.18362581646362974,0.13602766568405347,0.1430868391985285,0.18379670945198723,0.12295582235530426,0.11710812129497007,0.1989107632916809,0.0,0.20835477694464238,0.13451172836457773,0.21252622612872846,0.1988383852726594,0.19678426117548628,0.23845428640420305,0.16779187861601183,0.15859171651700238,0.16626450810784352,0.23291319174515013,0.15572404275002039,0.1256059446696203,0.1638122444025285,0.24443876277647697,0.19838130314680874,0.1695808554008913,0.21203071886582642,0.29723710508512063,0.19094783807759694,0.20276755382071923,0.12378219122769879,0.16056156517990805,0.10242140627045045,0.09046972083980996,0.1759590648112019,0.2730145849619231,0.18188858122810694,0.13448044249161262
JOR,0.19293064345790192,0.16610302542165806,0.10381958183699501,0.21658487763979345,0.12117153550150626,0.1277837930235021,0.10456393611165121,0.14366407289650454,0.11424673256105973,0.17272364827099254,0.12533554549448844,0.12167285912749674,0.12008190135622777,0.10781152735128328,0.20567362060217653,0.14144991565401502,0.2665858379605494,0.15351463229710907,0.20835477694464238,0.0,0.09975369701328,0.1546043277850186,0.17671352495950793,0.12589068491995256,0.1936712628586935,0.14387920899493073,0.16610729691591508,0.10902877671757989,0.11795656023764733,0.11176010163970047,0.14155212492208347,0.13957228026223784,0.21968149696526745,0.13442866030703968,0.16944161605581584,0.2286042277995239,0.23337493935192513,0.13189248425284897,0.1946722829969727,0.15735300230568477,0.14599353839599516,0.15904554892219494,0.14933686595456552,0.10038896638365578,0.21749817497093932,0.1081678472819814,0.14178060238407747
