country,zone,betti_0,betti_1,betti_2,total_pers_H0,total_pers_H1,total_pers_H2,max_pers_H0,max_pers_H1,max_pers_H2,entropy_H0,entropy_H1,n_features_H0,n_features_H1,n_features_H2
MYS,South/Southeast Asian,30,0,0,6.24730071797967,0.0,0.002536177635192871,1.0,0.0,0.002536177635192871,3.1461429327329706,0.0,31,0,1
NOR,Protestant Europe,30,0,0,6.47505784034729,0.016770727932453156,0.0,1.0,0.008599579334259033,0.0,3.0557848348404835,1.0280425204918688,31,3,0
POL,Catholic Europe,30,0,0,5.734275061637163,0.07712499797344208,0.0,1.0,0.022593408823013306,0.0,2.940419877862826,1.7429206958265173,31,8,0
ROU,Orthodox/ex-Communist,30,0,0,6.933102369308472,0.0,0.0,1.0,0.0,0.0,2.9405664725576615,0.0,31,0,0
RWA,African-Islamic,29,0,0,8.309132233262062,0.0,0.0,1.0,0.0,0.0,2.9635190683277224,0.0,31,0,0
SRB,Orthodox/ex-Communist,30,0,0,6.740245781838894,0.11669883877038956,0.007282033562660217,1.0,0.04280873388051987,0.007282033562660217,3.0783870612427977,1.422387207964999,31,7,1
SVN,Catholic Europe,29,0,0,5.7746001817286015,0.0,0.0,1.0,0.0,0.0,2.9244638564032575,0.0,31,0,0
SWE,Protestant Europe,16,0,0,4.3387031350284815,0.07587520778179169,0.0,1.0,0.02522370219230652,0.0,2.5790793118495223,1.489879623396631,31,5,0
THA,South/Southeast Asian,29,0,0,6.712338253855705,0.0,0.0,1.0,0.0,0.0,3.170831301949969,0.0,31,0,0
TTO,Latin America,29,0,0,5.5857412703335285,0.13404640555381775,0.0,1.0,0.037108346819877625,0.0,2.9168547669198714,1.8501651389778146,31,8,0
TWN,Confucian,29,0,0,6.959098052233458,0.08647345751523972,0.0,1.0,0.02637743204832077,0.0,2.9322412163372586,1.50645906161646,31,5,0
URY,Latin America,30,1,0,8.124321311712265,0.2202717363834381,0.0,1.0,0.0548657551407814,0.0,3.051630400060237,1.961652571598515,31,8,0
USA,English-speaking,30,5,1,5.954710982739925,0.5121433138847351,0.09967023134231567,1.0,0.10498344898223877,0.05966758728027344,3.1990483903984797,2.09848136585948,31,11,4
VNM,Confucian,30,2,0,8.162205755710602,0.24110959470272064,0.04562327265739441,1.0,0.077643483877182,0.019766002893447876,3.117133191841245,1.922571909131559,31,10,4
ZMB,African-Islamic,28,0,0,5.60480447486043,0.024842344224452972,0.0,1.0,0.014538876712322235,0.0,3.0908737905473056,0.6785422592583191,31,2,0
